Sample,X,Y,Z
0,0.027,0.172,1.027
1,0.047,-0.090,1.020
2,0.035,-0.094,1.016
3,0.027,-0.094,1.004
4,0.027,-0.090,1.000
5,0.035,-0.094,1.004
6,0.043,-0.090,1.020
7,0.031,-0.094,1.012
8,0.023,-0.094,1.016
9,0.035,-0.082,1.012
10,0.031,-0.090,1.008
11,0.039,-0.086,1.012
12,0.031,-0.090,1.020
13,0.023,-0.094,1.012
14,0.035,-0.082,1.008
15,0.031,-0.086,1.012
16,0.035,-0.094,1.012
17,0.027,-0.102,1.012
18,0.035,-0.090,1.012
19,0.039,-0.090,1.000
20,0.039,-0.082,1.039
21,0.027,-0.094,1.020
22,0.023,-0.086,1.012
23,0.031,-0.094,1.012
24,0.031,-0.086,1.012
25,0.031,-0.094,1.016
26,0.035,-0.098,1.020
27,0.031,-0.090,1.008
28,0.031,-0.078,1.004
29,0.031,-0.086,1.016
30,0.031,-0.086,1.012
31,0.027,-0.082,1.012
32,0.027,-0.090,1.016
33,0.027,-0.086,1.016
34,0.031,-0.090,1.008
35,0.027,-0.098,1.008
36,0.035,-0.082,1.016
37,0.031,-0.090,1.012
38,0.031,-0.086,1.012
39,0.031,-0.094,1.004
40,0.031,-0.098,1.039
41,0.039,-0.090,1.012
42,0.027,-0.090,1.008
43,0.031,-0.090,1.008
44,0.035,-0.082,1.016
45,0.031,-0.094,1.016
46,0.031,-0.094,1.012
47,0.027,-0.086,1.008
48,0.035,-0.082,1.012
49,0.031,-0.094,1.004
50,0.027,-0.098,1.008
51,0.027,-0.082,1.008
52,0.027,-0.078,1.004
53,0.027,-0.086,1.012
54,0.035,-0.090,1.004
55,0.027,-0.094,1.008
56,0.023,-0.086,1.000
57,0.035,-0.082,1.004
58,0.035,-0.090,1.008
59,0.023,-0.098,1.008
60,0.020,-0.105,1.027
61,0.027,-0.078,1.008
62,0.039,-0.078,1.016
63,0.031,-0.102,1.008
64,0.023,-0.098,1.004
65,0.031,-0.086,1.016
66,0.027,-0.078,1.008
67,0.023,-0.098,1.004
68,0.027,-0.098,1.012
69,0.035,-0.094,1.016
70,0.035,-0.090,1.008
71,0.023,-0.094,1.012
72,0.031,-0.086,1.012
73,0.035,-0.090,1.008
74,0.035,-0.090,1.000
75,0.031,-0.098,1.004
76,0.027,-0.090,1.012
77,0.031,-0.090,1.008
78,0.031,-0.086,1.020
79,0.027,-0.098,1.004
80,0.047,-0.102,1.020
81,0.035,-0.094,1.008
82,0.027,-0.086,1.012
83,0.023,-0.090,1.012
84,0.035,-0.086,1.008
85,0.035,-0.086,1.012
86,0.027,-0.090,1.004
87,0.023,-0.086,1.008
88,0.023,-0.086,1.008
89,0.035,-0.082,1.012
90,0.027,-0.094,1.012
91,0.031,-0.090,1.012
92,0.035,-0.090,1.000
93,0.027,-0.086,1.008
94,0.031,-0.098,1.008
95,0.031,-0.086,1.004
96,0.027,-0.086,1.016
97,0.039,-0.082,1.012
98,0.027,-0.094,1.012
99,0.023,-0.090,1.012
100,0.008,-0.105,1.070
101,0.035,-0.082,1.004
102,0.039,-0.090,1.004
103,0.031,-0.090,1.016
104,0.027,-0.090,1.004
105,0.027,-0.082,1.012
106,0.035,-0.082,1.012
107,0.027,-0.094,1.016
108,0.027,-0.102,1.008
109,0.031,-0.098,1.004
110,0.039,-0.090,1.012
111,0.039,-0.090,1.008
112,0.020,-0.078,1.004
113,0.031,-0.090,1.012
114,0.047,-0.121,0.996
115,0.043,-0.105,1.008
116,0.020,-0.109,1.012
117,0.004,-0.117,1.031
118,0.035,-0.148,1.023
119,0.039,-0.152,1.023
120,-0.012,-0.129,1.078
121,0.047,-0.133,1.031
122,0.047,-0.148,1.035
123,0.062,-0.164,1.027
124,0.062,-0.172,0.996
125,0.027,-0.109,0.965
126,-0.020,-0.078,0.965
127,-0.082,-0.164,0.934
128,0.066,-0.262,0.852
129,0.184,-0.227,0.793
130,0.191,-0.215,0.832
131,-0.031,-0.367,0.871
132,-0.105,-0.473,0.848
133,0.000,-0.516,0.871
134,0.066,-0.477,0.918
135,0.078,-0.594,1.008
136,0.023,-0.758,1.031
137,-0.035,-0.840,1.055
138,0.020,-0.762,1.129
139,0.125,-0.688,1.176
140,0.152,-0.750,1.191
141,0.035,-0.738,1.180
142,-0.098,-0.652,1.184
143,-0.094,-0.512,1.137
144,0.051,-0.531,1.047
145,0.145,-0.406,0.988
146,0.266,-0.301,1.012
147,0.129,-0.270,0.961
148,-0.105,-0.254,0.875
149,-0.133,-0.117,0.844
150,-0.047,0.070,0.875
151,0.191,0.020,0.930
152,0.293,-0.148,0.922
153,-0.125,-0.242,0.824
154,-0.289,-0.098,0.840
155,-0.066,0.113,0.969
156,0.410,-0.039,1.016
157,0.293,-0.430,0.902
158,-0.102,-0.398,0.902
159,-0.094,-0.145,1.078
160,0.031,-0.102,1.125
161,0.078,-0.477,0.918
162,0.039,-0.570,0.957
163,-0.055,-0.449,1.078
164,0.031,-0.465,1.043
165,0.242,-0.500,1.020
166,0.086,-0.621,1.082
167,-0.168,-0.523,1.047
168,0.027,-0.531,0.992
169,0.137,-0.617,0.969
170,-0.043,-0.410,1.035
171,0.246,-0.422,1.125
172,-0.039,-0.758,0.906
173,-0.184,-0.648,0.871
174,-0.035,-0.461,1.012
175,-0.047,-0.246,1.031
176,0.344,-0.598,1.027
177,0.020,-0.582,0.898
178,0.047,-0.430,0.934
179,-0.031,-0.387,0.871
180,0.145,-0.125,0.973
181,0.094,-0.633,0.953
182,-0.035,-0.383,0.914
183,-0.238,-0.605,0.859
184,0.035,-0.039,1.098
185,0.117,-0.461,1.055
186,0.379,-0.391,0.996
187,0.070,-0.672,0.945
188,0.090,-0.055,1.133
189,-0.203,-0.375,1.012
190,-0.039,-0.289,0.973
191,-0.207,-0.352,1.051
192,0.121,-0.035,1.191
193,0.246,-0.227,1.047
194,0.293,-0.457,0.859
195,0.047,0.074,1.082
196,-0.176,-0.188,1.035
197,-0.164,-0.059,0.902
198,-0.242,-0.156,0.930
199,0.004,0.047,1.105
200,0.348,0.141,1.113
201,0.320,-0.570,0.793
202,0.316,0.027,0.988
203,-0.207,-0.012,1.008
204,-0.418,0.004,0.902
205,-0.062,-0.293,0.945
206,0.098,-0.055,0.984
207,0.410,0.117,1.027
208,0.418,-0.496,0.863
209,-0.066,-0.336,0.875
210,-0.371,-0.188,0.945
211,-0.457,-0.031,1.078
212,-0.203,-0.441,1.039
213,0.438,-0.363,1.031
214,0.504,-0.266,1.008
215,0.316,-0.527,0.984
216,-0.234,-0.488,0.996
217,-0.484,-0.215,1.137
218,-0.234,-0.410,1.172
219,0.352,-0.371,1.121
220,0.648,-0.414,1.051
221,0.457,-0.297,0.980
222,-0.191,-0.320,1.039
223,-0.562,-0.203,1.172
224,-0.336,-0.281,1.125
225,0.438,0.020,1.102
226,0.500,-0.066,1.004
227,0.305,-0.172,0.848
228,-0.328,0.113,0.859
229,-0.695,0.309,1.027
230,-0.348,0.117,1.062
231,0.445,0.109,0.906
232,0.637,0.020,0.785
233,0.270,0.125,0.840
234,-0.445,0.355,0.895
235,-0.629,0.230,0.996
236,-0.027,-0.133,1.000
237,0.613,0.062,1.008
238,0.680,-0.074,0.945
239,0.117,-0.371,0.859
240,-0.543,0.082,0.953
241,-0.516,0.055,1.215
242,0.078,-0.191,1.160
243,0.633,-0.445,1.023
244,0.750,-0.496,1.043
245,-0.078,-0.195,1.008
246,-0.582,0.141,1.117
247,-0.480,-0.215,1.191
248,0.051,-0.273,1.137
249,0.660,-0.473,0.930
250,0.738,-0.184,0.930
251,-0.219,-0.082,0.922
252,-0.969,0.188,1.031
253,-0.594,-0.125,1.090
254,0.273,-0.188,0.992
255,0.734,-0.242,0.824
256,0.703,-0.059,0.906
257,-0.445,-0.023,0.895
258,-0.945,0.176,1.012
259,-0.352,-0.152,1.039
260,0.730,0.012,1.031
261,0.922,-0.434,0.914
262,0.570,-0.301,0.922
263,-0.484,0.129,1.039
264,-0.785,0.051,1.145
265,-0.195,-0.070,1.184
266,0.730,-0.367,1.094
267,0.891,-0.301,0.957
268,0.191,-0.109,1.055
269,-0.773,0.176,1.074
270,-0.746,0.078,1.125
271,-0.043,0.047,1.082
272,0.645,-0.043,1.023
273,0.738,-0.270,0.883
274,-0.090,-0.082,0.855
275,-0.785,0.324,0.945
276,-0.586,0.488,1.090
277,0.078,-0.160,0.902
278,0.793,-0.262,0.820
279,0.809,-0.082,0.965
280,-0.191,0.129,0.949
281,-0.797,0.180,0.926
282,-0.480,-0.055,1.055
283,0.211,-0.023,1.094
284,0.844,-0.359,0.973
285,0.746,-0.367,0.984
286,-0.371,-0.219,0.977
287,-0.871,0.168,1.082
288,-0.434,-0.047,1.203
289,0.484,-0.391,1.094
290,0.918,-0.570,0.961
291,0.715,-0.348,1.008
292,-0.426,-0.039,0.996
293,-0.980,0.133,1.121
294,-0.402,-0.242,1.113
295,0.598,-0.227,1.035
296,0.910,-0.363,0.918
297,0.434,-0.168,0.965
298,-0.719,0.105,0.938
299,-0.992,0.172,1.023
300,-0.320,0.016,1.012
301,0.746,-0.008,0.953
302,0.938,-0.199,0.887
303,0.199,-0.078,0.871
304,-0.773,0.133,0.891
305,-0.777,0.328,1.047
306,-0.035,-0.051,1.035
307,1.031,-0.156,0.984
308,0.980,-0.379,0.938
309,-0.027,-0.184,0.922
310,-0.910,0.285,1.070
311,-0.742,0.094,1.281
312,0.223,-0.188,1.074
313,1.027,-0.227,0.992
314,0.809,-0.336,1.062
315,-0.434,-0.031,1.016
316,-1.004,0.199,1.016
317,-0.555,0.094,1.098
318,0.371,0.074,1.098
319,0.957,-0.316,0.871
320,0.707,-0.355,0.801
321,-0.539,0.059,0.891
322,-1.039,0.398,1.020
323,-0.375,0.113,1.035
324,0.652,-0.285,0.910
325,0.879,-0.434,0.883
326,0.527,-0.160,0.969
327,-0.598,-0.062,0.875
328,-0.914,0.098,1.047
329,-0.266,-0.012,1.219
330,0.758,-0.371,1.051
331,0.906,-0.621,0.934
332,0.445,-0.285,1.027
333,-0.664,0.238,1.133
334,-0.809,0.070,1.145
335,-0.230,-0.371,1.102
336,0.828,-0.324,1.082
337,1.051,-0.145,1.031
338,0.203,-0.133,0.934
339,-0.918,-0.059,0.941
340,-0.887,0.293,1.145
341,-0.199,0.152,1.059
342,0.871,-0.270,0.871
343,0.969,-0.242,0.863
344,-0.074,0.098,0.910
345,-1.113,0.297,0.934
346,-0.766,0.078,0.973
347,0.156,0.070,0.996
348,1.066,-0.113,0.965
349,1.055,-0.297,0.914
350,-0.285,-0.262,0.820
351,-1.004,0.207,1.055
352,-0.578,0.270,1.238
353,0.488,-0.223,1.055
354,1.086,-0.598,0.980
355,0.898,-0.418,1.066
356,-0.441,0.172,1.074
357,-1.035,0.020,1.117
358,-0.562,-0.023,1.160
359,0.539,-0.172,1.133
360,0.988,-0.309,1.051
361,0.562,-0.320,0.930
362,-0.648,0.023,0.855
363,-1.051,0.441,1.039
364,-0.367,0.012,1.070
365,0.715,-0.270,0.879
366,1.043,-0.328,0.828
367,0.246,-0.191,0.875
368,-0.836,0.223,0.898
369,-0.871,0.191,1.039
370,-0.219,-0.141,1.047
371,0.902,-0.258,1.031
372,0.938,-0.469,0.930
373,0.031,-0.316,0.875
374,-0.750,0.242,1.113
375,-0.730,0.129,1.230
376,0.090,-0.328,1.102
377,1.012,-0.371,1.043
378,0.945,-0.441,1.008
379,-0.230,0.043,1.031
380,-0.750,0.172,1.113
381,-0.520,0.035,1.094
382,0.223,-0.125,1.027
383,0.777,-0.246,0.973
384,0.711,-0.047,0.965
385,-0.473,-0.074,0.812
386,-0.906,0.309,0.898
387,-0.406,0.387,1.121
388,0.336,-0.188,0.953
389,0.773,-0.418,0.766
390,0.516,-0.191,0.918
391,-0.566,0.148,0.957
