Sample,X,Y,Z
0,0.016,0.172,1.023
1,0.039,-0.086,1.008
2,0.031,-0.094,1.008
3,0.023,-0.094,1.016
4,0.027,-0.090,1.012
5,0.031,-0.086,1.004
6,0.027,-0.086,1.012
7,0.023,-0.094,1.000
8,0.027,-0.090,1.004
9,0.031,-0.086,1.000
10,0.039,-0.086,1.008
11,0.031,-0.090,1.012
12,0.027,-0.086,1.008
13,0.035,-0.094,1.004
14,0.035,-0.086,1.008
15,0.031,-0.086,1.008
16,0.035,-0.094,1.012
17,0.031,-0.094,1.000
18,0.039,-0.086,1.012
19,0.027,-0.082,1.008
20,0.043,-0.094,1.062
21,0.035,-0.094,1.008
22,0.031,-0.094,1.004
23,0.027,-0.078,1.012
24,0.035,-0.082,1.012
25,0.039,-0.094,1.004
26,0.027,-0.086,1.008
27,0.023,-0.090,1.004
28,0.031,-0.086,1.008
29,0.035,-0.090,1.016
30,0.039,-0.086,1.008
31,0.027,-0.090,1.016
32,0.023,-0.090,1.012
33,0.035,-0.086,1.004
34,0.031,-0.090,1.016
35,0.031,-0.098,1.000
36,0.016,-0.090,1.016
37,0.035,-0.086,1.012
38,0.035,-0.090,1.000
39,0.027,-0.082,1.012
40,0.039,-0.098,1.016
41,0.023,-0.082,1.008
42,0.031,-0.098,1.016
43,0.043,-0.086,1.008
44,0.031,-0.082,1.012
45,0.039,-0.094,1.012
46,0.035,-0.094,1.012
47,0.035,-0.082,1.012
48,0.035,-0.090,1.004
49,0.031,-0.082,1.016
50,0.023,-0.098,0.996
51,0.020,-0.090,1.008
52,0.027,-0.090,1.008
53,0.031,-0.086,1.004
54,0.031,-0.102,1.004
55,0.027,-0.090,1.004
56,0.031,-0.086,1.012
57,0.039,-0.086,1.016
58,0.023,-0.098,1.008
59,0.031,-0.098,1.016
60,0.023,-0.086,1.051
61,0.031,-0.078,1.000
62,0.027,-0.090,1.012
63,0.035,-0.098,1.012
64,0.031,-0.090,1.008
65,0.023,-0.082,1.012
66,0.031,-0.086,1.016
67,0.035,-0.086,1.004
68,0.031,-0.086,1.012
69,0.027,-0.086,1.012
70,0.031,-0.086,1.004
71,0.039,-0.086,1.008
72,0.035,-0.094,1.016
73,0.031,-0.090,0.996
74,0.035,-0.086,1.004
75,0.027,-0.086,1.004
76,0.027,-0.094,1.012
77,0.027,-0.094,1.016
78,0.023,-0.086,1.012
79,0.039,-0.090,1.000
80,0.043,-0.094,1.039
81,0.031,-0.090,1.008
82,0.031,-0.082,1.012
83,0.039,-0.082,1.008
84,0.035,-0.090,1.012
85,0.027,-0.094,1.008
86,0.020,-0.082,1.008
87,0.035,-0.086,1.008
88,0.043,-0.094,1.012
89,0.023,-0.090,1.008
90,0.027,-0.086,1.008
91,0.027,-0.086,1.000
92,0.035,-0.094,1.012
93,0.031,-0.090,1.008
94,0.031,-0.090,1.004
95,0.031,-0.094,1.016
96,0.039,-0.090,1.004
97,0.027,-0.094,1.012
98,0.023,-0.090,1.020
99,0.031,-0.090,1.008
100,0.020,-0.090,1.043
101,0.035,-0.090,1.012
102,0.039,-0.098,1.008
103,0.039,-0.082,1.008
104,0.027,-0.090,1.000
105,0.031,-0.082,1.008
106,0.039,-0.090,1.008
107,0.035,-0.090,1.012
108,0.027,-0.086,1.012
109,0.031,-0.086,1.004
110,0.039,-0.090,1.012
111,0.027,-0.086,1.004
112,0.016,-0.078,1.012
113,0.047,-0.098,1.016
114,0.055,-0.117,1.000
115,0.039,-0.113,1.008
116,0.020,-0.098,1.016
117,0.016,-0.137,1.020
118,0.035,-0.148,1.020
119,0.043,-0.152,1.023
120,-0.012,-0.113,1.000
121,0.047,-0.145,1.043
122,0.062,-0.145,1.035
123,0.074,-0.168,1.020
124,0.059,-0.160,0.996
125,0.016,-0.094,0.980
126,-0.059,-0.074,0.980
127,-0.094,-0.160,0.926
