Sample,X,Y,Z
0,0.020,0.164,1.023
1,0.043,-0.082,0.996
2,0.027,-0.082,1.004
3,0.023,-0.082,1.008
4,0.043,-0.074,1.012
5,0.047,-0.078,0.996
6,0.031,-0.094,1.004
7,0.027,-0.082,1.008
8,0.031,-0.078,1.004
9,0.035,-0.082,1.020
10,0.031,-0.082,1.008
11,0.027,-0.086,1.004
12,0.031,-0.078,1.012
13,0.035,-0.074,1.020
14,0.031,-0.082,1.008
15,0.031,-0.086,1.008
16,0.031,-0.086,1.012
17,0.027,-0.078,1.008
18,0.027,-0.086,1.023
19,0.031,-0.082,1.012
20,0.020,-0.105,1.047
21,0.031,-0.082,1.012
22,0.035,-0.082,1.008
23,0.039,-0.086,1.004
24,0.027,-0.086,1.012
25,0.031,-0.082,0.996
26,0.035,-0.082,1.004
27,0.035,-0.070,1.016
28,0.035,-0.078,1.004
29,0.031,-0.086,1.008
30,0.023,-0.082,1.004
31,0.031,-0.074,1.008
32,0.039,-0.086,1.004
33,0.027,-0.090,1.008
34,0.031,-0.086,1.004
35,0.035,-0.078,1.012
36,0.043,-0.074,1.012
37,0.035,-0.086,1.008
38,0.023,-0.094,1.000
39,0.035,-0.086,1.020
40,0.047,-0.086,1.020
41,0.039,-0.074,1.012
42,0.023,-0.090,1.004
43,0.039,-0.082,1.012
44,0.039,-0.078,1.020
45,0.031,-0.078,1.000
46,0.031,-0.086,1.000
47,0.027,-0.086,1.008
48,0.039,-0.074,1.020
49,0.035,-0.078,1.008
50,0.027,-0.086,1.012
51,0.031,-0.090,1.012
52,0.035,-0.082,1.004
53,0.031,-0.078,1.012
54,0.027,-0.086,1.008
55,0.031,-0.086,1.008
56,0.031,-0.082,1.008
57,0.031,-0.078,1.016
58,0.031,-0.086,1.004
59,0.031,-0.086,1.016
60,0.023,-0.094,1.051
61,0.039,-0.074,0.996
62,0.039,-0.078,1.020
63,0.027,-0.078,1.008
64,0.027,-0.086,1.016
65,0.039,-0.078,1.004
66,0.039,-0.086,1.000
67,0.027,-0.082,1.008
68,0.031,-0.078,1.012
69,0.031,-0.082,1.016
70,0.035,-0.078,1.012
71,0.027,-0.090,1.012
72,0.031,-0.082,1.004
73,0.043,-0.082,1.008
74,0.031,-0.078,1.008
75,0.027,-0.078,1.008
76,0.027,-0.090,1.000
77,0.031,-0.082,1.004
78,0.043,-0.074,1.004
79,0.039,-0.078,1.008
80,0.031,-0.090,1.023
81,0.035,-0.086,1.004
82,0.027,-0.082,1.016
83,0.031,-0.074,1.008
84,0.031,-0.078,1.004
85,0.031,-0.082,1.008
86,0.027,-0.078,1.008
87,0.039,-0.078,1.008
88,0.039,-0.082,1.008
89,0.027,-0.086,1.012
90,0.023,-0.082,1.008
91,0.031,-0.082,1.000
92,0.031,-0.082,1.008
93,0.031,-0.086,1.008
94,0.027,-0.078,1.008
95,0.027,-0.082,1.012
96,0.035,-0.078,1.008
97,0.027,-0.078,1.008
98,0.031,-0.090,1.000
99,0.031,-0.090,1.000
100,0.039,-0.078,0.992
101,0.031,-0.082,1.012
102,0.027,-0.086,1.020
103,0.035,-0.078,1.008
104,0.027,-0.082,1.008
105,0.039,-0.082,1.008
106,0.027,-0.082,1.004
107,0.031,-0.082,1.000
108,0.031,-0.086,1.004
109,0.035,-0.078,1.012
110,0.020,-0.078,1.004
111,0.031,-0.074,1.020
112,0.043,-0.133,1.000
113,0.043,-0.113,1.004
114,0.027,-0.121,1.016
115,0.012,-0.145,1.027
116,-0.020,-0.184,1.027
117,-0.027,-0.164,1.043
118,0.102,-0.191,1.035
119,0.195,-0.242,0.949
120,0.258,-0.266,0.898
121,0.137,-0.215,0.895
122,-0.164,-0.262,0.926
123,-0.246,-0.434,0.836
124,0.016,-0.461,0.750
125,0.195,-0.395,0.801
126,0.195,-0.562,0.871
127,0.035,-0.805,0.863
128,-0.164,-0.906,0.840
129,-0.191,-0.801,0.957
130,-0.008,-0.785,1.059
131,0.258,-0.984,1.098
132,0.258,-1.191,1.113
133,0.082,-1.121,1.195
134,-0.172,-1.078,1.180
135,-0.180,-0.988,1.148
136,0.004,-0.895,1.184
137,0.371,-0.820,1.207
138,0.273,-0.840,1.109
139,0.043,-0.727,1.047
140,0.027,-0.387,1.117
141,0.051,-0.125,1.141
142,-0.004,-0.371,0.941
143,-0.047,-0.184,0.871
144,0.016,0.039,0.922
145,0.090,0.160,0.875
146,0.141,0.121,0.793
147,0.188,0.176,0.883
148,-0.121,0.039,0.824
149,-0.227,0.191,0.770
150,0.105,0.035,0.785
151,-0.066,0.168,0.824
152,0.137,0.109,0.980
153,0.164,-0.336,0.984
154,-0.086,-0.297,0.891
155,0.047,-0.098,1.035
156,-0.004,-0.098,1.078
157,0.145,-0.359,1.094
158,0.328,-0.738,1.031
159,-0.105,-0.422,1.008
160,-0.137,-0.629,0.992
161,-0.352,-0.426,1.070
162,0.113,-0.516,1.148
163,0.297,-0.734,1.074
164,0.273,-0.773,1.012
165,-0.023,-0.766,0.938
166,-0.016,-0.406,1.031
167,0.020,-0.641,0.961
168,-0.008,-0.512,0.910
169,-0.219,-0.773,0.875
