Sample,X,Y,Z
0,-0.012,0.184,1.035
1,0.039,-0.094,1.008
2,0.027,-0.086,1.008
3,0.047,-0.098,1.012
4,0.027,-0.098,1.004
5,0.035,-0.094,1.012
6,0.035,-0.090,1.008
7,0.027,-0.098,1.012
8,0.031,-0.109,1.008
9,0.027,-0.098,1.016
10,0.047,-0.098,1.008
11,0.035,-0.094,1.012
12,0.035,-0.098,1.012
13,0.031,-0.098,1.004
14,0.035,-0.094,1.004
15,0.035,-0.086,1.008
16,0.031,-0.094,1.004
17,0.031,-0.098,1.008
18,0.035,-0.094,1.004
19,0.039,-0.094,1.020
20,0.047,-0.094,1.000
21,0.031,-0.094,1.008
22,0.027,-0.098,1.012
23,0.035,-0.090,1.008
24,0.031,-0.102,1.008
25,0.027,-0.090,1.008
26,0.035,-0.094,1.016
27,0.035,-0.090,1.008
28,0.023,-0.098,1.004
29,0.035,-0.094,1.012
30,0.035,-0.090,1.008
31,0.031,-0.102,1.000
32,0.031,-0.094,1.008
33,0.031,-0.094,1.008
34,0.031,-0.090,1.012
35,0.031,-0.098,1.008
36,0.027,-0.102,1.008
37,0.031,-0.098,1.012
38,0.039,-0.094,1.004
39,0.035,-0.094,1.000
40,0.043,-0.102,0.992
41,0.027,-0.094,1.016
42,0.039,-0.094,1.004
43,0.035,-0.102,1.008
44,0.039,-0.098,1.012
45,0.035,-0.098,1.008
46,0.031,-0.094,1.016
47,0.031,-0.098,1.008
48,0.031,-0.098,1.008
49,0.031,-0.090,1.000
50,0.035,-0.090,1.008
51,0.031,-0.102,1.012
52,0.035,-0.102,1.008
53,0.031,-0.098,1.004
54,0.031,-0.102,1.016
55,0.035,-0.094,1.008
56,0.031,-0.094,1.008
57,0.031,-0.105,1.008
58,0.027,-0.094,1.004
59,0.035,-0.094,1.008
60,0.027,-0.105,1.051
61,0.031,-0.086,1.012
62,0.035,-0.090,1.008
63,0.027,-0.090,1.008
64,0.031,-0.102,1.008
65,0.027,-0.098,1.008
66,0.035,-0.094,1.016
67,0.031,-0.098,1.008
68,0.035,-0.102,1.012
69,0.035,-0.090,1.008
70,0.031,-0.098,1.008
