Sample,X,Y,Z
0,0.008,-0.020,0.773
1,0.000,0.004,0.996
2,0.031,0.000,1.004
3,0.043,-0.008,1.000
4,0.008,-0.012,1.008
5,0.000,0.000,1.004
6,-0.051,-0.016,1.004
7,-0.004,0.012,1.004
8,-0.008,0.004,0.996
9,0.055,0.012,0.996
10,0.016,-0.004,0.992
11,-0.008,-0.012,1.012
12,-0.012,-0.012,1.012
13,0.016,0.000,1.012
14,0.043,0.012,1.000
15,0.012,0.000,0.992
16,-0.035,0.004,1.000
17,-0.047,-0.012,0.996
18,0.023,0.004,1.000
19,0.043,0.004,0.988
20,0.070,-0.004,1.020
21,-0.004,-0.012,1.020
22,-0.051,0.000,1.000
23,-0.035,0.012,0.977
24,-0.020,-0.004,0.992
25,0.086,0.000,1.000
26,0.047,0.000,1.027
27,0.004,-0.004,1.016
28,-0.027,-0.012,1.004
29,0.012,-0.008,0.984
30,-0.023,0.000,0.992
31,0.039,0.000,1.008
32,0.020,-0.008,1.004
33,0.047,0.008,1.000
34,-0.020,0.004,0.992
35,-0.020,0.004,0.992
36,-0.031,-0.012,1.012
37,0.035,-0.004,1.027
38,0.039,-0.004,1.012
39,0.035,0.020,0.984
40,-0.031,0.016,0.961
41,-0.031,-0.004,0.996
42,0.000,-0.016,1.031
43,0.059,-0.004,1.027
44,0.051,0.004,1.008
45,-0.008,0.012,0.984
46,-0.059,0.012,0.980
47,-0.051,-0.016,1.000
48,0.051,-0.020,1.023
49,0.094,0.020,0.996
50,0.043,0.023,0.992
51,-0.031,0.008,0.984
52,-0.086,0.023,0.996
53,-0.062,-0.008,1.016
54,0.023,-0.008,1.016
55,0.102,0.008,1.004
56,0.043,0.008,0.980
57,-0.027,0.000,0.988
58,-0.059,-0.008,1.008
59,-0.031,-0.023,1.016
60,0.062,0.004,1.016
61,0.047,0.000,1.004
62,0.020,0.020,0.992
63,-0.066,-0.012,0.984
64,-0.020,0.004,1.016
65,0.012,-0.008,1.004
66,0.082,0.008,1.004
67,0.035,0.012,0.980
68,-0.039,-0.008,0.996
69,-0.047,-0.020,1.016
70,0.004,-0.004,1.012
71,0.031,0.000,1.008
72,0.059,0.008,0.992
73,-0.012,0.008,0.977
74,-0.012,0.031,0.988
75,-0.023,0.012,1.008
76,0.000,-0.020,1.039
77,0.082,0.008,1.016
78,0.035,0.016,0.988
79,-0.023,0.004,0.984
80,-0.055,0.012,0.992
81,-0.027,-0.016,1.008
82,0.051,-0.004,1.016
83,0.074,-0.008,1.008
84,0.055,0.008,0.992
85,-0.031,0.000,0.980
86,-0.059,0.012,0.992
87,-0.043,-0.004,1.008
88,0.039,0.000,1.012
89,0.055,0.000,1.023
90,0.059,0.039,1.102
91,-0.105,0.062,1.012
92,-0.035,0.160,0.961
93,-0.074,0.152,1.020
94,-0.074,0.160,1.043
95,-0.016,0.234,1.043
96,-0.051,0.312,1.027
97,-0.059,0.383,1.039
98,-0.113,0.469,1.000
99,-0.238,0.512,0.996
100,-0.156,0.617,1.094
101,-0.047,0.590,1.172
102,0.363,0.746,1.066
103,0.539,0.969,0.688
104,0.359,1.125,0.445
105,0.059,1.121,0.598
106,-0.191,0.898,1.074
107,0.043,0.781,1.480
108,0.145,0.883,1.375
109,-0.086,1.141,0.809
110,-0.504,1.215,0.445
111,-0.508,0.906,0.742
112,0.309,0.469,1.273
113,1.012,0.359,1.383
114,0.977,0.457,0.965
115,0.977,0.457,0.965
116,0.395,0.707,0.516
117,-0.707,0.469,0.570
118,-1.266,0.160,1.207
119,-0.848,-0.191,1.621
120,0.492,-0.145,1.523
121,0.906,-0.211,1.145
122,1.039,0.176,0.582
123,-0.168,0.230,0.188
124,-1.219,-0.250,0.879
125,-0.922,-0.570,1.660
126,0.297,-0.629,1.625
127,1.680,0.023,1.020
128,0.832,0.410,0.559
129,-0.812,0.285,0.758
130,-1.703,0.203,1.008
131,-1.453,-0.059,1.363
132,0.578,0.293,1.500
133,1.262,0.320,0.996
134,1.598,0.832,0.668
135,-0.188,0.621,0.555
136,-0.797,0.836,0.836
137,-1.539,0.777,0.984
138,-0.031,0.883,1.234
139,-0.031,0.883,1.234
140,0.430,0.750,1.398
141,1.121,0.891,1.031
142,0.113,0.848,0.430
143,-0.117,0.723,0.617
144,-0.285,0.609,1.000
145,0.051,0.477,1.316
146,0.492,0.488,1.578
147,0.262,0.719,1.012
148,0.008,1.023,0.312
149,-0.797,0.637,0.602
150,-0.273,0.312,0.984
151,0.395,0.148,1.242
152,0.738,0.051,1.434
153,0.699,0.191,1.281
154,0.109,0.492,0.859
155,-0.750,0.680,0.598
156,-1.109,0.453,0.789
157,-0.660,0.258,1.000
158,0.328,0.262,1.086
159,0.961,0.125,1.289
160,0.562,-0.133,1.234
161,0.527,0.297,0.883
162,-0.676,0.449,0.480
163,-0.875,0.258,0.957
164,-0.418,0.223,1.484
165,-0.262,0.168,1.125
166,0.879,0.438,1.059
167,0.105,0.152,0.914
168,0.062,0.172,0.766
169,0.109,0.441,0.543
170,-0.262,0.039,1.176
171,0.156,0.082,1.746
172,-0.164,0.113,1.094
173,0.121,0.457,0.867
174,-0.352,0.305,0.863
175,-0.359,0.285,0.672
176,0.469,0.355,0.891
177,0.250,-0.203,1.320
178,0.859,0.289,1.492
179,0.051,0.398,0.719
180,-0.051,0.945,0.508
181,-1.223,0.445,0.793
182,-0.531,0.551,1.156
183,0.055,0.375,1.141
184,1.113,0.582,1.277
185,0.402,0.371,1.031
