Sample,X,Y,Z
0,0.012,0.180,1.031
1,0.027,-0.086,1.008
2,0.027,-0.082,1.000
3,0.031,-0.086,1.012
4,0.031,-0.078,1.012
5,0.035,-0.086,1.012
6,0.023,-0.098,1.008
7,0.027,-0.086,1.004
8,0.039,-0.086,1.016
9,0.035,-0.086,1.012
10,0.023,-0.086,1.016
11,0.027,-0.078,1.012
12,0.031,-0.082,1.012
13,0.035,-0.086,1.000
14,0.027,-0.098,1.008
15,0.027,-0.094,1.004
16,0.035,-0.078,1.008
17,0.047,-0.078,1.008
18,0.035,-0.086,1.012
19,0.023,-0.082,1.008
20,0.043,-0.078,0.949
21,0.027,-0.078,1.016
22,0.031,-0.094,1.008
23,0.031,-0.094,1.000
24,0.023,-0.090,1.012
25,0.023,-0.082,1.008
26,0.039,-0.078,1.000
27,0.023,-0.086,1.020
28,0.035,-0.086,1.004
29,0.027,-0.082,1.012
30,0.031,-0.078,1.004
31,0.023,-0.078,1.008
32,0.027,-0.090,1.016
33,0.031,-0.090,1.004
34,0.039,-0.074,1.016
35,0.027,-0.090,1.008
36,0.027,-0.094,1.004
37,0.031,-0.086,1.004
38,0.035,-0.082,1.012
39,0.027,-0.086,1.012
40,0.012,-0.082,0.973
41,0.027,-0.098,1.008
42,0.035,-0.078,1.016
43,0.039,-0.086,1.012
44,0.031,-0.090,1.016
45,0.027,-0.094,1.012
46,0.023,-0.086,1.016
47,0.031,-0.070,1.008
48,0.043,-0.086,1.012
49,0.027,-0.098,1.008
50,0.027,-0.094,1.008
51,0.031,-0.082,1.016
52,0.035,-0.082,1.012
53,0.043,-0.086,1.008
54,0.031,-0.094,1.012
55,0.027,-0.094,1.008
56,0.031,-0.082,1.012
57,0.035,-0.078,1.008
58,0.031,-0.082,1.008
59,0.027,-0.090,1.008
60,0.039,-0.078,1.012
61,0.027,-0.074,1.004
62,0.035,-0.082,1.004
63,0.031,-0.090,1.008
64,0.031,-0.086,1.012
65,0.031,-0.086,1.008
66,0.035,-0.086,1.008
67,0.027,-0.090,1.008
68,0.031,-0.086,1.004
69,0.031,-0.082,1.000
70,0.031,-0.074,1.012
71,0.035,-0.094,1.012
72,0.027,-0.098,1.004
73,0.035,-0.090,1.012
74,0.039,-0.074,1.008
75,0.027,-0.086,1.012
76,0.031,-0.094,1.004
77,0.031,-0.090,1.004
78,0.031,-0.082,1.012
79,0.031,-0.078,1.004
80,0.031,-0.074,0.988
81,0.031,-0.090,1.008
82,0.039,-0.082,1.008
83,0.035,-0.086,1.008
84,0.020,-0.086,1.016
85,0.031,-0.082,1.012
86,0.027,-0.082,1.012
87,0.031,-0.086,1.008
88,0.027,-0.090,1.004
89,0.035,-0.082,1.008
90,0.035,-0.086,1.008
91,0.027,-0.098,1.012
92,0.027,-0.094,1.000
93,0.031,-0.090,1.008
94,0.031,-0.086,1.008
95,0.027,-0.090,1.020
96,0.031,-0.090,1.012
97,0.023,-0.098,1.000
98,0.031,-0.082,1.008
99,0.035,-0.082,1.000
100,0.012,-0.086,0.977
101,0.031,-0.082,1.016
102,0.031,-0.086,1.008
103,0.035,-0.082,1.004
104,0.035,-0.090,1.004
105,0.031,-0.090,1.008
106,0.023,-0.086,1.012
107,0.027,-0.078,1.016
108,0.031,-0.086,1.008
109,0.031,-0.086,1.008
110,0.027,-0.086,1.008
111,0.023,-0.082,1.004
112,0.020,-0.059,1.016
113,0.031,-0.094,1.016
114,0.055,-0.121,0.996
115,0.043,-0.105,0.996
116,0.035,-0.098,1.016
117,0.008,-0.121,1.023
118,0.016,-0.148,1.027
119,0.039,-0.156,1.023
120,0.031,-0.125,1.031
121,0.020,-0.148,1.039
122,0.027,-0.148,1.027
123,0.051,-0.145,1.027
124,0.082,-0.156,0.988
125,0.094,-0.094,0.980
126,-0.027,-0.090,0.965
127,-0.105,-0.176,0.914
128,0.051,-0.234,0.848
129,0.156,-0.195,0.785
130,0.191,-0.230,0.855
131,-0.004,-0.391,0.867
132,-0.066,-0.504,0.863
133,0.000,-0.516,0.863
134,0.102,-0.465,0.930
135,0.129,-0.637,1.000
136,0.039,-0.797,1.043
137,-0.027,-0.812,1.094
138,0.008,-0.758,1.145
139,0.109,-0.676,1.191
140,0.117,-0.738,1.188
141,0.027,-0.711,1.207
142,-0.086,-0.621,1.191
143,-0.117,-0.453,1.141
144,0.020,-0.434,1.059
145,0.141,-0.359,0.980
146,0.203,-0.273,0.973
147,0.215,-0.207,0.949
148,-0.039,-0.148,0.855
149,-0.148,-0.090,0.805
150,-0.113,0.020,0.812
151,0.152,0.098,0.883
152,0.285,-0.008,0.914
153,0.016,-0.180,0.852
154,-0.199,-0.230,0.801
155,-0.199,0.070,0.910
156,0.285,0.074,1.062
157,0.395,-0.344,0.988
158,-0.090,-0.555,0.898
159,-0.164,-0.312,1.035
160,0.070,0.031,1.172
161,0.172,-0.340,1.055
162,0.090,-0.727,0.926
163,-0.145,-0.520,1.027
164,-0.070,-0.371,1.102
165,0.074,-0.402,0.988
166,0.293,-0.570,1.023
167,-0.004,-0.594,1.066
168,-0.141,-0.551,0.973
169,0.141,-0.566,0.945
170,-0.031,-0.562,0.957
171,-0.070,-0.340,1.090
172,0.246,-0.598,1.078
173,-0.039,-0.773,0.832
174,-0.027,-0.559,0.887
175,-0.035,-0.254,1.012
176,-0.055,-0.277,1.027
177,0.238,-0.715,1.016
178,0.086,-0.500,0.957
179,0.168,-0.594,0.957
180,-0.082,-0.281,0.941
181,0.094,-0.164,1.137
182,-0.020,-0.633,0.957
