Sample,X,Y,Z
0,-0.066,0.258,1.047
1,0.027,-0.094,1.012
2,0.035,-0.082,1.004
3,0.043,-0.082,1.012
4,0.039,-0.086,1.008
5,0.027,-0.090,1.004
6,0.031,-0.094,1.008
7,0.039,-0.082,1.012
8,0.043,-0.082,1.004
9,0.031,-0.090,1.016
10,0.035,-0.094,1.008
11,0.031,-0.082,1.008
12,0.031,-0.086,1.020
13,0.031,-0.090,1.004
14,0.031,-0.094,1.008
15,0.031,-0.094,1.008
16,0.039,-0.082,1.012
17,0.035,-0.082,1.008
18,0.031,-0.082,1.000
19,0.039,-0.090,1.008
20,0.055,-0.082,1.004
21,0.035,-0.082,1.012
22,0.039,-0.090,1.008
23,0.027,-0.094,1.004
24,0.035,-0.082,1.004
25,0.039,-0.086,1.016
26,0.031,-0.086,0.996
27,0.035,-0.090,1.000
28,0.035,-0.082,1.004
29,0.039,-0.078,1.004
30,0.031,-0.086,1.008
31,0.035,-0.086,1.008
32,0.031,-0.086,1.004
33,0.039,-0.086,1.016
34,0.027,-0.090,1.012
35,0.035,-0.090,1.004
36,0.039,-0.086,1.004
37,0.039,-0.090,1.008
38,0.027,-0.090,1.008
39,0.027,-0.078,1.008
40,0.059,-0.090,1.031
41,0.031,-0.094,1.004
42,0.023,-0.098,1.004
43,0.035,-0.078,1.000
44,0.031,-0.086,1.008
45,0.039,-0.086,1.023
46,0.031,-0.090,1.012
47,0.023,-0.086,1.004
48,0.035,-0.082,1.004
49,0.043,-0.074,1.004
50,0.039,-0.086,1.004
51,0.031,-0.098,1.012
52,0.023,-0.082,1.004
53,0.039,-0.074,1.012
54,0.039,-0.086,1.016
55,0.039,-0.094,1.008
56,0.031,-0.094,1.012
57,0.027,-0.086,1.008
58,0.039,-0.074,1.012
59,0.035,-0.086,1.012
60,0.035,-0.098,1.062
61,0.023,-0.090,1.004
62,0.031,-0.082,1.012
63,0.035,-0.082,1.004
64,0.039,-0.086,1.012
65,0.027,-0.098,1.016
66,0.035,-0.094,1.000
67,0.039,-0.078,1.004
68,0.039,-0.078,1.004
69,0.039,-0.086,1.000
70,0.023,-0.094,1.008
71,0.027,-0.090,1.008
72,0.035,-0.082,1.012
73,0.035,-0.086,1.012
74,0.027,-0.098,1.004
75,0.027,-0.078,1.008
76,0.031,-0.090,1.020
77,0.027,-0.090,1.004
78,0.031,-0.094,1.020
79,0.031,-0.086,1.016
80,0.004,-0.090,1.055
81,0.035,-0.086,1.008
82,0.027,-0.098,1.008
83,0.035,-0.086,1.004
84,0.035,-0.090,1.008
85,0.031,-0.086,1.008
86,0.039,-0.086,1.012
87,0.031,-0.086,1.012
88,0.031,-0.090,1.008
89,0.027,-0.086,1.012
90,0.031,-0.086,1.000
91,0.031,-0.090,1.008
92,0.035,-0.090,1.012
93,0.031,-0.086,1.008
94,0.035,-0.082,1.008
95,0.035,-0.090,1.004
96,0.035,-0.094,1.012
97,0.031,-0.086,1.008
98,0.027,-0.090,1.004
99,0.035,-0.086,1.008
100,0.035,-0.105,1.055
101,0.023,-0.090,1.008
102,0.031,-0.086,1.008
103,0.039,-0.090,1.000
104,0.035,-0.086,1.012
105,0.039,-0.094,1.008
106,0.031,-0.094,1.012
107,0.035,-0.090,1.000
108,0.035,-0.074,1.008
109,0.023,-0.090,1.012
110,0.031,-0.090,1.004
111,0.039,-0.090,1.004
112,0.035,-0.086,1.012
113,0.027,-0.074,1.008
114,0.047,-0.074,1.016
115,0.070,-0.082,1.012
116,0.012,-0.102,1.000
117,-0.027,-0.094,1.004
118,0.004,-0.074,1.016
119,0.078,-0.082,1.020
120,0.105,-0.117,1.035
121,0.020,-0.125,1.008
122,-0.043,-0.086,1.016
123,0.016,-0.059,1.027
124,0.070,-0.102,1.020
125,0.031,-0.121,1.008
126,-0.016,-0.109,1.012
127,0.023,-0.090,1.012
128,0.078,-0.082,1.004
129,0.047,-0.082,1.008
130,-0.020,-0.098,1.008
131,0.008,-0.102,1.012
132,0.023,-0.082,1.016
133,0.012,-0.074,1.004
134,-0.008,-0.094,1.012
135,0.008,-0.098,1.008
136,0.031,-0.102,1.000
137,0.016,-0.094,1.008
138,-0.082,-0.105,1.016
139,-0.133,-0.125,0.988
140,-0.180,-0.102,0.980
141,-0.133,-0.129,0.961
142,-0.129,-0.180,0.930
143,-0.234,-0.223,0.914
144,-0.266,-0.258,0.926
145,-0.266,-0.262,0.938
146,-0.203,-0.301,0.922
147,-0.164,-0.352,0.941
148,-0.137,-0.430,0.965
149,-0.078,-0.473,0.977
150,0.004,-0.496,1.004
151,-0.090,-0.484,1.020
152,-0.371,-0.531,1.047
153,-0.363,-0.535,1.078
154,0.012,-0.496,1.125
155,0.273,-0.480,1.121
156,0.152,-0.539,1.105
157,-0.215,-0.473,1.070
158,-0.367,-0.324,1.059
159,-0.012,-0.121,1.055
160,0.348,-0.055,0.965
161,0.500,-0.184,0.992
162,-0.195,-0.199,0.926
163,-0.480,-0.023,0.934
164,-0.359,0.184,0.949
165,0.215,0.180,0.930
166,0.355,-0.008,0.883
167,-0.324,-0.012,0.867
168,-0.785,0.043,0.918
169,-0.215,0.219,0.965
170,0.410,0.223,0.957
171,0.121,-0.121,0.953
172,-0.484,-0.270,0.973
173,-0.535,-0.160,1.000
174,-0.238,-0.074,1.070
175,0.289,-0.180,1.102
176,0.391,-0.363,1.090
177,-0.402,-0.551,1.031
178,-0.629,-0.559,1.016
179,-0.273,-0.148,1.090
180,-0.043,-0.188,1.113
181,0.391,-0.609,1.023
182,0.125,-0.551,0.969
183,-0.453,-0.531,0.938
184,-0.340,-0.398,0.969
185,-0.203,-0.039,1.000
186,0.352,-0.492,0.980
187,0.141,-0.609,0.906
188,-0.527,-0.441,0.910
189,-0.574,-0.414,0.992
190,-0.168,-0.094,1.027
191,0.480,-0.223,1.039
192,0.207,-0.555,0.953
193,-0.395,-0.379,0.988
194,-0.398,-0.250,1.020
195,-0.109,-0.117,1.023
196,0.043,-0.219,1.012
197,-0.047,-0.184,1.051
198,-0.102,-0.277,1.000
199,-0.074,-0.160,0.996
200,0.152,-0.102,1.035
201,-0.121,-0.004,1.043
202,-0.094,-0.035,0.980
203,-0.051,-0.156,0.988
204,-0.359,-0.129,0.953
205,0.074,-0.105,1.039
206,0.156,0.055,1.043
207,-0.203,-0.125,0.969
208,-0.184,-0.168,1.000
209,-0.137,-0.105,0.973
210,-0.172,-0.176,0.957
211,-0.410,-0.176,0.992
212,-0.027,0.031,1.023
213,0.262,-0.184,0.996
214,0.133,-0.367,0.945
215,-0.035,-0.379,0.992
216,-0.480,-0.094,0.984
217,-0.504,-0.125,1.020
218,0.109,-0.234,1.008
219,0.516,-0.230,1.035
220,0.348,-0.555,0.988
221,-0.039,-0.363,0.938
222,-0.379,-0.105,0.996
223,-0.496,-0.090,1.027
224,0.180,-0.242,1.000
225,0.945,-0.266,1.051
226,0.480,-0.539,1.008
227,-0.305,-0.395,0.992
228,-0.977,0.000,1.074
229,-0.605,-0.039,1.020
230,0.742,-0.090,1.078
231,1.141,0.012,1.055
232,0.375,-0.355,0.910
233,-0.840,0.047,0.941
234,-1.582,0.219,1.016
235,-0.125,-0.070,0.996
236,1.051,-0.012,1.000
237,1.258,-0.223,0.977
238,-0.121,-0.504,0.926
239,-1.848,-0.102,0.883
240,-1.203,0.289,0.973
241,0.809,0.461,1.094
242,1.762,-0.094,1.035
243,1.109,-1.004,0.938
244,-1.219,-0.344,0.934
245,-1.863,0.336,1.082
246,-0.184,0.605,1.176
247,1.703,0.043,1.109
248,1.828,-0.773,1.008
249,-0.223,-0.816,0.957
250,-1.906,-0.098,1.027
251,-1.156,0.547,1.148
252,0.938,0.602,1.113
253,1.984,-0.348,1.012
254,1.000,-0.941,0.855
255,-1.375,-0.348,0.852
256,-1.750,0.461,1.004
257,-0.184,0.930,1.055
258,1.730,0.098,0.984
259,1.492,-0.906,0.797
260,-0.746,-0.633,0.785
261,-1.891,0.047,0.949
262,-0.840,0.879,1.105
263,1.219,0.426,1.094
264,1.773,-0.766,0.953
265,-0.105,-0.957,0.910
266,-1.848,-0.496,0.992
267,-1.098,0.527,1.184
268,0.734,0.707,1.250
269,1.910,-0.516,1.074
270,0.742,-1.082,0.941
271,-1.535,-0.578,0.977
272,-1.410,0.262,1.141
273,0.090,0.875,1.160
274,1.637,0.094,1.059
275,1.332,-0.906,0.895
276,-0.844,-0.551,0.812
277,-1.609,0.031,0.938
278,-0.301,0.891,1.059
279,1.375,0.617,1.023
280,1.371,-0.605,0.926
281,-0.414,-0.781,0.785
282,-1.359,-0.172,0.934
283,-0.434,0.715,1.098
284,0.863,0.703,1.121
285,1.230,-0.352,0.980
286,-0.094,-0.805,0.871
287,-1.152,-0.449,0.926
288,-0.555,0.316,1.129
289,0.406,0.562,1.203
290,1.141,-0.094,1.102
291,0.344,-0.773,0.961
292,-0.984,-0.656,0.938
293,-0.605,-0.090,1.102
294,0.238,0.590,1.156
295,0.992,0.148,1.117
296,0.520,-0.660,0.926
297,-0.773,-0.527,0.855
298,-0.793,-0.141,0.969
299,0.082,0.477,1.027
300,0.832,0.434,1.074
301,0.758,-0.395,0.926
302,-0.605,-0.465,0.836
303,-1.039,-0.309,0.910
304,-0.121,0.203,1.043
305,0.832,0.539,1.078
306,1.027,-0.156,1.023
307,-0.250,-0.586,0.902
308,-1.211,-0.402,0.945
309,-0.301,0.176,1.109
310,0.668,0.566,1.180
311,1.195,0.043,1.098
312,0.113,-0.594,0.938
313,-1.195,-0.398,0.918
314,-0.531,0.039,1.043
315,0.695,0.559,1.062
316,1.199,0.180,1.027
317,0.133,-0.531,0.902
318,-1.258,-0.473,0.836
319,-0.652,-0.102,0.938
320,0.598,0.457,1.047
321,1.234,0.270,1.086
322,0.488,-0.555,0.984
323,-1.137,-0.609,0.887
324,-0.887,-0.199,1.023
325,0.383,0.363,1.129
326,1.117,0.324,1.156
327,0.852,-0.508,1.043
328,-0.895,-0.551,0.953
329,-1.293,-0.230,0.992
330,0.102,0.176,1.090
331,0.797,0.406,1.102
332,1.023,-0.367,1.027
333,-0.180,-0.559,0.926
334,-1.156,-0.238,0.898
335,-0.270,0.066,1.020
336,0.605,0.570,1.078
337,1.070,-0.051,1.004
338,0.227,-0.504,0.914
339,-1.125,-0.285,0.883
340,-0.672,0.055,0.941
341,0.441,0.488,1.043
342,1.074,0.246,1.047
343,0.562,-0.492,0.926
344,-0.969,-0.402,0.875
345,-0.883,-0.059,0.992
346,0.234,0.395,1.094
347,0.914,0.352,1.117
348,0.773,-0.410,1.008
349,-0.574,-0.508,0.961
350,-1.031,-0.195,1.004
351,0.070,0.289,1.113
352,0.809,0.508,1.133
353,1.031,-0.352,1.027
354,-0.246,-0.656,0.902
355,-1.168,-0.145,0.965
356,-0.195,0.133,1.039
357,0.707,0.570,1.070
358,0.938,-0.180,0.988
359,-1.070,-0.441,0.891
360,-0.707,-0.027,1.078
361,0.336,0.191,1.078
362,0.945,0.219,1.121
363,0.527,-0.656,1.020
364,-0.926,-0.582,0.891
365,-0.727,-0.094,1.027
366,0.188,0.105,1.086
367,0.742,0.230,1.102
368,0.836,-0.500,1.055
369,-0.453,-0.535,0.902
370,-1.121,-0.211,0.969
371,-0.078,0.168,1.102
372,0.828,0.395,1.062
373,1.164,-0.160,1.004
374,-0.086,-0.539,0.906
375,-1.445,-0.188,0.922
376,-0.359,0.172,1.051
377,0.824,0.484,1.039
378,1.195,0.070,1.000
379,0.461,-0.543,0.930
380,-1.332,-0.184,0.863
381,-1.012,0.129,0.988
382,0.559,0.500,1.109
383,1.328,0.301,1.070
384,0.738,-0.574,0.973
385,-1.102,-0.473,0.898
386,-1.453,0.109,1.031
387,0.105,0.449,1.098
388,1.441,0.402,1.117
389,1.211,-0.484,0.980
390,-0.727,-0.551,0.859
391,-1.676,-0.168,0.930
392,-0.453,0.383,1.031
393,1.332,0.441,1.094
394,1.660,-0.227,1.000
395,-0.102,-0.773,0.859
396,-1.688,-0.574,0.875
397,-0.906,0.215,1.059
398,0.816,0.547,1.160
399,1.773,-0.176,1.105
400,0.570,-0.953,0.941
401,-1.520,-0.734,0.914
402,-1.418,-0.004,1.062
403,0.477,0.656,1.172
404,1.898,0.129,1.113
405,1.219,-0.777,0.938
406,-1.199,-0.801,0.852
407,-1.809,-0.125,0.953
408,-0.316,0.668,1.129
409,1.473,0.531,1.121
410,1.676,-0.609,0.996
411,-0.367,-0.848,0.824
412,-1.801,-0.250,0.930
413,-0.652,0.570,1.137
414,0.816,0.738,1.129
415,1.625,-0.266,0.965
416,0.227,-0.781,0.859
417,-1.457,-0.316,0.871
418,-0.844,0.195,1.023
419,0.258,0.891,1.105
420,1.555,0.145,1.035
421,0.754,-0.688,0.895
422,-1.195,-0.434,0.859
423,-1.074,-0.109,1.027
424,-0.008,0.762,1.152
425,1.191,0.363,1.129
426,1.219,-0.609,0.969
427,-0.512,-0.539,0.867
428,-1.219,-0.199,0.988
429,-0.410,0.418,1.109
430,0.852,0.574,1.090
431,1.457,-0.328,0.977
432,-0.105,-0.637,0.871
433,-1.469,-0.453,0.891
434,-0.387,0.188,1.051
435,0.809,0.621,1.117
436,1.340,-0.184,1.000
437,0.098,-0.762,0.938
438,-1.359,-0.582,0.895
439,-0.645,-0.008,1.066
440,0.484,0.531,1.145
441,1.297,0.086,1.090
442,0.688,-0.719,0.953
443,-1.176,-0.500,0.887
444,-1.008,-0.219,1.020
445,0.051,0.469,1.152
446,1.086,0.301,1.074
447,0.965,-0.656,0.984
448,-0.707,-0.531,0.902
449,-1.234,-0.336,0.969
450,-0.047,0.395,1.121
451,0.941,0.445,1.098
452,1.102,-0.414,0.969
453,-0.355,-0.508,0.883
454,-1.406,-0.266,0.922
455,-0.316,0.188,1.023
456,0.891,0.648,1.086
457,1.219,-0.113,0.965
458,-0.117,-0.602,0.855
459,-1.324,-0.348,0.875
460,-0.426,0.086,1.043
461,0.633,0.605,1.129
462,1.227,0.023,1.102
463,0.316,-0.645,1.000
464,-1.137,-0.418,0.918
465,-0.648,0.141,1.078
466,0.277,0.492,1.121
467,1.020,0.266,1.078
468,0.594,-0.527,0.906
469,-0.730,-0.199,0.875
470,-0.879,-0.094,0.973
471,0.164,0.336,1.023
472,1.012,0.320,1.020
473,0.703,-0.367,0.945
474,-0.699,-0.422,0.883
475,-0.926,-0.277,0.938
476,-0.016,0.172,1.059
477,0.887,0.301,1.098
478,1.043,-0.234,1.031
479,-0.500,-0.473,0.926
480,-1.348,-0.398,0.926
481,-0.098,0.004,1.090
482,0.895,0.426,1.156
483,1.184,-0.340,1.066
484,-0.191,-0.590,0.980
485,-1.406,-0.293,0.965
486,-0.562,-0.098,1.059
487,0.910,0.457,1.121
488,1.555,-0.023,1.078
489,0.305,-0.586,0.918
490,-1.434,-0.363,0.887
491,-1.098,0.039,1.016
492,0.234,0.445,1.078
493,1.367,0.266,1.012
494,1.219,-0.473,0.934
495,-1.023,-0.484,0.812
496,-1.523,-0.160,0.906
497,-0.137,0.438,1.105
498,1.113,0.414,1.023
499,1.441,-0.453,0.977
500,-0.449,-0.562,0.902
501,-1.570,-0.348,0.934
502,-0.535,0.219,1.137
503,0.812,0.566,1.172
504,1.715,-0.129,1.105
505,0.281,-0.605,0.980
506,-1.605,-0.469,0.930
507,-0.914,0.078,1.059
508,0.594,0.867,1.156
509,1.648,0.109,1.066
510,0.805,-0.727,0.859
511,-1.164,-0.359,0.863
512,-1.254,-0.004,0.977
513,0.102,0.664,1.062
514,1.570,0.379,1.051
515,1.145,-0.613,0.898
516,-0.883,-0.555,0.828
517,-1.543,-0.156,0.926
518,-0.285,0.438,1.090
519,1.285,0.484,1.086
520,1.520,-0.418,0.992
521,-0.590,-0.746,0.906
522,-1.812,-0.430,0.980
523,-0.598,0.148,1.113
524,0.949,0.695,1.164
525,1.828,-0.355,1.109
526,0.145,-0.797,0.922
527,-1.656,-0.531,0.938
528,-1.043,-0.082,1.082
529,0.375,0.727,1.184
530,1.742,0.039,1.074
531,1.027,-0.699,0.906
532,-1.250,-0.562,0.824
533,-1.383,-0.191,0.945
534,0.000,0.719,1.102
535,1.398,0.383,1.035
536,1.480,-0.559,0.910
537,-0.688,-0.609,0.836
538,-1.680,-0.367,0.902
539,-0.488,0.422,1.117
540,0.961,0.660,1.145
541,1.824,-0.309,1.020
542,0.098,-0.605,0.934
543,-1.730,-0.500,0.949
544,-0.941,0.090,1.102
545,0.516,0.965,1.191
546,1.836,0.145,1.102
547,0.703,-0.652,0.926
548,-1.449,-0.578,0.824
549,-1.242,-0.004,0.992
550,0.180,0.898,1.137
551,1.586,0.469,1.035
552,1.055,-0.617,0.836
553,-0.965,-0.578,0.809
554,-1.371,-0.211,0.898
555,-0.125,0.645,1.086
556,1.211,0.492,1.078
557,1.164,-0.434,0.953
558,-0.527,-0.742,0.879
559,-1.258,-0.449,0.977
560,-0.430,0.145,1.109
561,0.820,0.602,1.172
562,1.461,-0.281,1.109
563,-0.129,-0.750,0.945
564,-1.461,-0.625,0.957
565,-0.719,-0.059,1.113
566,0.602,0.699,1.176
567,1.488,-0.004,1.094
568,0.289,-0.648,0.922
569,-1.262,-0.562,0.855
570,-0.801,-0.102,1.020
571,0.148,0.629,1.109
572,1.457,0.285,1.066
573,0.867,-0.547,0.887
574,-1.129,-0.496,0.793
575,-1.121,-0.309,0.918
576,0.031,0.633,1.059
577,1.328,0.363,1.055
578,1.242,-0.438,0.949
579,-0.797,-0.457,0.871
580,-1.270,-0.461,0.973
581,-0.438,0.262,1.090
582,0.980,0.617,1.180
583,1.543,-0.293,1.105
584,-0.156,-0.520,0.984
585,-1.328,-0.598,0.984
586,-0.566,0.160,1.137
587,0.504,0.785,1.164
588,1.387,-0.066,1.074
589,0.219,-0.520,0.922
590,-1.195,-0.383,0.895
591,-0.758,0.059,0.957
592,0.379,0.773,1.070
593,1.395,0.203,1.012
594,0.539,-0.398,0.859
595,-1.160,-0.438,0.785
596,-0.910,-0.102,0.934
597,0.320,0.543,1.082
598,1.293,0.320,1.098
599,0.648,-0.613,0.953
600,-0.984,-0.500,0.867
601,-1.113,-0.258,0.992
602,-0.004,0.309,1.102
603,1.117,0.246,1.117
604,1.223,-0.516,1.062
605,-0.605,-0.645,0.926
606,-1.477,-0.414,0.965
607,-0.406,0.102,1.125
608,0.797,0.438,1.141
609,1.613,-0.285,1.055
610,0.102,-0.691,0.898
611,-1.559,-0.457,0.859
612,-0.980,-0.062,1.027
613,0.453,0.699,1.109
614,1.828,-0.164,1.074
615,0.766,-0.691,0.930
616,-1.297,-0.527,0.902
617,-1.191,-0.090,1.027
618,-0.035,0.605,1.129
619,1.559,0.336,1.094
620,1.266,-0.473,1.004
621,-0.844,-0.531,0.891
622,-1.465,-0.277,0.961
623,-0.418,0.582,1.113
624,1.297,0.805,1.129
625,1.723,-0.277,1.000
626,-0.414,-0.645,0.824
627,-1.824,-0.305,0.879
628,-0.691,0.473,1.051
629,0.914,1.059,1.094
630,1.797,-0.285,0.957
631,0.109,-0.723,0.812
632,-1.664,-0.328,0.898
633,-0.965,0.102,1.027
634,0.613,0.867,1.129
635,1.734,-0.051,1.090
636,0.523,-0.863,0.910
637,-1.367,-0.645,0.906
638,-1.117,-0.113,1.055
639,0.051,0.613,1.195
640,1.496,0.125,1.164
641,1.137,-0.781,0.984
642,-0.801,-0.730,0.926
643,-1.465,-0.363,1.016
644,-0.402,0.402,1.117
645,1.246,0.508,1.160
646,1.652,-0.535,1.000
647,-0.328,-0.734,0.848
648,-1.516,-0.434,0.898
649,-0.773,0.285,1.047
650,0.691,0.789,1.086
651,1.777,-0.219,0.926
652,0.191,-0.727,0.855
653,-1.559,-0.547,0.867
654,-0.871,0.043,1.031
655,0.496,0.945,1.133
656,1.688,0.094,1.117
657,0.520,-0.848,0.887
658,-1.344,-0.512,0.844
659,-1.117,-0.012,1.070
660,0.000,0.781,1.148
661,1.574,0.297,1.125
662,1.121,-0.680,0.965
663,-0.984,-0.586,0.875
664,-1.383,-0.152,0.988
665,-0.309,0.578,1.125
666,1.203,0.535,1.117
667,1.566,-0.402,0.961
668,-0.398,-0.664,0.840
669,-1.484,-0.355,0.879
670,-0.559,0.438,1.090
671,0.949,0.812,1.145
672,1.734,-0.289,1.023
673,0.012,-0.781,0.832
674,-1.574,-0.387,0.895
675,-0.863,0.215,1.070
676,0.715,0.797,1.156
677,1.582,-0.055,1.094
678,0.340,-0.875,0.867
679,-1.270,-0.445,0.855
680,-1.039,-0.020,1.027
681,-0.039,0.648,1.109
682,1.301,0.102,1.121
683,1.113,-0.684,0.930
684,-0.508,-0.676,0.855
685,-1.285,-0.234,0.961
686,-0.660,0.359,1.086
687,0.781,0.434,1.094
688,1.410,-0.402,0.980
689,0.125,-0.746,0.875
690,-1.023,-0.469,0.992
691,-0.969,-0.020,1.074
692,0.258,0.559,1.152
693,1.539,-0.055,1.125
694,0.668,-0.543,0.957
695,-0.844,-0.727,0.906
696,-0.941,-0.074,1.043
697,-0.129,0.672,1.145
698,1.273,0.316,1.113
699,0.828,-0.422,0.910
700,-0.621,-0.539,0.863
701,-0.859,-0.160,0.969
702,-0.258,0.594,1.078
703,1.141,0.562,1.098
704,0.820,-0.133,0.938
705,-0.746,-0.375,0.805
706,-1.047,-0.402,0.871
707,-0.156,0.453,1.004
708,1.059,0.664,1.082
709,1.016,-0.145,0.945
710,-0.484,-0.473,0.859
711,-1.113,-0.527,0.930
712,-0.395,0.121,1.062
713,0.738,0.531,1.172
714,1.254,-0.191,1.090
715,-0.098,-0.641,0.980
716,-1.125,-0.609,0.973
717,-0.680,-0.164,1.082
718,0.414,0.531,1.195
719,1.363,-0.078,1.137
720,0.305,-0.594,0.949
721,-0.984,-0.555,0.926
722,-0.785,-0.180,1.004
723,0.188,0.578,1.090
724,1.371,0.160,1.066
725,0.770,-0.422,0.910
726,-0.941,-0.441,0.812
727,-1.195,-0.215,0.934
728,-0.129,0.434,1.035
729,1.246,0.320,1.047
730,1.258,-0.285,0.914
731,-0.500,-0.410,0.879
732,-1.457,-0.402,0.938
733,-0.672,0.102,1.008
734,0.922,0.605,1.129
735,1.656,-0.188,1.070
736,0.125,-0.617,0.957
737,-1.332,-0.648,0.957
738,-1.078,0.043,1.129
739,0.371,0.598,1.207
740,1.531,0.039,1.109
741,0.574,-0.551,0.988
742,-1.066,-0.559,0.934
743,-1.133,-0.051,1.012
744,0.117,0.586,1.094
745,1.535,0.422,1.121
746,1.059,-0.375,0.926
747,-0.785,-0.488,0.840
748,-1.211,-0.215,0.938
749,-0.242,0.590,1.031
750,1.305,0.672,1.062
751,1.230,-0.277,0.941
752,-0.484,-0.523,0.836
753,-1.316,-0.355,0.910
754,-0.559,0.324,1.047
755,0.781,0.574,1.090
756,1.387,-0.137,1.016
757,0.000,-0.609,0.914
758,-1.270,-0.648,0.930
759,-0.668,0.020,1.078
760,0.594,0.527,1.164
761,1.312,-0.109,1.078
762,0.309,-0.582,0.973
763,-1.113,-0.664,0.938
764,-1.004,-0.254,1.039
765,0.434,0.527,1.160
766,1.574,0.070,1.145
767,0.383,-0.543,0.895
768,-1.227,-0.523,0.902
769,-1.285,-0.273,0.992
770,0.086,0.469,1.086
771,1.777,0.277,1.059
772,1.156,-0.223,0.934
773,-0.863,-0.633,0.848
774,-1.609,-0.434,0.910
775,-0.328,0.434,1.020
776,1.504,0.695,1.137
777,1.543,-0.215,1.012
778,-0.402,-0.730,0.840
779,-1.730,-0.566,0.910
780,-0.973,0.352,1.094
781,0.887,0.879,1.188
782,1.926,-0.035,1.062
783,0.480,-0.777,0.895
784,-1.379,-0.621,0.918
785,-1.234,0.062,1.039
786,0.035,0.840,1.145
787,1.703,0.246,1.152
788,1.117,-0.504,0.910
789,-0.812,-0.645,0.824
790,-1.340,-0.230,0.965
791,-0.449,0.668,1.098
792,1.105,0.602,1.059
793,1.383,-0.242,0.953
794,-0.457,-0.770,0.816
795,-1.402,-0.473,0.895
796,-0.770,0.281,1.082
797,0.672,0.660,1.148
798,1.492,-0.102,1.020
799,0.352,-0.715,0.906
800,-1.203,-0.758,0.934
801,-0.871,-0.062,1.082
802,0.242,0.695,1.152
803,1.230,0.109,1.137
804,0.559,-0.711,0.949
805,-0.738,-0.656,0.914
806,-0.617,-0.238,1.008
807,0.008,0.590,1.137
808,1.066,0.270,1.105
809,0.648,-0.398,0.922
810,-0.734,-0.531,0.824
811,-0.887,-0.367,0.949
812,-0.020,0.414,1.074
