Sample,X,Y,Z
0,-0.012,-0.031,0.605
1,-0.027,0.008,0.969
2,0.020,0.016,0.988
3,0.008,-0.008,1.012
4,0.027,-0.004,1.000
5,0.047,0.016,0.977
6,0.000,-0.008,0.988
7,-0.012,0.000,1.000
8,0.020,0.004,0.984
9,0.008,0.008,0.977
10,-0.012,-0.008,1.004
11,0.016,-0.016,1.031
12,0.000,-0.004,0.988
13,0.020,0.023,0.961
14,0.008,-0.004,0.996
15,-0.012,-0.004,0.992
16,0.023,-0.008,1.000
17,0.031,-0.008,1.000
18,0.004,0.004,0.992
19,0.020,0.000,1.008
20,-0.027,-0.004,0.992
21,-0.020,0.000,0.980
22,0.008,-0.012,1.012
23,0.004,0.004,1.000
24,0.047,0.012,1.000
25,0.016,-0.012,0.996
26,-0.008,-0.016,1.012
27,-0.035,-0.016,0.992
28,-0.020,0.008,0.969
29,-0.062,0.016,0.973
30,0.035,0.023,0.988
31,0.027,0.008,0.973
32,0.004,-0.020,1.004
33,0.016,-0.027,1.027
34,0.004,0.004,0.984
35,0.008,0.012,0.973
36,-0.012,0.004,1.000
37,0.008,0.004,0.988
38,0.008,0.000,0.992
39,0.012,-0.012,1.023
40,0.023,0.000,1.008
41,0.020,0.008,0.969
42,-0.004,0.008,0.977
43,0.004,-0.004,0.996
44,0.000,-0.012,1.016
45,0.020,-0.004,1.012
46,0.023,0.008,0.992
47,0.008,0.012,0.980
48,-0.004,0.027,0.965
49,-0.012,-0.020,0.980
50,0.008,-0.016,1.020
51,0.094,-0.023,1.031
52,0.059,-0.004,1.000
53,0.000,-0.008,0.973
54,-0.039,0.016,0.969
55,-0.035,-0.008,0.992
56,0.016,-0.004,1.004
57,0.047,-0.012,1.000
58,0.043,-0.004,1.000
59,0.027,0.012,0.984
60,-0.008,0.008,0.977
61,-0.066,-0.012,0.996
62,0.000,-0.012,1.012
63,0.051,0.004,0.980
64,0.055,0.008,0.988
65,0.035,0.000,0.996
66,-0.008,0.000,0.980
67,-0.008,0.000,0.980
68,-0.039,-0.012,0.992
69,-0.012,0.000,1.000
70,0.000,0.000,1.016
71,0.031,0.004,1.004
72,0.039,0.020,0.961
73,0.023,-0.012,0.996
74,0.059,-0.020,1.008
75,0.016,-0.012,0.992
76,0.020,-0.004,0.984
77,0.031,0.012,1.000
78,-0.043,0.004,0.996
79,-0.027,0.008,0.980
80,-0.008,0.008,0.969
81,0.016,-0.016,1.020
82,0.055,-0.012,1.016
83,0.062,0.008,0.977
84,0.023,0.000,0.973
85,-0.051,-0.008,0.992
86,-0.020,0.004,0.992
87,-0.023,-0.016,1.004
88,0.035,0.004,1.004
89,0.039,0.008,0.996
90,0.008,-0.004,0.984
91,-0.004,-0.004,0.992
92,-0.004,-0.004,0.988
93,0.039,0.004,0.984
94,0.031,0.004,1.004
95,0.016,-0.016,1.004
96,0.062,0.012,0.977
97,-0.051,-0.008,1.031
98,0.023,0.000,1.043
99,-0.031,0.031,0.969
100,0.020,0.090,0.922
101,0.016,0.043,0.988
102,-0.004,-0.004,1.035
103,0.004,-0.008,1.016
104,0.059,0.035,1.004
105,0.004,0.066,0.961
106,0.027,0.066,0.965
107,-0.027,0.023,0.984
108,-0.020,0.027,1.020
109,-0.008,0.016,1.043
110,0.008,0.062,1.020
111,0.074,0.125,0.992
112,0.004,0.141,0.934
113,0.012,0.121,0.984
114,-0.008,0.121,1.047
115,-0.051,0.156,1.047
116,0.031,0.262,0.992
117,-0.004,0.305,0.938
118,-0.055,0.324,0.930
119,-0.027,0.332,0.930
120,0.023,0.336,0.934
121,-0.004,0.352,0.992
122,-0.008,0.332,1.020
123,-0.027,0.371,1.004
124,0.020,0.383,1.047
125,0.043,0.434,0.984
126,0.133,0.473,0.891
127,0.082,0.453,0.875
128,0.059,0.391,0.918
129,0.113,0.363,1.000
130,-0.066,0.312,1.113
131,-0.238,0.254,1.215
132,-0.016,0.359,1.102
133,0.012,0.422,0.863
134,0.176,0.430,0.742
135,0.070,0.328,0.730
136,-0.086,0.145,0.961
137,-0.129,-0.008,1.375
138,-0.141,-0.012,1.457
139,0.195,0.309,1.117
140,0.148,0.543,0.633
141,-0.176,0.527,0.469
142,-0.180,0.254,0.746
143,0.176,0.035,1.031
144,0.543,-0.020,1.340
145,0.449,0.031,1.488
146,0.059,0.355,1.102
147,-0.418,0.754,0.680
148,-1.020,0.605,0.648
149,-0.473,0.418,0.875
150,0.270,0.266,1.059
151,0.602,0.195,1.219
152,0.785,0.262,1.215
153,0.469,0.535,1.000
154,-0.398,0.602,0.797
155,-0.379,0.699,0.688
156,-0.398,0.625,0.730
157,-0.398,0.336,1.129
158,0.359,0.309,1.422
159,0.449,0.469,1.223
160,0.422,0.617,0.777
161,-0.012,0.723,0.652
162,-0.504,0.449,0.816
163,-0.438,0.328,1.141
164,-0.062,0.305,1.375
165,0.469,0.543,1.055
166,0.367,0.688,0.711
167,-0.008,0.570,0.738
168,-0.258,0.262,1.102
169,-0.195,0.230,1.059
170,-0.074,0.332,1.016
171,0.277,0.441,1.172
172,0.215,0.602,0.992
173,-0.156,0.617,0.664
174,-0.184,0.480,0.727
175,-0.285,0.133,1.031
176,0.133,0.070,1.301
177,0.410,0.281,1.191
178,0.297,0.344,0.988
179,0.270,0.578,0.891
180,-0.484,0.363,0.906
181,-0.461,0.332,0.879
182,-0.031,0.336,0.805
183,-0.066,0.172,1.094
184,0.348,0.191,1.402
185,0.598,0.480,1.062
186,-0.051,0.547,0.766
187,-0.391,0.477,0.719
188,-0.281,0.496,0.750
189,-0.473,0.273,0.973
190,0.047,0.109,1.383
191,0.695,0.324,1.281
192,0.500,0.488,0.906
193,0.246,0.453,0.742
194,-0.434,0.305,0.926
195,-0.641,0.109,1.023
196,0.012,0.402,1.078
197,0.309,0.406,1.078
198,0.590,0.488,1.020
199,0.082,0.438,0.941
200,-0.469,0.301,0.820
201,-0.367,0.324,0.887
202,-0.281,0.277,1.105
203,0.379,0.340,1.039
204,0.723,0.559,0.953
205,0.273,0.402,0.961
206,-0.316,0.398,0.949
207,-0.367,0.422,0.836
208,-0.426,0.398,0.859
209,-0.051,0.359,1.121
210,0.195,0.297,1.336
211,0.367,0.371,1.160
212,0.055,0.488,0.699
213,-0.242,0.262,0.922
214,-0.297,0.164,0.996
215,0.121,0.305,0.816
216,0.629,0.133,1.145
217,0.266,0.156,1.094
218,0.246,0.172,0.906
219,-0.246,0.051,1.066
220,-0.633,0.145,0.844
221,-0.309,0.051,0.953
222,0.090,0.078,1.121
223,0.266,0.129,1.125
224,0.445,0.133,0.930
225,-0.016,0.121,0.777
226,-0.293,-0.086,1.062
227,-0.289,-0.125,1.145
228,0.121,0.098,0.918
229,0.363,0.145,1.016
230,0.098,0.145,1.078
231,-0.145,0.086,0.973
232,-0.211,0.117,0.992
233,-0.539,-0.070,0.969
234,0.156,0.082,0.945
235,0.465,0.086,0.938
236,0.480,0.016,1.004
237,0.508,0.121,0.996
238,-0.281,0.086,0.977
239,-0.414,0.094,1.051
240,-0.562,0.152,0.996
241,-0.234,0.309,0.742
242,0.141,0.086,1.043
243,0.316,-0.211,1.391
244,0.148,-0.004,0.926
245,0.469,0.070,0.629
246,0.016,-0.062,1.062
247,-0.293,-0.043,1.340
248,-0.145,0.078,0.906
249,0.008,0.238,0.668
250,-0.141,-0.031,1.156
251,-0.301,-0.199,1.254
252,0.227,0.055,0.891
253,0.270,0.129,0.816
254,0.109,-0.039,1.090
255,0.094,0.047,1.012
256,0.094,0.258,0.598
257,-0.188,-0.082,0.973
258,-0.250,-0.211,1.422
259,-0.184,0.047,1.039
260,0.230,0.082,0.875
261,0.086,0.137,1.000
