Sample,X,Y,Z
0,0.031,-0.012,0.629
1,-0.035,0.004,1.004
2,-0.047,-0.004,0.996
3,0.020,0.004,1.008
4,0.016,0.000,1.004
5,0.051,0.016,0.992
6,0.012,0.000,0.992
7,-0.039,-0.004,1.008
8,0.008,-0.004,1.000
9,0.016,0.016,0.992
10,0.035,0.008,1.008
11,0.004,-0.004,1.004
12,-0.004,0.012,0.996
13,-0.020,-0.012,1.004
14,0.020,0.004,1.004
15,0.016,0.012,0.980
16,0.020,0.012,1.004
17,0.004,-0.004,1.012
18,-0.027,0.000,0.992
19,-0.027,0.000,0.992
20,0.000,0.008,0.996
21,0.012,0.004,0.992
22,0.035,0.016,0.992
23,0.016,0.000,1.012
24,0.016,-0.004,1.016
25,-0.020,-0.004,1.016
26,0.008,0.012,0.996
27,0.008,0.012,0.980
28,-0.020,0.008,0.988
29,-0.031,-0.016,1.016
30,0.000,-0.020,1.039
31,0.039,0.004,0.996
32,0.012,0.023,0.961
33,-0.020,0.004,0.984
34,-0.020,-0.004,1.027
35,0.016,-0.004,1.008
36,0.062,0.008,0.996
37,0.016,0.016,0.980
38,-0.027,0.004,0.984
39,-0.051,-0.004,1.008
40,0.004,0.000,1.020
41,0.062,0.012,1.004
42,0.043,0.012,0.988
43,0.043,0.012,0.988
44,-0.004,0.004,0.992
45,-0.059,-0.012,1.000
46,-0.012,0.008,1.012
47,0.039,-0.004,1.008
48,0.047,0.020,1.000
49,0.031,0.016,0.992
50,-0.031,-0.004,0.996
51,0.020,-0.008,1.000
52,0.008,0.004,1.000
53,0.008,-0.012,0.996
54,0.051,-0.020,1.031
55,-0.004,0.008,1.008
56,-0.039,0.008,0.977
57,-0.020,0.023,0.977
58,0.000,0.004,0.984
59,0.062,0.004,1.012
60,0.035,-0.020,1.031
61,-0.004,-0.008,1.020
62,0.004,0.016,0.984
63,-0.043,0.012,0.980
64,0.004,0.020,0.996
65,-0.004,-0.008,0.996
66,0.043,-0.004,1.016
67,0.035,-0.016,1.008
68,0.035,0.008,0.996
69,-0.016,0.008,0.980
70,-0.027,0.016,0.996
71,-0.023,0.000,1.000
72,0.035,-0.023,1.020
73,0.043,0.016,0.996
74,0.027,-0.020,0.988
75,0.047,0.000,0.996
76,-0.055,-0.020,1.004
77,-0.035,0.012,1.016
78,0.016,0.008,1.012
79,0.031,0.020,0.980
80,0.016,0.004,0.980
81,-0.012,0.000,1.008
82,0.000,-0.012,1.016
83,0.043,0.004,1.000
84,0.023,0.016,1.004
85,-0.008,0.004,1.008
86,-0.035,0.012,0.980
87,-0.043,-0.004,0.996
88,0.031,0.000,1.008
89,0.062,0.004,1.000
90,0.051,0.008,1.004
91,-0.020,-0.008,1.004
92,-0.113,-0.074,1.094
93,0.141,-0.117,1.211
94,0.465,-0.094,1.195
95,0.836,-0.027,1.035
96,1.043,0.164,0.766
97,0.750,0.082,0.602
98,0.711,-0.020,0.828
99,0.844,-0.164,1.039
100,1.051,-0.078,1.172
101,0.719,0.062,1.180
102,0.164,0.195,0.961
103,-0.191,0.148,0.859
104,0.125,0.004,1.008
105,1.164,-0.125,1.156
106,1.953,-0.016,0.961
107,1.512,0.160,0.699
108,0.129,0.152,0.715
109,-0.695,0.020,0.988
110,-0.723,-0.141,1.379
111,0.172,-0.031,1.477
112,0.852,0.289,0.918
113,0.312,0.238,0.551
114,-0.281,-0.055,0.910
115,-0.203,-0.355,1.219
116,0.613,-0.270,1.344
117,1.043,-0.086,1.281
118,0.832,0.246,0.770
119,-0.371,0.395,0.324
120,-1.066,0.043,0.762
121,-0.789,-0.445,1.484
122,0.953,-0.340,1.652
123,1.906,-0.289,1.461
124,1.770,0.242,0.945
125,-0.043,0.449,0.023
126,-0.043,0.449,0.023
127,-0.973,0.211,0.188
128,-0.422,-0.168,1.246
129,0.750,-0.645,1.750
130,1.992,-0.266,1.859
131,1.484,0.387,0.750
132,-0.641,0.312,0.090
133,-1.062,0.387,0.672
134,-1.398,-0.312,0.988
135,1.535,-0.066,1.645
136,1.992,-0.039,1.500
137,1.844,0.234,0.691
138,-0.379,0.152,0.551
139,-1.125,0.059,0.734
140,-0.691,-0.121,1.012
141,0.730,0.109,1.285
142,1.559,-0.008,1.465
143,1.312,0.195,1.000
144,-0.523,0.098,0.656
145,-0.887,-0.039,0.840
146,-0.539,-0.180,0.910
147,0.750,-0.047,1.062
148,1.852,-0.230,1.488
149,1.059,-0.113,1.164
150,-0.125,0.191,0.625
151,-1.055,0.078,0.629
152,-0.785,-0.059,1.055
153,0.512,-0.176,1.223
154,1.641,-0.062,1.375
155,1.477,-0.074,1.117
156,0.340,0.070,0.660
157,-0.438,-0.016,0.672
158,-0.160,-0.082,1.074
159,0.707,-0.145,1.234
160,1.770,0.043,1.246
161,1.219,0.316,0.703
162,-0.086,0.027,0.645
163,-0.402,-0.066,1.203
164,-0.168,-0.090,1.156
165,0.684,0.000,1.066
166,1.379,0.082,1.305
167,1.090,0.230,0.699
168,0.246,0.160,0.508
169,-0.246,-0.008,1.199
170,-0.219,-0.281,1.094
171,1.145,0.137,1.070
172,0.641,-0.035,1.227
173,0.613,0.039,1.090
174,-0.172,0.277,0.598
175,-0.543,-0.172,0.910
176,0.145,-0.047,1.301
177,0.469,-0.113,0.773
178,1.621,0.035,1.109
179,0.129,-0.250,1.191
180,0.297,0.129,1.020
181,-0.574,-0.172,0.910
182,0.234,0.156,0.895
183,0.406,0.133,0.840
