Sample,X,Y,Z
0,0.008,0.176,1.031
1,0.027,-0.082,1.008
2,0.027,-0.078,1.008
3,0.027,-0.078,1.016
4,0.027,-0.082,1.008
5,0.035,-0.082,1.012
6,0.027,-0.082,1.008
7,0.031,-0.074,1.012
8,0.035,-0.082,1.008
9,0.023,-0.090,1.004
10,0.031,-0.082,1.012
11,0.027,-0.074,1.004
12,0.031,-0.082,1.012
13,0.027,-0.082,1.012
14,0.020,-0.094,1.000
15,0.031,-0.082,1.000
16,0.027,-0.078,1.008
17,0.035,-0.082,1.004
18,0.039,-0.082,1.004
19,0.027,-0.078,1.016
20,0.031,-0.070,1.008
21,0.035,-0.086,1.008
22,0.031,-0.082,1.000
23,0.023,-0.082,1.008
24,0.039,-0.078,1.000
25,0.035,-0.082,1.016
26,0.031,-0.090,1.004
27,0.031,-0.082,1.012
28,0.031,-0.086,1.012
29,0.035,-0.078,1.004
30,0.039,-0.074,1.012
31,0.031,-0.082,1.008
32,0.023,-0.094,1.016
33,0.027,-0.078,1.000
34,0.031,-0.074,1.008
35,0.035,-0.086,1.008
36,0.031,-0.086,1.012
37,0.020,-0.082,1.004
38,0.035,-0.078,1.008
39,0.031,-0.070,1.012
40,0.012,-0.062,0.977
41,0.027,-0.090,1.012
42,0.035,-0.086,1.008
43,0.035,-0.078,1.016
44,0.035,-0.078,1.016
45,0.035,-0.086,1.008
46,0.023,-0.086,1.008
47,0.031,-0.078,1.008
48,0.027,-0.074,1.016
49,0.027,-0.082,1.016
50,0.031,-0.094,1.012
51,0.027,-0.074,1.012
52,0.027,-0.074,1.008
53,0.039,-0.082,1.008
54,0.031,-0.086,1.004
55,0.027,-0.082,1.008
56,0.035,-0.078,1.004
57,0.027,-0.090,1.008
58,0.031,-0.082,1.008
59,0.027,-0.086,1.004
60,0.051,-0.074,1.000
61,0.027,-0.074,1.016
62,0.027,-0.078,1.012
63,0.027,-0.082,1.004
64,0.027,-0.086,1.012
65,0.023,-0.082,1.016
66,0.031,-0.074,1.016
67,0.027,-0.086,1.016
68,0.027,-0.082,1.012
69,0.031,-0.082,1.012
70,0.027,-0.094,1.008
71,0.031,-0.086,1.016
72,0.031,-0.082,1.016
73,0.039,-0.082,1.020
74,0.027,-0.086,1.008
75,0.027,-0.090,1.020
76,0.031,-0.074,1.004
77,0.035,-0.082,1.004
78,0.031,-0.090,1.008
