Sample,X,Y,Z
0,-0.004,-0.031,0.770
1,0.020,-0.008,1.004
2,0.012,0.000,1.004
3,0.020,0.004,1.000
4,0.012,0.004,0.992
5,-0.008,0.008,0.996
6,-0.023,-0.008,1.008
7,0.008,-0.004,1.012
8,0.008,-0.008,0.992
9,0.047,0.008,1.004
10,0.012,-0.004,1.000
11,-0.012,-0.004,1.008
12,-0.016,-0.008,1.012
13,0.012,0.004,1.000
14,0.020,0.023,0.984
15,0.008,0.004,0.996
16,-0.008,0.004,0.992
17,0.008,-0.016,1.000
18,0.012,-0.004,1.008
19,0.004,-0.008,1.008
20,0.016,0.008,1.000
21,0.008,0.000,0.988
22,-0.012,0.000,1.008
23,-0.004,-0.004,1.004
24,0.016,-0.004,0.973
25,0.004,-0.004,1.004
26,0.051,0.004,1.012
27,-0.004,-0.004,1.000
28,0.031,-0.004,0.992
29,0.004,-0.027,1.020
30,-0.043,-0.008,1.004
31,0.023,0.012,0.992
32,0.023,0.012,0.980
33,0.027,0.000,1.008
34,0.012,-0.020,1.035
35,-0.027,-0.008,0.988
36,0.004,0.016,0.984
37,0.016,0.000,0.992
38,0.020,0.008,1.000
39,0.020,0.000,1.000
40,-0.016,-0.016,1.012
41,0.004,0.000,1.020
42,0.039,0.008,0.988
43,0.039,0.008,0.988
44,0.043,0.012,0.980
45,0.008,-0.004,1.000
46,-0.035,-0.012,1.020
47,0.000,0.000,1.004
48,0.008,0.008,0.984
49,0.012,-0.020,0.996
50,-0.008,0.000,1.000
51,-0.035,0.027,1.012
52,0.020,-0.012,1.012
53,0.031,-0.004,1.020
54,0.043,-0.008,1.004
55,0.027,0.008,0.980
56,-0.023,0.004,0.992
57,-0.023,0.000,1.012
58,-0.008,-0.016,1.016
59,0.055,-0.008,1.008
60,0.039,0.004,1.000
61,0.027,0.012,0.980
62,-0.039,0.000,0.992
63,-0.031,-0.012,1.023
64,-0.020,-0.023,1.023
65,0.055,0.016,1.008
66,0.020,0.008,0.980
67,-0.004,0.008,0.984
68,-0.031,-0.016,1.008
69,0.008,-0.027,1.023
70,0.059,0.008,1.008
71,0.031,0.012,0.977
72,-0.039,0.012,0.977
73,-0.047,-0.020,1.020
74,-0.055,-0.031,1.020
75,0.039,0.008,1.000
76,0.039,0.004,1.000
77,0.062,0.016,0.996
78,-0.020,-0.004,0.984
79,-0.039,-0.012,1.016
80,-0.031,-0.016,1.023
81,0.047,0.012,1.004
82,0.020,0.008,0.980
83,0.016,0.008,1.000
84,-0.027,-0.012,0.984
85,0.004,-0.008,1.004
86,0.035,-0.012,1.035
87,0.051,-0.008,1.008
88,0.020,0.020,0.988
89,-0.059,0.000,0.984
90,-0.059,-0.004,1.004
91,0.004,-0.020,1.016
92,0.066,-0.008,1.004
93,0.070,0.008,0.996
94,0.027,0.000,0.980
95,-0.062,0.000,0.992
96,-0.082,0.016,0.996
97,-0.066,-0.012,1.004
98,0.023,-0.023,1.070
99,0.004,-0.027,1.074
100,0.316,0.031,0.977
101,0.129,-0.004,0.930
102,0.160,0.039,0.938
103,-0.020,-0.043,0.949
104,0.012,-0.035,1.031
105,0.152,-0.031,1.090
106,0.223,0.004,1.031
107,0.082,0.027,0.992
108,-0.109,0.020,0.984
109,-0.098,-0.023,0.969
110,0.203,-0.027,1.039
111,0.492,-0.094,1.109
112,0.613,-0.043,1.102
113,0.355,0.012,0.980
114,0.078,0.121,0.840
115,-0.043,0.102,0.828
116,0.168,0.051,0.961
117,0.512,-0.027,1.074
118,0.645,-0.004,1.031
119,0.402,0.008,0.953
120,0.113,0.020,0.938
121,-0.055,0.000,0.957
122,0.070,-0.031,1.020
123,0.285,-0.055,1.109
124,0.270,-0.031,1.074
125,0.152,-0.016,1.035
126,0.000,-0.074,1.117
127,0.051,-0.055,1.086
128,0.379,-0.004,1.004
129,0.578,-0.027,0.965
130,0.648,0.016,0.867
131,0.461,0.047,0.844
132,0.168,0.000,0.977
133,0.109,0.004,1.137
134,0.195,0.039,1.078
135,0.324,0.098,0.914
136,0.336,0.090,0.832
137,0.254,-0.070,0.930
138,0.438,-0.168,1.207
139,0.438,-0.168,1.207
140,0.676,-0.219,1.309
141,0.996,-0.043,1.160
142,0.703,0.156,0.789
143,0.242,0.277,0.703
144,-0.340,0.137,0.812
145,-0.062,-0.020,0.977
146,0.539,-0.074,1.195
147,0.902,-0.113,1.227
148,1.023,0.020,1.145
149,0.402,0.031,0.895
150,0.023,0.156,0.789
151,-0.211,0.148,0.684
152,0.207,0.012,0.797
153,0.555,-0.227,1.332
154,0.980,-0.258,1.402
155,1.043,-0.074,1.121
156,0.230,-0.027,1.016
157,-0.133,0.258,0.574
158,-0.250,0.145,0.508
159,0.055,-0.125,1.320
160,0.816,-0.211,1.551
161,1.270,-0.129,1.238
162,0.637,0.203,0.816
163,0.637,0.203,0.816
164,-0.289,0.023,0.645
165,-0.293,0.117,0.660
166,0.309,-0.035,1.125
167,1.266,-0.191,1.461
168,1.168,-0.012,1.164
169,0.648,0.117,0.734
170,-0.273,0.164,0.746
171,-0.488,-0.145,0.934
172,0.332,0.035,1.137
173,0.918,-0.129,1.238
174,1.109,-0.016,1.262
175,0.633,-0.023,0.859
176,0.086,0.180,0.598
177,-0.039,0.066,0.848
178,0.121,-0.059,1.043
179,0.617,-0.141,1.133
180,0.871,-0.156,1.445
181,0.586,0.039,1.156
182,0.016,0.156,0.746
183,-0.090,0.223,0.707
184,-0.160,0.078,0.707
185,0.656,-0.219,1.176
186,1.066,-0.363,1.582
187,1.066,-0.363,1.582
188,1.109,-0.066,1.180
189,0.531,0.152,0.648
190,-0.180,0.184,0.895
191,-0.629,0.242,0.707
192,0.035,-0.016,0.789
193,0.867,-0.301,1.527
194,1.422,-0.156,1.324
195,1.320,-0.070,0.859
196,0.309,0.254,0.738
197,-0.879,0.062,0.605
198,-0.312,0.070,1.117
199,0.129,-0.199,1.316
200,1.367,-0.031,1.242
201,1.438,0.062,0.922
202,0.492,0.117,0.602
203,-0.047,0.176,0.777
204,-0.723,-0.133,0.957
205,0.160,-0.094,1.320
206,0.629,0.004,1.262
207,0.570,-0.074,1.141
208,0.859,0.137,1.105
209,-0.500,-0.117,0.715
210,0.250,0.227,0.848
211,0.086,-0.203,0.824
212,0.898,-0.039,1.219
213,0.805,-0.188,1.254
214,0.676,0.020,0.992
215,-0.266,0.191,0.785
216,-0.508,0.105,0.805
217,-0.227,-0.008,0.965
