Sample,X,Y,Z
0,0.113,0.398,1.078
1,0.031,-0.098,1.008
2,0.031,-0.090,1.008
3,0.035,-0.078,1.008
4,0.035,-0.086,1.012
5,0.020,-0.094,1.008
6,0.035,-0.090,1.008
7,0.039,-0.094,1.016
8,0.031,-0.090,1.016
9,0.031,-0.090,1.008
10,0.027,-0.094,1.012
11,0.031,-0.086,1.000
12,0.039,-0.094,1.004
13,0.031,-0.078,1.016
14,0.035,-0.094,1.012
15,0.031,-0.090,1.004
16,0.035,-0.090,1.008
17,0.027,-0.094,1.004
18,0.027,-0.086,1.008
19,0.027,-0.094,1.012
20,0.031,-0.090,1.004
21,0.031,-0.090,1.016
22,0.023,-0.090,1.016
23,0.031,-0.090,1.012
24,0.035,-0.078,1.004
25,0.035,-0.086,1.008
26,0.027,-0.094,1.004
27,0.031,-0.090,1.000
28,0.031,-0.094,1.012
29,0.031,-0.078,1.008
30,0.031,-0.082,1.008
31,0.031,-0.094,1.008
32,0.027,-0.090,1.004
33,0.039,-0.082,1.004
34,0.023,-0.086,1.004
35,0.031,-0.082,1.012
36,0.031,-0.090,1.016
37,0.039,-0.094,1.012
38,0.031,-0.086,1.008
39,0.020,-0.082,1.004
40,0.027,-0.078,0.969
41,0.035,-0.086,1.020
42,0.031,-0.094,1.000
43,0.027,-0.086,1.008
44,0.031,-0.086,1.016
45,0.027,-0.082,1.008
46,0.027,-0.090,1.008
47,0.035,-0.094,1.004
48,0.035,-0.086,1.016
49,0.039,-0.090,1.008
50,0.035,-0.090,1.008
51,0.027,-0.094,1.016
52,0.031,-0.086,1.000
53,0.027,-0.082,1.016
54,0.027,-0.094,1.012
55,0.027,-0.094,1.008
56,0.031,-0.090,1.008
57,0.043,-0.082,1.004
58,0.031,-0.078,1.004
59,0.023,-0.086,1.016
60,0.039,-0.082,1.000
61,0.035,-0.082,1.008
62,0.027,-0.090,1.012
63,0.035,-0.090,1.012
64,0.023,-0.094,1.012
65,0.031,-0.082,1.008
