Sample,X,Y,Z
0,0.125,0.078,0.992
1,0.031,-0.090,1.020
2,0.035,-0.086,1.008
3,0.035,-0.090,1.004
4,0.023,-0.086,1.016
5,0.027,-0.090,1.008
6,0.035,-0.090,1.004
7,0.039,-0.086,1.004
8,0.031,-0.086,1.012
9,0.023,-0.094,1.008
10,0.027,-0.094,1.008
11,0.039,-0.086,1.012
12,0.035,-0.082,1.016
13,0.039,-0.094,1.004
14,0.039,-0.094,1.016
15,0.031,-0.078,1.012
16,0.031,-0.090,1.012
17,0.039,-0.082,1.004
18,0.031,-0.094,1.008
19,0.035,-0.090,1.008
20,0.039,-0.086,0.953
21,0.023,-0.094,1.012
22,0.031,-0.086,1.000
23,0.035,-0.090,1.008
24,0.031,-0.086,1.004
25,0.035,-0.090,1.000
26,0.031,-0.094,1.012
27,0.031,-0.090,1.008
28,0.035,-0.086,1.004
29,0.043,-0.086,1.016
30,0.027,-0.090,1.008
31,0.031,-0.094,1.008
32,0.031,-0.090,1.016
33,0.039,-0.090,1.012
34,0.031,-0.086,1.012
35,0.023,-0.086,1.008
36,0.035,-0.094,1.004
37,0.043,-0.082,1.000
38,0.027,-0.090,1.000
39,0.031,-0.090,1.004
40,0.020,-0.070,0.988
41,0.035,-0.082,1.004
42,0.035,-0.086,1.008
43,0.031,-0.086,1.012
44,0.031,-0.090,1.012
45,0.027,-0.086,1.012
46,0.031,-0.086,1.008
47,0.031,-0.094,1.008
48,0.031,-0.082,1.004
49,0.031,-0.090,1.012
50,0.031,-0.086,1.008
51,0.035,-0.090,1.016
52,0.031,-0.094,1.016
53,0.027,-0.086,1.012
54,0.031,-0.086,1.008
55,0.039,-0.086,1.012
56,0.035,-0.078,1.004
57,0.031,-0.082,1.004
58,0.039,-0.090,1.004
59,0.031,-0.090,1.000
60,0.039,-0.082,0.969
61,0.031,-0.086,1.012
62,0.043,-0.094,1.008
63,0.035,-0.086,1.016
64,0.027,-0.090,1.012
65,0.027,-0.086,1.004
66,0.039,-0.094,1.012
67,0.043,-0.082,1.008
68,0.027,-0.090,1.012
69,0.031,-0.090,1.012
70,0.039,-0.090,1.016
71,0.039,-0.094,1.008
72,0.031,-0.090,1.012
73,0.027,-0.082,1.008
74,0.039,-0.078,1.012
75,0.039,-0.094,1.012
76,0.027,-0.098,1.012
77,0.027,-0.090,1.012
78,0.027,-0.086,1.008
79,0.039,-0.086,1.012
80,0.039,-0.102,0.980
81,0.027,-0.094,1.004
82,0.035,-0.098,1.004
83,0.031,-0.082,1.012
