Sample,X,Y,Z
0,0.027,-0.008,0.609
1,0.027,0.004,0.988
2,0.004,0.004,1.000
3,-0.004,0.008,1.004
4,-0.008,-0.012,0.988
5,0.039,0.000,1.004
6,0.027,-0.016,1.016
7,0.039,0.004,1.008
8,-0.012,0.004,0.992
9,-0.055,-0.004,1.004
10,-0.020,0.000,1.004
11,0.004,0.008,0.988
12,0.059,0.004,0.984
13,0.039,-0.020,1.000
14,0.020,-0.023,1.027
15,-0.004,0.000,1.004
16,-0.016,0.000,0.988
17,-0.004,0.016,1.000
18,-0.016,-0.004,1.008
19,0.035,0.004,0.996
20,0.023,-0.004,0.992
21,0.012,-0.004,0.996
22,0.012,0.000,0.992
23,-0.012,0.000,1.004
24,0.012,-0.012,1.016
25,-0.047,-0.020,1.027
26,0.004,0.016,0.984
27,-0.027,0.023,0.984
28,-0.016,0.004,0.996
29,-0.012,-0.004,1.012
30,0.059,0.000,1.004
31,0.023,-0.012,1.000
32,0.027,0.008,1.004
33,-0.059,-0.004,0.992
34,-0.035,0.004,0.996
35,-0.004,-0.004,1.000
36,0.039,-0.004,1.012
37,0.031,0.008,0.992
38,0.020,0.000,0.992
39,-0.027,-0.016,1.004
40,-0.008,-0.004,1.008
41,0.012,0.000,1.000
42,0.043,0.020,0.992
43,0.000,0.000,0.984
44,0.000,-0.004,1.008
45,-0.004,-0.008,1.008
46,0.012,-0.004,1.000
47,0.023,-0.004,1.000
48,0.027,0.008,1.012
49,0.016,0.008,1.004
50,0.004,-0.020,0.988
51,0.016,0.000,0.992
52,0.000,0.000,1.000
53,0.047,-0.004,1.004
54,0.008,-0.012,1.016
55,0.016,0.000,1.004
56,0.012,-0.004,0.992
57,-0.004,0.000,1.000
58,-0.031,-0.004,1.000
59,0.000,0.004,1.008
60,0.016,-0.008,1.000
61,0.047,0.000,1.000
62,0.027,-0.004,1.008
63,-0.012,-0.004,0.996
64,-0.008,0.000,1.004
65,-0.047,-0.004,0.996
66,0.035,-0.004,0.992
67,0.051,0.004,1.012
68,0.027,-0.016,1.012
69,-0.008,0.000,1.008
70,-0.035,-0.004,0.992
71,-0.012,-0.004,1.000
72,0.004,0.016,1.004
73,0.012,0.000,1.012
74,-0.012,-0.008,1.023
75,-0.043,0.004,0.980
76,0.004,0.020,0.992
77,0.043,-0.008,1.000
78,0.016,-0.008,1.008
79,0.020,-0.004,1.012
80,-0.004,-0.012,1.008
81,0.008,0.004,1.004
82,-0.004,0.000,0.988
83,0.016,0.008,0.996
84,0.000,-0.012,1.004
85,0.008,-0.008,1.008
86,0.012,-0.004,1.000
87,0.000,0.004,0.992
88,0.008,0.000,1.008
89,-0.023,-0.012,1.000
90,0.012,0.004,1.004
91,0.000,0.000,1.000
92,0.008,0.008,1.004
93,0.020,0.000,1.000
94,-0.008,0.004,0.984
95,0.004,0.000,0.973
96,-0.016,-0.012,1.027
97,0.035,-0.023,1.078
98,0.027,-0.004,1.059
99,0.016,0.047,0.992
100,-0.039,0.082,0.887
101,0.004,0.031,0.941
102,-0.062,-0.012,1.008
103,0.113,0.004,1.055
104,0.055,0.004,1.027
105,0.059,0.008,1.012
106,-0.074,0.059,0.973
107,-0.090,0.008,0.996
108,-0.062,0.027,1.051
