Sample,X,Y,Z
0,0.020,0.180,1.008
1,0.027,-0.078,1.004
2,0.031,-0.086,1.004
3,0.027,-0.082,1.012
4,0.027,-0.082,1.012
5,0.031,-0.074,1.016
6,0.039,-0.082,1.016
7,0.031,-0.094,1.004
8,0.027,-0.086,1.016
9,0.031,-0.078,1.004
10,0.035,-0.082,1.008
11,0.039,-0.094,1.012
12,0.035,-0.086,1.008
13,0.027,-0.082,1.012
14,0.031,-0.086,1.008
15,0.035,-0.082,1.016
16,0.027,-0.078,1.004
17,0.023,-0.090,1.008
18,0.035,-0.082,1.012
19,0.031,-0.082,1.008
20,0.016,-0.078,1.027
21,0.023,-0.086,1.012
22,0.027,-0.090,1.004
23,0.027,-0.082,1.008
24,0.023,-0.082,1.008
25,0.023,-0.086,1.008
26,0.031,-0.082,1.004
27,0.035,-0.078,1.016
28,0.031,-0.090,1.016
29,0.031,-0.086,1.012
30,0.027,-0.082,1.016
31,0.031,-0.082,1.008
32,0.035,-0.082,1.012
33,0.035,-0.090,1.008
34,0.023,-0.082,1.008
35,0.039,-0.078,1.012
36,0.027,-0.082,1.012
37,0.035,-0.082,1.012
38,0.031,-0.090,1.008
39,0.031,-0.086,1.012
40,0.043,-0.074,1.023
41,0.039,-0.078,1.008
42,0.031,-0.094,1.004
43,0.020,-0.094,1.012
44,0.031,-0.082,1.012
45,0.043,-0.070,1.012
46,0.031,-0.082,1.016
47,0.027,-0.090,1.000
48,0.035,-0.086,1.012
49,0.035,-0.082,1.008
50,0.027,-0.090,1.008
51,0.027,-0.082,1.004
52,0.031,-0.086,1.008
53,0.031,-0.078,1.000
54,0.027,-0.078,1.008
55,0.031,-0.090,1.008
56,0.031,-0.082,1.008
57,0.031,-0.086,1.008
58,0.020,-0.078,1.004
59,0.023,-0.086,1.008
60,0.016,-0.082,0.988
61,0.035,-0.094,1.016
62,0.035,-0.086,1.008
63,0.023,-0.086,1.008
64,0.031,-0.082,1.008
65,0.043,-0.078,1.008
66,0.031,-0.086,1.008
67,0.023,-0.090,1.008
68,0.023,-0.082,1.008
69,0.027,-0.078,1.012
70,0.039,-0.082,1.016
71,0.027,-0.090,1.008
72,0.023,-0.090,1.000
73,0.023,-0.086,1.000
74,0.023,-0.082,1.004
75,0.023,-0.086,1.004
76,0.031,-0.090,1.012
77,0.031,-0.090,1.008
78,0.027,-0.090,1.016
79,0.020,-0.074,1.012
80,0.008,-0.078,0.930
81,0.039,-0.082,0.996
82,0.035,-0.090,1.012
83,0.039,-0.082,1.008
84,0.023,-0.098,1.012
85,0.027,-0.086,1.004
86,0.031,-0.078,1.012
87,0.039,-0.086,1.008
88,0.031,-0.086,1.012
89,0.031,-0.086,1.012
90,0.023,-0.082,1.008
91,0.031,-0.074,1.012
92,0.031,-0.086,1.004
93,0.031,-0.082,1.004
94,0.039,-0.078,1.016
95,0.027,-0.078,1.008
96,0.027,-0.086,1.012
97,0.035,-0.086,1.008
98,0.031,-0.082,1.016
99,0.031,-0.086,1.008
100,0.043,-0.074,0.953
101,0.035,-0.078,1.016
102,0.035,-0.082,1.008
103,0.027,-0.086,1.016
104,0.031,-0.078,1.004
105,0.031,-0.086,1.000
106,0.031,-0.082,1.004
107,0.039,-0.086,1.012
108,0.023,-0.086,1.004
109,0.023,-0.078,1.012
110,0.031,-0.082,1.016
111,0.031,-0.090,1.004
112,0.027,-0.078,0.996
113,0.020,-0.059,1.020
114,0.043,-0.094,1.008
115,0.051,-0.117,1.000
116,0.039,-0.105,0.992
117,0.004,-0.082,1.016
118,0.004,-0.105,1.023
119,0.051,-0.129,1.031
120,0.047,-0.141,1.082
121,0.016,-0.125,1.031
122,-0.016,-0.125,1.031
123,0.027,-0.137,1.035
124,0.078,-0.137,1.023
125,0.094,-0.172,1.004
126,0.055,-0.176,0.973
127,0.039,-0.113,0.961
128,0.000,-0.102,0.953
129,-0.109,-0.223,0.898
130,0.008,-0.316,0.820
131,0.199,-0.254,0.789
132,0.188,-0.305,0.828
133,0.023,-0.496,0.871
134,-0.094,-0.594,0.855
135,-0.004,-0.648,0.859
136,0.066,-0.629,0.949
137,0.137,-0.727,1.027
138,0.090,-0.961,1.039
139,0.070,-0.977,1.082
140,0.117,-1.000,1.105
141,0.121,-0.949,1.078
142,-0.102,-0.961,1.109
143,-0.367,-0.957,1.180
144,-0.191,-0.852,1.184
145,0.254,-0.695,1.125
146,0.492,-0.719,1.098
147,0.090,-0.641,1.074
148,-0.223,-0.547,1.031
149,-0.152,-0.281,1.027
150,0.324,-0.051,1.090
151,0.219,-0.160,0.977
152,-0.195,-0.301,0.797
153,-0.184,0.105,0.887
154,0.137,0.316,0.965
155,0.277,0.125,0.785
156,0.215,-0.047,0.762
157,-0.047,-0.008,0.914
158,-0.227,0.102,0.859
159,0.039,0.094,0.785
160,0.172,-0.086,0.953
161,-0.055,-0.168,0.953
162,0.160,-0.172,1.023
163,0.133,-0.500,0.977
164,-0.156,-0.371,0.988
165,0.078,-0.215,1.125
166,0.020,-0.500,1.062
167,0.035,-0.688,1.066
168,0.305,-0.676,1.160
169,-0.117,-0.602,1.012
170,-0.160,-0.707,0.988
171,-0.281,-0.590,1.023
172,0.035,-0.277,1.188
173,0.348,-0.875,1.090
174,0.289,-0.836,0.910
175,0.086,-0.754,0.898
176,-0.180,-0.047,1.086
177,0.047,-0.723,0.988
178,0.070,-0.531,0.848
179,-0.008,-0.742,0.805
180,-0.191,-0.086,1.043
181,-0.004,-0.574,0.988
182,0.309,-0.387,0.879
183,0.238,-0.555,0.836
184,0.285,-0.059,1.094
185,-0.160,-0.621,0.949
186,-0.188,-0.520,0.852
187,-0.359,-0.301,1.059
188,0.012,-0.137,1.211
189,0.324,-0.309,1.078
190,0.398,-0.715,0.887
191,0.277,-0.336,1.129
192,-0.172,-0.184,1.121
193,-0.461,-0.180,0.969
194,-0.113,-0.230,1.094
195,0.086,-0.086,1.148
196,0.426,-0.105,0.984
197,0.555,-0.238,0.941
198,0.016,-0.391,0.941
199,-0.465,0.215,0.949
200,-0.355,0.051,0.957
201,-0.238,-0.191,0.953
202,0.488,-0.039,0.930
203,0.844,0.203,0.957
204,0.152,-0.234,0.820
205,-0.559,-0.070,0.875
206,-0.852,0.207,1.062
207,-0.383,-0.016,0.996
208,0.762,-0.078,0.953
209,1.016,-0.164,0.934
