Sample,X,Y,Z
0,0.016,0.176,1.020
1,0.027,-0.090,0.992
2,0.027,-0.086,1.012
3,0.031,-0.078,1.004
4,0.027,-0.090,1.008
5,0.031,-0.082,1.008
6,0.031,-0.082,1.008
7,0.031,-0.078,1.008
8,0.039,-0.082,1.008
9,0.035,-0.090,1.008
10,0.031,-0.086,1.000
11,0.023,-0.078,1.004
12,0.039,-0.078,1.008
13,0.039,-0.078,1.012
14,0.035,-0.086,1.004
15,0.031,-0.090,1.004
16,0.027,-0.090,1.012
17,0.031,-0.086,1.000
18,0.039,-0.086,1.008
19,0.035,-0.082,1.004
20,0.023,-0.098,1.027
21,0.027,-0.086,1.020
22,0.035,-0.082,1.008
23,0.031,-0.090,1.012
24,0.023,-0.086,0.996
25,0.027,-0.082,1.008
26,0.031,-0.082,1.008
27,0.039,-0.086,1.020
28,0.027,-0.086,1.004
29,0.027,-0.086,1.000
30,0.035,-0.078,1.012
31,0.039,-0.078,1.000
32,0.027,-0.094,1.012
33,0.023,-0.094,1.004
34,0.035,-0.078,1.004
35,0.031,-0.074,1.012
36,0.035,-0.074,1.012
37,0.031,-0.090,1.012
38,0.027,-0.086,1.016
39,0.035,-0.082,1.008
40,0.031,-0.098,1.047
41,0.035,-0.086,1.012
42,0.031,-0.090,1.016
43,0.031,-0.086,1.008
44,0.027,-0.086,1.012
45,0.031,-0.086,1.004
46,0.027,-0.086,1.016
47,0.027,-0.082,1.008
48,0.039,-0.086,1.012
49,0.027,-0.086,1.012
50,0.031,-0.086,1.012
51,0.035,-0.078,1.008
52,0.031,-0.090,1.012
53,0.023,-0.090,1.008
54,0.035,-0.074,1.000
55,0.039,-0.086,1.004
56,0.035,-0.086,1.016
57,0.035,-0.086,1.008
58,0.031,-0.086,1.004
59,0.031,-0.090,1.012
60,0.047,-0.098,1.027
61,0.031,-0.086,1.012
62,0.027,-0.086,1.020
63,0.035,-0.082,1.004
64,0.031,-0.082,1.012
65,0.031,-0.090,1.008
66,0.027,-0.090,1.016
67,0.031,-0.082,1.012
68,0.031,-0.082,1.008
69,0.031,-0.082,1.004
70,0.031,-0.090,1.012
71,0.031,-0.090,1.008
72,0.031,-0.086,1.012
73,0.023,-0.090,1.004
74,0.035,-0.086,1.012
75,0.035,-0.082,1.012
76,0.031,-0.090,1.020
77,0.031,-0.086,1.004
78,0.031,-0.082,1.000
79,0.031,-0.082,1.008
80,0.023,-0.102,1.039
81,0.031,-0.094,1.012
82,0.027,-0.082,1.012
83,0.031,-0.082,1.008
84,0.031,-0.086,1.020
85,0.031,-0.078,1.008
86,0.031,-0.094,1.012
87,0.039,-0.086,1.012
88,0.027,-0.082,1.012
89,0.035,-0.086,1.004
90,0.027,-0.086,1.004
91,0.027,-0.090,1.004
92,0.035,-0.082,1.012
93,0.039,-0.090,1.008
94,0.027,-0.086,1.000
95,0.035,-0.074,1.008
96,0.031,-0.074,1.008
97,0.031,-0.090,1.012
98,0.020,-0.086,1.004
99,0.027,-0.086,1.008
100,0.027,-0.102,1.027
101,0.027,-0.086,1.004
102,0.023,-0.090,1.000
103,0.039,-0.078,1.004
104,0.035,-0.090,1.008
105,0.031,-0.090,1.012
106,0.031,-0.078,1.008
107,0.027,-0.078,1.012
108,0.035,-0.078,1.016
109,0.035,-0.082,1.012
110,0.027,-0.086,1.008
111,0.023,-0.074,1.004
112,0.031,-0.082,1.012
113,0.047,-0.133,0.996
114,0.062,-0.105,1.004
115,0.031,-0.098,1.012
116,0.012,-0.109,1.031
117,0.008,-0.137,1.020
118,0.035,-0.145,1.023
119,0.035,-0.113,1.039
120,0.023,-0.145,1.098
121,0.012,-0.164,1.035
122,0.059,-0.172,1.027
123,0.102,-0.164,0.988
124,0.129,-0.113,0.953
125,0.000,-0.141,0.930
126,-0.172,-0.219,0.898
127,-0.039,-0.316,0.797
128,0.180,-0.242,0.758
129,0.215,-0.316,0.805
130,0.102,-0.531,0.836
131,-0.105,-0.691,0.797
132,-0.129,-0.703,0.824
133,-0.074,-0.699,0.926
134,0.090,-0.773,1.023
135,0.215,-1.066,1.051
136,0.254,-1.078,1.137
137,0.156,-1.008,1.207
138,-0.059,-0.969,1.230
139,-0.199,-1.082,1.191
140,-0.156,-0.961,1.219
141,0.043,-0.746,1.191
142,0.348,-0.715,1.176
143,0.277,-0.770,1.062
144,-0.039,-0.656,0.977
145,-0.117,-0.258,1.035
146,0.113,-0.133,1.066
147,0.180,-0.234,0.949
148,-0.055,-0.285,0.801
149,-0.145,0.047,0.832
150,0.074,0.207,0.906
151,0.172,0.098,0.785
152,0.180,0.004,0.781
153,0.113,0.027,0.934
154,-0.227,-0.016,0.848
155,-0.105,0.008,0.805
156,0.094,-0.066,0.930
