Sample,X,Y,Z
0,0.012,0.180,1.023
1,0.023,-0.086,1.004
2,0.023,-0.090,1.012
3,0.027,-0.090,1.020
4,0.039,-0.086,1.008
5,0.031,-0.086,1.008
6,0.031,-0.086,1.008
7,0.035,-0.086,1.012
8,0.031,-0.086,1.012
9,0.027,-0.090,1.016
10,0.023,-0.078,1.008
11,0.043,-0.078,1.012
12,0.035,-0.078,1.008
13,0.027,-0.090,1.016
14,0.039,-0.090,1.000
15,0.031,-0.086,1.004
16,0.039,-0.086,1.012
17,0.031,-0.090,1.012
18,0.031,-0.094,1.016
19,0.031,-0.090,1.012
20,0.039,-0.074,0.980
21,0.031,-0.078,1.016
22,0.039,-0.090,1.004
23,0.035,-0.082,1.004
24,0.023,-0.082,1.004
25,0.035,-0.086,1.020
26,0.031,-0.090,1.004
27,0.035,-0.086,1.012
28,0.023,-0.090,1.012
29,0.023,-0.086,1.004
30,0.027,-0.090,1.008
31,0.031,-0.094,1.004
32,0.031,-0.090,1.016
33,0.027,-0.086,1.008
34,0.031,-0.082,1.016
35,0.027,-0.094,1.008
36,0.031,-0.086,1.004
37,0.035,-0.082,1.008
38,0.039,-0.090,1.012
39,0.027,-0.086,1.016
40,0.035,-0.086,1.027
41,0.020,-0.082,1.012
42,0.023,-0.086,1.004
43,0.027,-0.086,1.012
44,0.031,-0.086,1.008
45,0.027,-0.082,1.008
46,0.027,-0.090,1.008
47,0.027,-0.082,1.008
48,0.027,-0.086,1.004
49,0.027,-0.090,1.012
50,0.027,-0.086,1.012
51,0.023,-0.090,1.000
52,0.031,-0.078,1.008
53,0.031,-0.086,1.008
54,0.031,-0.090,1.004
55,0.027,-0.086,1.008
56,0.027,-0.082,1.012
57,0.031,-0.082,1.012
58,0.035,-0.094,1.008
59,0.031,-0.094,1.012
60,0.043,-0.078,1.000
61,0.031,-0.082,1.004
62,0.031,-0.094,1.012
63,0.027,-0.094,1.008
64,0.020,-0.082,1.004
65,0.031,-0.090,1.008
66,0.039,-0.086,1.016
67,0.035,-0.090,1.008
68,0.027,-0.090,1.004
69,0.035,-0.090,1.012
70,0.027,-0.086,1.012
71,0.027,-0.078,1.008
72,0.027,-0.090,1.008
73,0.035,-0.086,1.008
74,0.039,-0.086,1.012
75,0.023,-0.086,1.012
76,0.027,-0.082,1.008
77,0.035,-0.086,1.012
78,0.027,-0.090,1.004
79,0.027,-0.090,1.023
80,0.031,-0.074,0.977
81,0.027,-0.086,1.016
82,0.039,-0.082,1.008
83,0.031,-0.090,1.008
84,0.027,-0.094,1.000
85,0.020,-0.086,1.012
86,0.043,-0.078,1.004
87,0.027,-0.086,0.996
88,0.027,-0.090,1.004
89,0.027,-0.082,1.012
90,0.031,-0.086,1.004
91,0.031,-0.082,1.004
92,0.020,-0.086,1.008
93,0.023,-0.086,1.004
94,0.031,-0.074,1.012
95,0.035,-0.086,1.008
96,0.027,-0.094,1.012
97,0.027,-0.078,1.008
98,0.023,-0.082,1.012
99,0.031,-0.086,1.012
100,0.016,-0.074,0.992
101,0.027,-0.086,1.016
102,0.035,-0.078,1.008
103,0.031,-0.082,1.008
104,0.027,-0.086,1.004
105,0.027,-0.090,1.008
106,0.027,-0.082,1.008
107,0.031,-0.086,1.012
108,0.031,-0.082,1.008
109,0.031,-0.086,1.012
110,0.027,-0.090,1.012
111,0.027,-0.066,1.012
112,0.039,-0.078,1.020
113,0.047,-0.121,1.000
114,0.035,-0.113,1.000
115,0.020,-0.102,1.020
116,0.008,-0.113,1.023
117,0.031,-0.148,1.031
118,0.055,-0.156,1.016
119,0.016,-0.117,1.043
120,0.012,-0.133,1.012
121,0.020,-0.137,1.035
122,0.066,-0.145,1.031
123,0.098,-0.168,0.969
124,0.113,-0.141,0.918
125,0.004,-0.082,0.941
126,-0.105,-0.199,0.926
127,0.035,-0.250,0.844
128,0.172,-0.270,0.797
129,0.199,-0.250,0.855
130,0.020,-0.410,0.891
131,-0.125,-0.488,0.879
132,-0.035,-0.551,0.914
133,0.027,-0.457,0.984
134,0.062,-0.543,1.051
135,0.035,-0.766,1.039
136,-0.023,-0.781,1.086
137,0.004,-0.664,1.148
138,0.117,-0.609,1.184
139,0.090,-0.699,1.168
140,0.047,-0.641,1.219
141,-0.027,-0.516,1.168
142,-0.102,-0.430,1.082
143,0.051,-0.406,1.012
144,0.117,-0.277,0.977
145,0.195,-0.238,0.957
146,0.238,-0.227,0.930
147,-0.027,-0.152,0.875
148,-0.211,-0.113,0.824
149,-0.164,-0.004,0.832
150,0.102,0.020,0.887
151,0.328,-0.059,0.949
152,0.145,-0.191,0.898
153,-0.305,-0.309,0.820
154,-0.344,-0.082,0.895
155,0.148,0.133,1.086
156,0.570,-0.254,1.043
157,0.172,-0.621,0.906
158,-0.230,-0.430,0.969
159,-0.047,-0.047,1.176
160,0.180,-0.199,1.094
161,0.129,-0.668,0.930
162,-0.082,-0.695,0.977
163,-0.121,-0.367,1.117
164,0.023,-0.453,1.000
165,0.305,-0.441,0.977
166,0.148,-0.613,1.055
