Sample,X,Y,Z
0,0.012,-0.078,1.008
1,0.027,-0.074,1.012
2,0.035,-0.070,1.012
3,0.035,-0.086,1.012
4,0.031,-0.074,1.004
5,0.031,-0.074,1.008
6,0.039,-0.070,1.008
7,0.031,-0.086,1.012
8,0.023,-0.074,1.008
9,0.039,-0.066,1.012
10,0.035,-0.078,1.020
11,0.035,-0.082,1.012
12,0.035,-0.074,1.020
13,0.027,-0.078,1.012
14,0.035,-0.082,1.004
15,0.039,-0.082,1.012
16,0.031,-0.074,1.008
17,0.027,-0.078,1.012
18,0.035,-0.074,1.016
19,0.039,-0.086,1.023
20,0.016,-0.082,1.023
21,0.031,-0.074,1.004
22,0.027,-0.074,1.016
23,0.035,-0.086,1.020
24,0.043,-0.086,1.004
25,0.027,-0.074,1.008
26,0.027,-0.070,1.008
27,0.039,-0.074,1.008
28,0.039,-0.090,1.012
29,0.039,-0.082,1.000
30,0.023,-0.070,1.008
31,0.035,-0.066,1.012
32,0.035,-0.082,1.008
33,0.035,-0.082,1.004
34,0.027,-0.070,1.020
35,0.035,-0.074,1.012
36,0.035,-0.078,1.008
37,0.039,-0.082,1.008
38,0.035,-0.082,1.012
39,0.027,-0.078,1.004
40,0.043,-0.094,1.027
41,0.039,-0.074,1.016
42,0.031,-0.078,1.012
43,0.023,-0.082,1.008
44,0.031,-0.082,1.004
45,0.031,-0.074,1.012
46,0.035,-0.086,1.004
47,0.027,-0.082,1.012
48,0.027,-0.074,1.008
49,0.039,-0.078,1.016
50,0.035,-0.082,1.012
51,0.039,-0.078,1.008
52,0.039,-0.086,1.012
53,0.031,-0.078,1.012
54,0.031,-0.078,1.016
55,0.031,-0.078,1.004
56,0.031,-0.078,1.012
57,0.035,-0.082,1.012
58,0.031,-0.082,1.004
59,0.035,-0.074,1.016
60,0.035,-0.066,0.992
61,0.035,-0.082,1.012
62,0.031,-0.090,1.004
63,0.020,-0.074,1.008
64,0.031,-0.078,1.012
65,0.035,-0.078,1.012
66,0.039,-0.086,1.016
67,0.031,-0.078,1.012
68,0.035,-0.082,1.004
69,0.039,-0.074,1.008
70,0.031,-0.078,1.012
71,0.031,-0.078,1.000
72,0.035,-0.078,1.012
73,0.031,-0.070,1.016
74,0.035,-0.082,1.012
75,0.035,-0.074,1.004
76,0.039,-0.086,1.020
77,0.035,-0.082,1.016
78,0.031,-0.082,1.008
79,0.031,-0.086,1.004
80,0.043,-0.094,1.047
81,0.043,-0.074,1.016
82,0.027,-0.082,1.016
83,0.035,-0.090,1.008
84,0.031,-0.082,0.996
85,0.027,-0.074,1.020
86,0.027,-0.082,1.004
87,0.023,-0.090,1.012
88,0.035,-0.082,1.008
89,0.035,-0.082,1.020
90,0.039,-0.074,1.012
91,0.027,-0.078,1.008
92,0.031,-0.082,1.012
93,0.031,-0.074,1.008
94,0.035,-0.078,1.008
95,0.035,-0.086,1.008
96,0.027,-0.078,1.004
97,0.031,-0.078,1.012
98,0.035,-0.082,1.008
99,0.031,-0.082,1.004
100,0.035,-0.074,1.020
101,0.023,-0.074,1.016
102,0.043,-0.070,1.008
103,0.043,-0.082,1.012
104,0.027,-0.086,1.008
105,0.023,-0.078,1.000
106,0.039,-0.078,1.012
107,0.031,-0.082,1.008
108,0.035,-0.086,1.008
109,0.023,-0.082,1.012
110,0.051,-0.074,1.008
111,0.035,-0.086,1.012
112,-0.012,-0.113,0.996
113,-0.035,-0.090,1.016
114,0.008,-0.094,1.031
115,0.031,-0.125,1.016
116,0.023,-0.141,1.020
117,0.012,-0.129,1.031
118,-0.039,-0.117,1.043
119,-0.070,-0.121,1.035
120,-0.066,-0.121,1.027
121,-0.082,-0.113,0.988
122,-0.137,-0.133,0.953
123,-0.223,-0.184,0.918
124,-0.367,-0.188,0.875
125,-0.348,-0.234,0.875
126,-0.320,-0.277,0.871
127,-0.387,-0.363,0.859
128,-0.434,-0.395,0.891
129,-0.418,-0.465,0.918
130,-0.266,-0.516,0.957
131,-0.012,-0.555,1.012
132,-0.047,-0.574,1.031
133,-0.398,-0.641,1.082
134,-0.508,-0.766,1.125
135,-0.297,-0.656,1.160
136,0.195,-0.652,1.164
137,0.152,-0.590,1.141
138,-0.148,-0.648,1.113
139,-0.258,-0.449,1.113
140,0.227,-0.289,1.023
141,0.410,-0.207,1.020
142,0.008,-0.266,0.980
143,-0.371,-0.262,0.934
144,-0.324,0.016,0.922
145,0.035,0.113,0.930
146,0.422,0.074,0.922
147,0.328,0.020,0.875
148,-0.398,0.004,0.875
149,-0.449,0.086,0.914
150,-0.184,0.336,0.984
