Sample,X,Y,Z
0,0.012,0.172,1.023
1,0.027,-0.090,1.012
2,0.023,-0.086,1.012
3,0.027,-0.086,1.012
4,0.031,-0.078,1.020
5,0.027,-0.094,1.012
6,0.027,-0.086,1.012
7,0.035,-0.082,1.008
8,0.031,-0.090,1.012
9,0.031,-0.086,1.008
10,0.023,-0.078,1.012
11,0.031,-0.094,1.016
12,0.027,-0.090,1.012
13,0.031,-0.078,1.016
14,0.035,-0.090,1.016
15,0.027,-0.090,1.016
16,0.027,-0.094,1.012
17,0.023,-0.078,1.012
18,0.035,-0.082,1.012
19,0.031,-0.090,1.016
20,0.020,-0.078,0.949
21,0.031,-0.082,1.008
22,0.031,-0.078,1.012
23,0.031,-0.094,1.020
24,0.031,-0.094,1.004
25,0.031,-0.082,1.020
26,0.027,-0.082,1.012
27,0.035,-0.082,1.004
28,0.039,-0.086,1.008
29,0.031,-0.078,1.008
30,0.031,-0.082,1.012
31,0.031,-0.090,1.012
32,0.027,-0.086,1.012
33,0.027,-0.090,1.012
34,0.027,-0.082,1.004
35,0.035,-0.086,1.008
36,0.031,-0.086,1.016
37,0.039,-0.090,1.016
38,0.027,-0.094,1.004
39,0.031,-0.086,1.000
40,0.020,-0.070,0.992
41,0.027,-0.090,1.008
42,0.027,-0.090,1.012
43,0.020,-0.090,1.008
44,0.027,-0.082,1.008
45,0.039,-0.078,1.012
46,0.031,-0.090,1.004
47,0.020,-0.098,1.008
48,0.027,-0.082,1.004
49,0.035,-0.090,1.004
50,0.031,-0.086,1.012
51,0.031,-0.090,1.008
52,0.027,-0.090,1.012
53,0.031,-0.086,1.008
54,0.031,-0.090,1.000
55,0.035,-0.086,1.012
56,0.039,-0.090,1.016
57,0.027,-0.094,1.004
58,0.027,-0.078,1.012
59,0.031,-0.086,1.008
60,0.051,-0.078,0.969
61,0.031,-0.090,1.016
62,0.023,-0.094,1.012
63,0.027,-0.090,1.004
64,0.035,-0.082,1.008
65,0.035,-0.090,1.012
66,0.020,-0.102,1.008
67,0.023,-0.090,1.012
68,0.031,-0.078,1.008
69,0.043,-0.090,1.012
70,0.031,-0.102,1.012
71,0.023,-0.094,1.008
72,0.027,-0.082,1.012
73,0.035,-0.078,1.012
74,0.031,-0.086,1.008
75,0.023,-0.094,1.008
76,0.027,-0.086,1.004
77,0.031,-0.082,1.004
78,0.035,-0.090,1.012
79,0.027,-0.094,1.008
80,0.016,-0.082,1.008
81,0.031,-0.082,1.008
82,0.043,-0.074,1.008
83,0.035,-0.090,1.008
84,0.020,-0.102,1.012
85,0.027,-0.094,1.012
86,0.035,-0.074,1.016
87,0.023,-0.086,1.012
88,0.027,-0.098,1.008
89,0.027,-0.086,1.000
90,0.031,-0.078,1.004
91,0.035,-0.082,1.008
92,0.031,-0.094,1.008
93,0.023,-0.094,1.008
94,0.027,-0.090,1.012
95,0.035,-0.078,1.012
96,0.027,-0.098,1.008
97,0.027,-0.094,0.996
98,0.023,-0.086,1.012
99,0.039,-0.086,1.008
100,0.035,-0.082,1.008
101,0.031,-0.098,1.012
102,0.027,-0.094,1.004
103,0.031,-0.082,1.004
104,0.039,-0.078,1.012
105,0.035,-0.086,1.004
106,0.020,-0.098,1.008
107,0.031,-0.094,1.008
108,0.027,-0.082,1.012
109,0.031,-0.086,1.008
110,0.023,-0.094,1.008
111,0.023,-0.078,1.008
112,0.031,-0.078,1.012
113,0.051,-0.121,1.000
114,0.043,-0.109,1.000
115,0.027,-0.105,1.023
116,0.004,-0.113,1.023
117,0.012,-0.152,1.027
118,0.027,-0.152,1.027
119,0.043,-0.117,1.035
120,0.059,-0.137,0.996
121,0.023,-0.156,1.031
122,0.031,-0.156,1.043
123,0.062,-0.164,1.000
124,0.094,-0.102,0.969
125,0.039,-0.094,0.949
126,-0.121,-0.137,0.938
127,-0.055,-0.246,0.863
128,0.160,-0.207,0.793
129,0.250,-0.199,0.816
130,0.090,-0.363,0.855
131,-0.129,-0.500,0.848
132,-0.070,-0.527,0.859
133,-0.012,-0.477,0.906
134,0.082,-0.570,0.973
135,0.051,-0.773,1.031
136,0.008,-0.891,1.031
137,0.016,-0.820,1.117
138,0.133,-0.707,1.184
139,0.156,-0.805,1.191
140,0.012,-0.801,1.238
141,-0.090,-0.715,1.227
142,-0.156,-0.594,1.168
143,-0.008,-0.551,1.078
144,0.191,-0.430,1.047
145,0.336,-0.332,1.062
146,0.191,-0.355,0.969
147,-0.090,-0.297,0.859
148,-0.250,-0.066,0.836
149,-0.059,0.121,0.891
150,0.281,0.027,0.914
151,0.289,-0.211,0.840
152,-0.246,-0.246,0.742
153,-0.363,0.000,0.836
