Sample,X,Y,Z
0,0.016,0.160,1.023
1,0.031,-0.090,1.008
2,0.035,-0.082,1.004
3,0.035,-0.086,1.012
4,0.023,-0.094,1.008
5,0.027,-0.090,1.012
6,0.035,-0.082,1.008
7,0.035,-0.086,1.004
8,0.035,-0.098,1.008
9,0.023,-0.094,1.000
10,0.031,-0.090,1.008
11,0.039,-0.086,1.012
12,0.027,-0.105,1.004
13,0.031,-0.098,1.004
14,0.035,-0.086,1.012
15,0.035,-0.082,1.008
16,0.031,-0.090,1.008
17,0.027,-0.098,1.000
18,0.027,-0.098,1.012
19,0.035,-0.094,1.020
20,0.035,-0.086,0.969
21,0.031,-0.094,1.004
22,0.031,-0.102,1.008
23,0.031,-0.098,1.012
24,0.035,-0.086,1.004
25,0.035,-0.086,1.016
26,0.039,-0.090,1.008
27,0.035,-0.102,1.012
28,0.031,-0.094,1.008
29,0.027,-0.094,1.004
30,0.027,-0.094,1.012
31,0.035,-0.094,1.016
32,0.027,-0.094,1.012
33,0.031,-0.098,1.012
34,0.027,-0.094,1.012
35,0.031,-0.094,1.008
36,0.027,-0.090,1.008
37,0.031,-0.090,1.000
38,0.035,-0.094,1.008
39,0.027,-0.094,1.008
40,0.023,-0.086,0.988
41,0.039,-0.090,1.008
42,0.027,-0.090,1.004
43,0.027,-0.098,1.008
44,0.035,-0.094,1.008
45,0.031,-0.094,1.008
46,0.035,-0.094,1.012
47,0.031,-0.098,1.004
48,0.031,-0.098,1.012
49,0.027,-0.090,1.008
50,0.031,-0.090,1.008
51,0.035,-0.098,1.012
52,0.039,-0.098,1.004
53,0.035,-0.090,1.012
54,0.031,-0.094,1.012
55,0.039,-0.090,1.008
56,0.031,-0.094,1.008
57,0.031,-0.090,1.012
58,0.027,-0.094,1.016
59,0.031,-0.094,1.012
60,0.051,-0.090,0.984
61,0.031,-0.090,1.012
62,0.035,-0.090,1.004
63,0.035,-0.102,1.008
64,0.023,-0.098,1.008
65,0.027,-0.090,1.004
66,0.031,-0.090,1.012
67,0.043,-0.090,1.016
68,0.027,-0.098,1.008
69,0.027,-0.090,1.008
70,0.031,-0.082,1.012
71,0.031,-0.094,1.004
72,0.031,-0.094,1.004
73,0.023,-0.094,1.016
74,0.035,-0.090,1.012
75,0.031,-0.090,1.012
76,0.031,-0.094,1.012
77,0.027,-0.098,1.008
78,0.031,-0.094,1.012
79,0.031,-0.090,1.000
80,0.035,-0.094,0.984
81,0.027,-0.102,1.008
82,0.035,-0.090,1.008
83,0.035,-0.094,1.012
84,0.027,-0.090,1.008
85,0.027,-0.098,1.016
86,0.035,-0.094,1.012
87,0.027,-0.094,1.008
88,0.027,-0.094,1.004
89,0.027,-0.094,1.012
90,0.031,-0.098,1.012
91,0.027,-0.090,1.008
92,0.027,-0.094,1.004
93,0.031,-0.098,1.008
94,0.031,-0.090,1.012
95,0.027,-0.094,1.012
96,0.043,-0.094,1.008
97,0.031,-0.094,1.004
98,0.023,-0.090,1.012
99,0.027,-0.098,1.012
100,0.031,-0.082,0.992
101,0.027,-0.098,1.000
102,0.035,-0.090,1.008
103,0.027,-0.090,1.012
104,0.027,-0.094,1.016
105,0.031,-0.090,1.008
106,0.023,-0.094,1.012
107,0.023,-0.086,1.008
108,0.027,-0.090,1.012
109,0.031,-0.094,1.008
110,0.031,-0.090,1.004
111,0.020,-0.090,1.012
112,0.020,-0.070,1.020
113,0.035,-0.113,1.012
114,0.055,-0.117,0.996
115,0.055,-0.109,1.008
116,0.020,-0.102,1.008
117,0.008,-0.137,1.016
118,0.016,-0.145,1.023
119,0.039,-0.148,1.031
120,0.027,-0.109,0.973
121,0.016,-0.148,1.031
122,0.023,-0.160,1.027
123,0.039,-0.141,1.023
124,0.074,-0.156,0.992
125,0.129,-0.133,0.953
126,0.055,-0.109,0.945
127,-0.105,-0.168,0.938
128,-0.004,-0.250,0.879
129,0.141,-0.246,0.812
130,0.203,-0.250,0.832
131,0.066,-0.395,0.875
132,-0.105,-0.477,0.867
133,-0.062,-0.570,0.863
134,-0.008,-0.504,0.914
135,0.023,-0.582,0.984
136,0.039,-0.797,1.000
137,0.016,-0.852,1.031
138,0.047,-0.828,1.094
139,0.133,-0.758,1.148
140,0.117,-0.828,1.145
141,0.023,-0.840,1.172
142,-0.098,-0.758,1.184
143,-0.094,-0.688,1.125
144,0.051,-0.680,1.051
145,0.246,-0.492,1.047
146,0.344,-0.422,1.062
147,0.078,-0.477,0.945
148,-0.188,-0.383,0.859
149,-0.156,-0.078,0.891
150,0.137,0.121,0.984
151,0.281,-0.133,0.906
152,-0.066,-0.324,0.750
153,-0.273,-0.086,0.793
154,-0.031,0.160,0.938
155,0.332,0.008,0.918
156,0.246,-0.379,0.832
157,-0.031,-0.258,0.949
158,-0.129,-0.164,1.059
159,-0.047,-0.277,0.941
160,0.062,-0.324,0.969
161,0.055,-0.363,1.078
162,0.012,-0.465,1.078
163,0.227,-0.516,1.066
164,0.117,-0.598,1.062
165,-0.176,-0.422,1.078
166,0.086,-0.453,1.090
167,0.070,-0.625,0.973
168,0.066,-0.469,1.039
169,0.266,-0.465,1.113
170,-0.129,-0.500,0.887
171,-0.180,-0.656,0.832
172,-0.219,-0.258,0.934
173,0.027,-0.270,1.020
174,0.273,-0.703,0.949
175,0.160,-0.668,0.906
176,0.070,-0.516,0.934
177,-0.055,-0.012,1.031
178,0.078,-0.539,0.980
179,0.020,-0.410,0.938
180,-0.020,-0.562,0.957
181,-0.152,-0.148,1.055
182,0.082,-0.398,1.137
183,0.180,-0.238,1.051
184,0.379,-0.453,1.004
185,0.188,-0.133,1.059
186,0.000,-0.246,1.074
187,-0.160,-0.074,0.988
188,-0.293,-0.211,0.887
189,-0.121,0.250,1.125
190,0.148,-0.203,1.016
191,0.453,0.133,0.926
192,0.207,-0.324,0.844
193,0.086,0.199,1.059
194,-0.273,-0.051,0.938
195,-0.191,0.012,0.828
196,-0.270,0.051,0.977
197,0.027,0.059,1.125
198,0.273,-0.078,1.004
199,0.344,-0.312,0.887
200,0.266,0.008,1.078
201,-0.137,-0.086,1.102
202,-0.285,-0.309,0.930
203,-0.211,-0.168,0.965
204,0.008,0.078,1.203
205,0.133,-0.086,1.109
206,0.453,-0.527,0.863
207,0.363,-0.129,0.984
208,-0.137,-0.102,1.023
209,-0.348,-0.004,0.965
210,-0.406,-0.402,0.875
211,-0.012,-0.008,1.094
212,0.184,-0.004,1.055
213,0.508,-0.312,0.883
214,0.301,-0.355,0.902
215,-0.164,-0.191,1.016
216,-0.238,-0.023,1.031
217,-0.199,-0.316,0.938
218,0.066,-0.137,1.137
219,0.191,-0.129,1.125
220,0.375,-0.293,0.914
221,0.371,-0.207,1.059
222,-0.086,-0.215,1.066
223,-0.227,0.020,1.059
224,-0.250,-0.234,0.980
225,-0.059,-0.012,1.102
226,0.180,0.188,1.105
227,0.301,-0.230,0.930
228,0.203,-0.062,0.938
229,-0.043,0.055,1.043
230,-0.289,0.188,1.023
231,-0.348,-0.176,0.898
232,0.039,0.055,1.016
233,0.250,0.328,1.012
234,0.238,-0.078,0.875
235,0.199,0.004,0.941
236,-0.152,-0.094,0.977
237,-0.090,0.137,0.977
238,-0.094,-0.105,0.926
239,0.062,-0.090,1.055
240,0.184,0.086,1.098
241,0.316,-0.266,0.918
242,0.266,-0.094,1.039
243,-0.188,-0.230,1.078
244,-0.168,0.004,1.070
245,-0.160,-0.293,0.965
246,0.082,-0.109,1.094
247,0.121,0.066,1.074
248,0.172,-0.270,0.898
249,0.199,-0.230,0.984
250,-0.074,-0.262,0.984
251,-0.094,0.047,0.992
252,-0.199,-0.316,0.984
