Sample,X,Y,Z
0,0.012,0.160,1.027
1,0.031,-0.094,1.008
2,0.027,-0.094,1.004
3,0.035,-0.086,1.020
4,0.027,-0.086,1.016
5,0.027,-0.094,1.012
6,0.031,-0.090,1.008
7,0.031,-0.094,1.004
8,0.031,-0.094,1.012
9,0.035,-0.098,1.016
10,0.027,-0.090,1.016
11,0.023,-0.082,1.012
12,0.043,-0.094,1.016
13,0.035,-0.094,1.012
14,0.031,-0.086,1.008
15,0.023,-0.094,1.016
16,0.023,-0.086,1.012
17,0.031,-0.086,1.016
18,0.027,-0.098,1.008
19,0.023,-0.102,1.012
20,0.039,-0.078,1.000
21,0.039,-0.082,1.012
22,0.023,-0.094,1.012
23,0.023,-0.094,0.996
24,0.027,-0.090,1.012
25,0.031,-0.090,1.004
26,0.031,-0.090,1.016
27,0.031,-0.094,1.004
28,0.027,-0.082,1.012
29,0.035,-0.090,1.012
30,0.031,-0.090,1.008
31,0.027,-0.098,1.012
32,0.031,-0.082,1.004
33,0.027,-0.086,1.008
34,0.020,-0.098,1.008
35,0.035,-0.086,1.020
36,0.027,-0.094,1.008
37,0.035,-0.086,1.008
38,0.027,-0.086,1.008
39,0.027,-0.090,1.012
40,0.039,-0.082,1.004
41,0.031,-0.090,1.004
42,0.031,-0.094,1.008
43,0.027,-0.082,1.020
44,0.027,-0.090,1.008
45,0.027,-0.094,1.012
46,0.027,-0.090,1.008
47,0.035,-0.090,1.004
48,0.027,-0.094,1.008
49,0.023,-0.094,1.012
50,0.035,-0.090,1.008
51,0.031,-0.082,1.012
52,0.031,-0.090,1.004
53,0.031,-0.094,1.008
54,0.031,-0.090,1.004
55,0.031,-0.094,1.012
56,0.035,-0.090,1.012
57,0.027,-0.090,1.012
58,0.023,-0.094,1.000
59,0.027,-0.090,1.008
60,0.023,-0.078,1.020
61,0.027,-0.094,1.012
62,0.023,-0.094,1.008
63,0.020,-0.094,1.008
64,0.035,-0.082,1.004
65,0.027,-0.094,1.020
66,0.031,-0.082,1.012
67,0.023,-0.098,1.012
68,0.023,-0.094,1.008
69,0.027,-0.086,1.016
70,0.031,-0.090,1.012
71,0.027,-0.086,1.012
72,0.027,-0.090,1.012
73,0.023,-0.090,1.004
74,0.039,-0.098,1.012
75,0.031,-0.086,1.008
76,0.027,-0.090,1.012
77,0.027,-0.090,1.008
78,0.027,-0.094,1.020
79,0.027,-0.082,1.008
80,0.031,-0.090,1.004
81,0.035,-0.098,1.008
82,0.039,-0.086,1.008
83,0.031,-0.086,1.012
84,0.023,-0.102,1.016
85,0.027,-0.098,1.012
86,0.027,-0.086,1.016
87,0.027,-0.082,1.008
88,0.027,-0.090,1.012
89,0.027,-0.090,1.008
90,0.031,-0.086,1.004
91,0.035,-0.086,1.004
92,0.027,-0.090,1.008
93,0.027,-0.094,1.008
94,0.035,-0.098,1.008
95,0.023,-0.090,1.012
96,0.031,-0.094,1.008
97,0.027,-0.098,1.012
98,0.027,-0.094,1.012
99,0.027,-0.090,1.012
100,0.027,-0.082,0.961
101,0.031,-0.094,1.000
102,0.023,-0.094,1.004
103,0.027,-0.090,1.004
104,0.031,-0.086,1.008
105,0.035,-0.090,1.012
106,0.031,-0.102,1.012
107,0.023,-0.098,1.000
108,0.023,-0.090,1.008
109,0.023,-0.078,1.004
110,0.035,-0.078,1.016
111,0.043,-0.141,1.000
112,0.043,-0.121,1.004
113,0.035,-0.129,1.008
114,0.016,-0.145,1.020
115,-0.004,-0.188,1.027
116,-0.023,-0.172,1.051
117,0.062,-0.195,1.012
118,0.184,-0.270,0.922
119,0.234,-0.301,0.859
120,0.129,-0.258,0.895
121,-0.156,-0.309,0.910
122,-0.180,-0.469,0.852
123,0.023,-0.492,0.785
124,0.188,-0.426,0.844
125,0.188,-0.586,0.914
