Sample,X,Y,Z
0,0.000,-0.023,0.727
1,-0.020,0.008,0.984
2,0.027,-0.008,1.012
3,0.020,-0.008,0.996
4,0.027,-0.004,1.004
5,0.004,-0.008,1.000
6,-0.004,0.000,0.973
7,0.027,0.004,0.984
8,0.000,0.004,0.996
9,-0.008,0.008,0.992
10,0.016,0.000,0.996
11,-0.027,0.004,0.980
12,0.016,0.000,1.004
13,0.008,-0.020,1.000
14,0.039,0.004,0.988
15,0.043,-0.004,1.012
16,-0.016,0.008,1.004
17,-0.020,0.008,0.980
18,0.008,0.012,0.965
19,-0.008,0.000,0.984
20,0.023,-0.008,1.020
21,0.008,-0.027,1.008
22,0.039,-0.004,0.996
23,0.031,0.008,0.988
24,-0.016,0.027,0.984
25,-0.020,0.023,1.000
26,-0.043,0.008,0.977
27,-0.020,-0.012,0.996
28,0.035,-0.023,1.016
29,0.047,0.008,0.996
30,0.059,0.004,0.996
31,0.012,0.004,0.984
32,-0.055,0.012,0.980
33,-0.074,-0.004,1.004
34,0.000,0.012,0.977
35,0.090,0.016,0.969
36,0.055,-0.016,1.008
37,0.012,-0.039,1.031
38,-0.020,-0.016,0.992
39,-0.012,0.016,0.973
40,-0.023,0.012,1.000
41,0.000,0.020,1.000
42,0.008,0.012,0.969
43,0.012,-0.004,0.988
44,0.012,-0.027,1.020
45,0.031,-0.020,1.012
46,0.074,0.012,0.973
47,0.016,0.012,0.969
48,-0.055,0.004,1.020
49,-0.043,0.012,1.016
50,-0.004,0.016,0.977
51,0.020,0.008,0.996
52,0.074,-0.004,1.004
53,0.035,0.004,0.980
54,0.023,-0.016,0.992
55,0.012,-0.008,0.984
56,-0.012,0.004,1.012
57,-0.035,0.008,0.988
58,0.012,0.027,0.984
59,-0.004,0.004,0.984
60,-0.027,-0.008,1.008
61,0.020,-0.020,0.996
62,0.043,0.004,0.973
63,0.074,0.008,0.992
64,0.027,-0.004,1.012
65,-0.023,0.000,0.996
66,-0.035,0.008,0.980
67,-0.035,0.008,0.980
68,-0.031,0.008,0.984
69,-0.020,0.004,1.004
70,0.020,0.000,1.000
71,0.055,0.000,0.984
72,0.062,-0.004,1.000
73,0.035,-0.008,0.996
74,-0.012,0.008,0.996
75,-0.008,0.023,0.973
76,-0.051,0.008,0.980
77,0.000,-0.020,1.016
