Sample,X,Y,Z
0,0.004,0.168,1.023
1,0.023,-0.086,1.012
2,0.027,-0.082,1.016
3,0.031,-0.086,1.008
4,0.027,-0.082,1.016
5,0.023,-0.098,1.012
6,0.035,-0.074,1.008
7,0.039,-0.082,1.008
8,0.027,-0.090,1.008
9,0.023,-0.094,1.008
10,0.031,-0.090,1.008
11,0.035,-0.078,1.008
12,0.031,-0.086,1.016
13,0.023,-0.094,1.012
14,0.027,-0.086,1.012
15,0.031,-0.082,1.016
16,0.027,-0.078,1.016
17,0.031,-0.086,1.016
18,0.039,-0.090,1.016
19,0.031,-0.082,1.016
20,0.051,-0.074,1.012
21,0.027,-0.086,1.012
22,0.027,-0.086,1.016
23,0.023,-0.082,1.012
24,0.023,-0.082,1.016
25,0.035,-0.082,1.016
26,0.031,-0.090,1.008
27,0.035,-0.086,1.008
28,0.031,-0.082,1.008
29,0.023,-0.082,1.016
30,0.031,-0.086,1.008
31,0.027,-0.090,1.008
32,0.031,-0.086,1.000
33,0.031,-0.086,1.008
34,0.027,-0.090,1.012
35,0.023,-0.094,1.008
36,0.027,-0.082,1.008
37,0.027,-0.086,1.008
38,0.027,-0.090,1.008
39,0.027,-0.086,1.004
40,0.039,-0.082,0.969
41,0.035,-0.082,1.004
42,0.031,-0.086,1.008
43,0.023,-0.094,1.012
44,0.023,-0.090,1.008
45,0.031,-0.082,1.016
46,0.031,-0.082,1.012
47,0.023,-0.082,1.016
48,0.035,-0.086,1.016
49,0.035,-0.086,1.016
50,0.031,-0.078,1.016
51,0.027,-0.094,1.016
52,0.023,-0.090,1.012
53,0.031,-0.086,1.008
54,0.035,-0.082,1.012
55,0.023,-0.094,1.004
56,0.023,-0.090,1.008
57,0.027,-0.082,1.004
58,0.023,-0.082,1.008
59,0.027,-0.090,1.000
60,0.020,-0.082,1.004
61,0.031,-0.090,1.016
62,0.031,-0.082,1.012
63,0.027,-0.082,1.004
64,0.023,-0.090,1.008
65,0.027,-0.082,1.012
66,0.031,-0.090,1.004
67,0.027,-0.086,1.016
68,0.027,-0.082,1.012
69,0.027,-0.086,1.016
70,0.031,-0.082,1.016
71,0.027,-0.082,1.004
72,0.027,-0.090,1.008
73,0.027,-0.086,1.012
74,0.027,-0.082,1.016
75,0.031,-0.090,1.004
76,0.027,-0.078,1.012
77,0.023,-0.090,1.008
78,0.027,-0.094,1.008
79,0.039,-0.078,1.012
80,0.016,-0.078,0.965
