Sample,X,Y,Z
0,0.023,0.156,1.027
1,0.031,-0.094,1.004
2,0.023,-0.086,1.008
3,0.023,-0.086,1.012
4,0.039,-0.078,1.004
5,0.035,-0.090,1.016
6,0.027,-0.090,1.008
7,0.023,-0.086,1.008
8,0.023,-0.086,1.004
9,0.023,-0.086,1.016
10,0.023,-0.094,0.996
11,0.027,-0.082,1.008
12,0.031,-0.086,1.020
13,0.031,-0.086,1.012
14,0.023,-0.086,1.008
15,0.027,-0.094,1.004
16,0.031,-0.082,1.012
17,0.031,-0.086,1.012
18,0.031,-0.082,1.016
19,0.027,-0.086,1.020
20,0.023,-0.078,0.957
21,0.027,-0.086,1.008
22,0.031,-0.086,1.008
23,0.031,-0.086,1.016
24,0.031,-0.082,1.004
25,0.031,-0.090,1.020
26,0.031,-0.086,1.004
27,0.035,-0.090,1.004
28,0.023,-0.086,1.008
29,0.027,-0.086,1.004
30,0.027,-0.090,1.012
31,0.027,-0.082,1.012
32,0.023,-0.094,1.004
33,0.027,-0.090,1.008
34,0.035,-0.090,1.012
35,0.039,-0.074,1.004
36,0.031,-0.082,1.012
37,0.027,-0.094,1.004
38,0.023,-0.098,1.008
39,0.031,-0.078,1.004
40,0.023,-0.074,0.973
41,0.031,-0.094,1.008
42,0.027,-0.090,1.008
43,0.035,-0.078,1.008
44,0.031,-0.082,1.008
45,0.031,-0.094,1.012
46,0.027,-0.094,1.008
47,0.027,-0.082,1.004
48,0.035,-0.078,1.012
49,0.035,-0.090,1.008
50,0.023,-0.098,1.008
51,0.027,-0.086,1.008
52,0.031,-0.082,1.012
53,0.031,-0.086,1.004
54,0.039,-0.094,1.004
55,0.023,-0.086,1.008
56,0.031,-0.082,1.012
57,0.035,-0.082,1.012
58,0.031,-0.082,1.004
59,0.023,-0.094,1.004
60,0.023,-0.074,0.996
61,0.035,-0.074,1.016
62,0.043,-0.082,1.020
63,0.023,-0.094,1.004
64,0.031,-0.086,1.004
65,0.031,-0.086,1.004
66,0.027,-0.074,1.004
67,0.039,-0.090,1.012
68,0.027,-0.094,1.004
69,0.027,-0.094,1.020
70,0.035,-0.074,1.008
71,0.039,-0.082,1.012
72,0.031,-0.098,1.016
73,0.027,-0.094,1.008
74,0.031,-0.082,1.016
75,0.031,-0.082,1.012
76,0.027,-0.098,1.004
77,0.035,-0.094,1.000
78,0.027,-0.086,1.008
79,0.031,-0.082,1.004
80,0.027,-0.094,1.016
81,0.031,-0.098,1.012
82,0.031,-0.094,1.004
83,0.035,-0.078,1.004
84,0.039,-0.086,1.012
85,0.035,-0.086,1.012
86,0.031,-0.094,1.012
87,0.035,-0.090,1.012
88,0.035,-0.082,1.012
89,0.035,-0.078,1.004
90,0.031,-0.082,1.012
91,0.027,-0.086,1.008
92,0.027,-0.086,1.004
93,0.035,-0.086,1.012
94,0.035,-0.082,1.000
95,0.027,-0.078,1.012
96,0.039,-0.086,1.008
97,0.035,-0.086,1.008
98,0.035,-0.082,1.016
99,0.035,-0.082,1.008
100,0.039,-0.078,0.980
101,0.027,-0.090,1.012
102,0.027,-0.086,1.008
103,0.027,-0.082,1.016
104,0.031,-0.082,1.004
105,0.027,-0.078,1.020
106,0.027,-0.086,1.016
107,0.031,-0.090,1.008
108,0.031,-0.078,1.012
109,0.043,-0.090,1.016
110,0.027,-0.086,1.008
111,0.020,-0.074,1.008
112,0.031,-0.070,1.012
113,0.055,-0.121,1.008
114,0.059,-0.109,1.008
115,0.039,-0.113,1.020
116,0.008,-0.105,1.031
117,0.012,-0.141,1.020
118,0.039,-0.152,1.016
119,0.039,-0.121,1.039
120,0.016,-0.141,1.062
121,0.008,-0.145,1.035
122,0.023,-0.145,1.027
123,0.066,-0.152,0.996
124,0.113,-0.129,0.980
125,0.039,-0.066,0.973
126,-0.121,-0.121,0.953
127,-0.098,-0.211,0.887
128,0.113,-0.203,0.820
129,0.246,-0.184,0.812
130,0.102,-0.305,0.871
131,-0.098,-0.469,0.879
132,-0.055,-0.508,0.867
133,0.012,-0.480,0.871
134,0.129,-0.512,0.965
135,0.105,-0.723,1.012
136,0.035,-0.848,1.039
137,0.008,-0.820,1.102
138,0.086,-0.695,1.164
139,0.180,-0.711,1.207
140,0.055,-0.742,1.211
141,-0.047,-0.711,1.199
142,-0.164,-0.586,1.168
143,-0.078,-0.492,1.094
144,0.102,-0.422,1.039
145,0.246,-0.359,1.012
146,0.195,-0.270,0.984
147,-0.004,-0.242,0.898
148,-0.172,-0.129,0.824
149,-0.133,0.043,0.836
150,0.125,0.078,0.871
151,0.340,-0.027,0.895
152,0.152,-0.172,0.824
153,-0.301,-0.176,0.777
154,-0.316,0.031,0.875
155,0.207,0.129,1.004
156,0.523,-0.223,0.984
157,0.082,-0.555,0.898
158,-0.219,-0.312,1.016
159,-0.047,-0.070,1.168
160,0.125,-0.223,1.094
161,0.102,-0.574,0.961
162,-0.066,-0.566,1.055
163,-0.051,-0.445,1.117
164,0.098,-0.453,1.004
165,0.301,-0.465,1.059
166,0.008,-0.586,1.082
167,-0.238,-0.500,0.980
168,0.082,-0.602,0.941
169,0.113,-0.516,0.965
170,0.055,-0.324,1.027
171,0.281,-0.562,1.016
172,-0.184,-0.758,0.797
173,-0.230,-0.457,0.883
174,-0.055,-0.344,0.977
175,0.086,-0.262,0.996
176,0.293,-0.789,1.016
177,-0.004,-0.535,0.949
178,0.105,-0.586,1.008
179,-0.102,-0.422,0.957
180,0.262,-0.223,1.176
181,0.121,-0.574,1.055
182,-0.047,-0.645,0.922
183,-0.273,-0.602,0.938
184,0.012,-0.031,1.168
185,0.102,-0.410,1.055
186,0.469,-0.418,0.953
187,0.039,-0.504,0.914
188,0.051,-0.035,1.078
189,-0.230,-0.145,0.953
190,-0.051,-0.301,0.859
191,-0.156,-0.059,1.004
192,0.117,0.004,1.086
193,0.250,-0.086,0.969
194,0.273,-0.488,0.840
195,0.094,0.168,1.055
196,-0.164,-0.133,1.051
197,-0.188,-0.055,0.895
198,-0.270,-0.152,0.977
199,0.020,-0.039,1.145
200,0.363,-0.016,1.023
201,0.344,-0.344,0.871
202,0.199,-0.207,1.012
203,-0.289,-0.074,1.043
204,-0.359,-0.266,0.926
205,-0.055,-0.207,1.004
206,0.105,-0.168,1.078
207,0.375,-0.031,1.020
208,0.371,-0.539,0.840
209,0.023,-0.289,0.863
210,-0.254,-0.152,0.996
211,-0.469,-0.262,1.004
212,-0.180,-0.402,0.996
213,0.363,-0.312,1.012
214,0.469,-0.152,1.039
215,0.441,-0.555,0.934
216,-0.184,-0.473,0.969
217,-0.582,-0.262,1.082
218,-0.270,-0.137,1.199
219,0.238,-0.316,1.121
220,0.641,-0.363,0.953
221,0.660,-0.359,1.004
222,-0.133,-0.277,0.996
223,-0.723,-0.020,1.098
224,-0.402,-0.129,1.125
225,0.180,-0.105,1.082
226,0.645,-0.238,0.977
227,0.633,-0.094,0.902
228,-0.203,0.152,0.930
229,-0.906,0.105,1.047
230,-0.434,-0.035,1.066
231,0.406,0.168,0.965
232,0.684,0.113,0.852
233,0.531,-0.156,0.867
234,-0.355,0.137,0.836
235,-0.801,0.172,0.980
236,-0.223,0.180,1.137
237,0.547,-0.012,1.016
238,0.711,-0.184,0.945
239,0.320,-0.230,0.953
240,-0.512,0.273,0.992
241,-0.734,0.051,1.086
242,-0.113,-0.113,1.137
243,0.602,-0.277,1.020
244,0.781,-0.195,0.977
245,0.141,-0.172,0.949
246,-0.621,0.004,0.961
247,-0.590,-0.086,1.113
248,-0.105,-0.316,1.059
249,0.785,-0.176,1.012
250,0.836,-0.449,0.941
251,0.023,-0.285,0.902
252,-0.727,-0.094,1.039
253,-0.680,0.059,1.156
254,-0.074,-0.195,1.051
255,0.707,-0.465,0.914
256,0.758,-0.320,0.973
257,-0.078,-0.148,1.023
258,-0.820,0.070,1.020
259,-0.547,-0.008,1.109
260,0.164,-0.109,1.027
261,0.762,-0.246,0.945
262,0.867,-0.273,0.969
263,-0.195,-0.031,0.906
264,-0.781,0.359,1.020
265,-0.438,0.051,1.109
266,0.469,-0.113,1.000
267,0.938,-0.285,0.934
268,0.641,-0.105,1.031
269,-0.566,-0.082,0.941
270,-1.027,0.410,1.074
271,-0.332,0.137,1.145
272,0.625,-0.086,1.020
273,0.977,-0.449,0.852
274,0.352,0.008,0.945
275,-0.879,0.215,0.953
276,-0.980,0.270,1.020
277,-0.141,-0.016,1.023
278,1.059,-0.129,0.961
279,0.969,-0.270,0.938
280,0.039,-0.312,0.906
281,-0.992,0.191,1.008
282,-0.762,0.254,1.199
283,0.074,-0.086,1.059
284,0.969,-0.371,0.961
285,0.832,-0.301,1.008
286,-0.250,-0.117,0.977
287,-0.914,0.109,0.980
288,-0.535,0.094,1.141
289,0.246,-0.105,1.051
290,0.965,-0.438,0.992
291,0.875,-0.574,0.895
292,-0.250,0.027,0.891
293,-0.926,0.211,1.078
294,-0.512,-0.004,1.117
295,0.375,-0.352,0.980
296,0.953,-0.383,0.914
297,0.711,-0.320,1.000
298,-0.551,0.020,0.953
299,-1.145,0.090,1.020
300,-0.473,0.043,1.211
301,0.676,-0.289,0.973
302,1.047,-0.227,0.996
303,0.531,-0.434,0.980
304,-0.742,0.188,0.973
305,-1.070,0.328,1.117
306,-0.285,0.059,1.098
307,0.984,-0.137,1.000
308,1.078,-0.320,0.941
309,0.242,-0.109,0.918
310,-0.863,0.312,1.000
311,-0.844,0.289,1.094
312,-0.066,0.094,1.055
313,1.090,-0.074,0.969
314,0.867,-0.316,0.914
315,-0.254,-0.258,0.863
316,-1.000,0.457,0.969
317,-0.773,0.309,1.059
318,0.215,-0.125,0.969
319,1.055,-0.328,0.973
320,0.891,-0.480,0.918
321,-0.316,-0.098,0.871
322,-1.051,0.316,1.059
323,-0.633,0.070,1.223
324,0.477,-0.410,1.035
325,1.137,-0.555,0.957
326,0.828,-0.375,1.043
327,-0.516,-0.086,1.027
328,-1.051,0.152,1.098
329,-0.500,-0.176,1.176
330,0.590,-0.086,1.129
331,1.070,-0.336,0.977
332,0.656,-0.273,0.922
333,-0.629,-0.062,0.918
334,-1.051,0.480,1.047
335,-0.379,0.133,1.059
336,0.723,-0.223,0.938
337,1.020,-0.262,0.848
338,0.422,-0.215,0.883
339,-0.758,0.066,0.805
340,-1.027,0.430,1.016
341,-0.316,-0.039,1.055
342,0.789,-0.246,0.996
343,0.953,-0.527,0.930
344,0.215,-0.371,0.926
345,-0.797,0.340,1.051
346,-0.820,0.258,1.195
347,-0.164,-0.379,1.105
348,0.984,-0.367,1.102
349,1.109,-0.340,1.035
350,0.062,-0.199,0.957
351,-0.762,0.277,1.109
352,-0.863,0.176,1.180
353,-0.039,-0.125,1.066
354,1.102,-0.184,1.008
355,1.098,-0.059,0.953
356,-0.156,0.004,0.828
357,-1.199,0.332,0.961
