Sample,X,Y,Z
0,0.156,0.094,0.992
1,0.027,-0.090,1.012
2,0.031,-0.078,1.016
3,0.031,-0.086,1.020
4,0.039,-0.086,1.008
5,0.031,-0.098,1.008
6,0.027,-0.086,1.020
7,0.031,-0.082,1.012
8,0.035,-0.078,1.004
9,0.035,-0.090,1.004
10,0.031,-0.098,1.008
11,0.039,-0.098,1.016
12,0.027,-0.090,1.008
13,0.027,-0.090,1.012
14,0.023,-0.094,1.008
15,0.035,-0.082,1.008
16,0.035,-0.090,1.016
17,0.035,-0.086,1.004
18,0.031,-0.094,1.012
19,0.035,-0.090,1.020
20,0.035,-0.102,1.047
21,0.023,-0.082,1.016
22,0.027,-0.086,1.012
23,0.031,-0.094,1.004
24,0.031,-0.086,1.012
25,0.035,-0.086,1.008
26,0.031,-0.082,1.016
27,0.035,-0.090,1.000
28,0.035,-0.094,1.012
29,0.031,-0.090,1.012
30,0.031,-0.078,1.008
31,0.023,-0.090,1.008
32,0.035,-0.090,1.012
33,0.031,-0.086,1.016
34,0.027,-0.094,1.008
35,0.031,-0.094,1.004
36,0.035,-0.082,1.012
37,0.035,-0.090,1.012
38,0.031,-0.090,1.020
39,0.023,-0.090,1.012
40,0.051,-0.094,1.035
41,0.027,-0.086,1.012
42,0.027,-0.078,1.012
43,0.031,-0.094,1.008
44,0.031,-0.094,1.004
45,0.027,-0.082,1.012
46,0.023,-0.086,1.016
47,0.039,-0.086,1.004
48,0.035,-0.094,1.008
49,0.031,-0.086,1.012
50,0.035,-0.082,1.012
51,0.035,-0.086,1.008
52,0.039,-0.078,1.016
53,0.027,-0.098,1.012
54,0.039,-0.086,1.004
55,0.043,-0.082,1.008
56,0.035,-0.086,1.004
57,0.031,-0.090,1.004
58,0.031,-0.094,1.016
59,0.031,-0.086,1.004
60,0.035,-0.094,1.055
61,0.027,-0.090,1.012
62,0.031,-0.094,1.008
63,0.031,-0.090,1.008
64,0.035,-0.086,1.004
65,0.027,-0.086,1.004
66,0.031,-0.090,1.004
67,0.035,-0.078,1.012
68,0.031,-0.094,1.020
69,0.031,-0.086,1.012
70,0.027,-0.086,1.016
71,0.027,-0.086,1.012
72,0.035,-0.086,1.008
73,0.035,-0.090,1.012
74,0.039,-0.090,1.012
75,0.039,-0.098,1.012
76,0.023,-0.082,1.020
77,0.027,-0.082,1.008
78,0.023,-0.086,1.008
79,0.031,-0.098,1.012
80,0.035,-0.078,0.961
81,0.027,-0.082,1.012
82,0.027,-0.090,1.008
83,0.035,-0.082,1.008
84,0.023,-0.094,1.008
85,0.035,-0.082,1.012
86,0.031,-0.090,1.008
87,0.027,-0.094,1.008
88,0.031,-0.094,1.020
89,0.035,-0.082,1.012
90,0.023,-0.086,1.008
91,0.027,-0.078,1.016
92,0.035,-0.090,1.004
93,0.039,-0.094,1.004
94,0.027,-0.094,1.008
95,0.031,-0.082,1.012
96,0.031,-0.078,1.008
97,0.035,-0.090,1.012
98,0.031,-0.090,1.008
99,0.027,-0.098,1.004
100,0.027,-0.098,1.043
101,0.031,-0.082,1.016
102,0.023,-0.094,1.012
103,0.031,-0.090,1.012
104,0.031,-0.090,1.008
105,0.027,-0.102,1.008
106,0.027,-0.082,1.004
107,0.039,-0.086,1.008
108,0.039,-0.090,1.000
109,0.031,-0.086,1.012
110,0.027,-0.082,1.012
111,0.055,-0.113,1.004
112,0.043,-0.121,1.004
113,0.016,-0.129,1.012
114,0.004,-0.141,1.020
115,0.020,-0.164,1.031
116,0.070,-0.188,1.031
117,0.113,-0.219,1.020
118,0.156,-0.285,0.961
119,0.133,-0.301,0.914
120,0.023,-0.285,0.820
121,-0.141,-0.289,0.902
122,-0.059,-0.402,0.879
123,0.176,-0.445,0.883
124,0.242,-0.508,0.883
125,0.070,-0.633,0.895
126,-0.199,-0.699,0.879
127,-0.199,-0.680,0.922
128,-0.031,-0.695,0.969
129,0.133,-0.832,1.004
130,0.172,-1.035,1.023
131,0.051,-0.984,1.062
132,-0.117,-0.902,1.105
133,-0.199,-0.855,1.094
134,0.023,-0.871,1.102
135,0.352,-0.828,1.109
136,0.512,-0.887,1.055
137,0.238,-0.883,0.988
138,-0.047,-0.707,0.973
139,-0.211,-0.367,1.027
140,0.090,-0.340,1.000
141,0.125,-0.516,0.996
142,-0.047,-0.461,0.977
143,0.098,-0.258,1.016
144,0.121,-0.121,0.957
145,0.062,-0.059,0.945
146,-0.137,0.094,0.961
147,-0.152,0.211,0.980
148,0.086,0.055,0.941
149,0.148,-0.082,0.883
150,-0.059,0.145,0.906
151,-0.070,0.258,0.949
152,-0.004,0.113,0.906
153,-0.078,-0.043,0.887
154,-0.035,-0.074,0.941
155,0.023,-0.230,0.910
156,0.133,-0.203,0.941
157,0.086,-0.344,0.973
158,-0.039,-0.336,0.965
159,0.023,-0.426,1.027
160,0.164,-0.695,1.012
161,0.191,-0.633,1.043
162,0.098,-0.785,1.094
163,-0.059,-0.812,1.035
164,-0.219,-0.746,1.086
165,0.094,-0.672,1.121
166,0.262,-0.789,1.086
167,0.258,-0.777,1.059
168,0.043,-0.926,1.012
169,-0.051,-0.707,1.012
170,0.004,-0.629,0.969
171,0.051,-0.586,0.934
172,-0.156,-0.512,0.945
173,0.109,-0.605,0.957
174,0.195,-0.504,0.945
175,0.320,-0.469,0.883
176,-0.055,-0.207,0.965
177,-0.184,-0.426,0.898
178,0.047,-0.422,0.883
179,-0.168,-0.070,0.953
180,-0.016,-0.172,1.016
181,0.152,-0.238,0.953
182,0.375,-0.152,1.012
183,0.293,-0.328,0.980
