Sample,X,Y,Z
0,0.023,0.184,1.031
1,0.027,-0.086,1.000
2,0.043,-0.090,1.008
3,0.031,-0.090,1.000
4,0.023,-0.094,1.000
5,0.027,-0.086,1.004
6,0.031,-0.090,1.008
7,0.035,-0.090,1.008
8,0.031,-0.086,1.008
9,0.031,-0.098,1.016
10,0.035,-0.086,1.008
11,0.027,-0.082,1.012
12,0.027,-0.086,1.012
13,0.035,-0.094,1.016
14,0.035,-0.090,1.012
15,0.023,-0.098,1.000
16,0.023,-0.090,1.000
17,0.027,-0.078,1.008
18,0.047,-0.082,1.016
19,0.035,-0.090,1.016
20,0.023,-0.086,0.957
21,0.035,-0.082,1.016
22,0.043,-0.078,1.012
23,0.035,-0.090,1.000
24,0.027,-0.086,1.016
25,0.023,-0.090,1.012
26,0.039,-0.078,1.004
27,0.043,-0.082,1.008
28,0.031,-0.098,1.012
29,0.023,-0.098,1.012
30,0.031,-0.090,1.008
31,0.043,-0.082,1.016
32,0.035,-0.090,1.008
33,0.027,-0.094,1.008
34,0.031,-0.090,1.012
35,0.039,-0.078,1.012
36,0.035,-0.082,1.004
37,0.031,-0.098,1.004
38,0.027,-0.094,1.004
39,0.035,-0.086,0.996
40,0.031,-0.082,0.969
41,0.039,-0.094,1.012
42,0.027,-0.102,1.012
43,0.027,-0.090,1.012
44,0.035,-0.082,1.008
45,0.035,-0.078,1.004
46,0.031,-0.090,1.004
47,0.031,-0.094,1.012
48,0.039,-0.082,1.008
49,0.027,-0.082,1.000
50,0.027,-0.086,1.008
51,0.027,-0.082,1.008
52,0.027,-0.090,1.008
53,0.035,-0.086,1.012
54,0.027,-0.086,1.012
55,0.039,-0.090,1.004
56,0.027,-0.082,1.016
57,0.035,-0.094,1.012
58,0.039,-0.094,1.012
59,0.031,-0.086,0.996
60,0.043,-0.074,0.992
61,0.023,-0.086,1.004
62,0.031,-0.094,1.012
63,0.035,-0.090,1.012
64,0.031,-0.090,1.008
65,0.027,-0.090,1.016
66,0.035,-0.086,1.012
67,0.031,-0.086,1.000
68,0.035,-0.090,1.012
69,0.031,-0.086,1.012
70,0.027,-0.086,1.012
71,0.035,-0.086,1.012
72,0.031,-0.086,1.008
73,0.031,-0.090,1.016
74,0.031,-0.078,1.012
75,0.031,-0.090,1.008
76,0.027,-0.086,1.012
77,0.027,-0.082,1.016
78,0.035,-0.078,1.008
79,0.027,-0.090,1.004
80,0.020,-0.078,0.996
81,0.031,-0.082,1.020
82,0.031,-0.090,1.004
83,0.031,-0.090,1.012
84,0.027,-0.094,1.004
85,0.027,-0.086,1.004
86,0.027,-0.098,1.008
87,0.027,-0.094,1.012
88,0.031,-0.094,1.016
89,0.035,-0.082,1.008
90,0.035,-0.082,1.004
91,0.031,-0.094,1.004
92,0.023,-0.090,1.016
93,0.035,-0.090,1.016
94,0.027,-0.090,1.008
95,0.027,-0.090,1.012
96,0.031,-0.090,1.004
97,0.031,-0.094,1.008
98,0.031,-0.090,1.012
99,0.027,-0.082,1.012
100,0.035,-0.082,0.957
101,0.035,-0.090,1.012
102,0.031,-0.094,1.012
103,0.031,-0.086,1.004
104,0.035,-0.094,1.012
105,0.035,-0.094,1.008
106,0.031,-0.094,1.016
107,0.023,-0.086,1.016
108,0.027,-0.094,1.000
109,0.027,-0.090,1.016
110,0.035,-0.094,1.008
111,0.023,-0.066,1.000
112,0.031,-0.090,1.008
113,0.051,-0.129,0.992
114,0.047,-0.105,1.004
115,0.020,-0.102,1.020
116,0.004,-0.129,1.023
117,0.027,-0.156,1.031
118,0.047,-0.148,1.023
119,0.016,-0.117,1.039
120,0.023,-0.137,1.023
121,0.023,-0.164,1.027
122,0.055,-0.152,1.023
123,0.098,-0.160,0.988
124,0.082,-0.098,0.984
125,-0.043,-0.070,0.980
126,-0.133,-0.160,0.938
127,0.020,-0.199,0.844
128,0.172,-0.164,0.801
129,0.199,-0.203,0.844
130,0.000,-0.375,0.844
131,-0.082,-0.477,0.824
132,0.004,-0.504,0.840
133,0.105,-0.477,0.895
134,0.129,-0.629,0.961
135,0.039,-0.832,1.016
136,-0.023,-0.867,1.047
137,0.020,-0.789,1.117
138,0.145,-0.730,1.203
139,0.145,-0.832,1.215
140,0.047,-0.777,1.195
141,-0.129,-0.727,1.223
142,-0.172,-0.547,1.164
143,0.000,-0.512,1.086
144,0.156,-0.441,1.043
145,0.277,-0.359,1.039
146,0.168,-0.328,0.980
147,-0.074,-0.230,0.855
148,-0.180,-0.070,0.836
149,-0.062,0.113,0.895
150,0.242,0.012,0.926
151,0.285,-0.148,0.852
152,-0.184,-0.230,0.742
153,-0.320,0.020,0.828
154,0.047,0.160,0.957
155,0.445,-0.125,0.934
156,0.195,-0.445,0.859
157,-0.148,-0.316,0.949
158,-0.047,-0.121,1.105
159,0.043,-0.211,1.027
160,0.070,-0.445,0.938
161,0.016,-0.508,1.051
162,-0.035,-0.445,1.133
163,0.090,-0.535,1.020
164,0.293,-0.504,1.082
165,-0.074,-0.543,1.102
166,-0.195,-0.473,1.035
167,0.137,-0.613,0.965
168,0.020,-0.539,0.957
169,0.164,-0.398,1.086
170,0.262,-0.586,1.000
171,-0.230,-0.645,0.793
172,-0.152,-0.488,0.934
173,-0.199,-0.297,0.965
174,0.254,-0.254,1.031
175,0.273,-0.773,0.918
176,0.023,-0.375,0.902
177,0.012,-0.551,0.902
178,-0.121,-0.156,0.980
179,0.270,-0.523,1.051
180,0.121,-0.496,0.953
181,-0.098,-0.816,0.887
182,-0.301,-0.305,1.066
183,0.070,-0.340,1.191
184,0.273,-0.426,1.031
185,0.387,-0.711,0.988
186,0.105,-0.336,1.105
187,-0.082,-0.398,1.055
188,-0.121,-0.203,1.004
189,-0.293,-0.406,0.957
190,0.082,0.047,1.199
191,0.156,-0.270,1.043
192,0.410,-0.266,0.895
193,0.078,-0.207,0.941
194,-0.035,0.105,1.039
195,-0.227,-0.004,0.934
196,-0.301,-0.230,0.824
197,-0.031,0.039,1.055
198,0.160,0.121,0.977
199,0.379,0.012,0.855
200,0.340,-0.215,0.855
201,-0.164,-0.188,0.934
202,-0.215,0.129,0.938
203,-0.203,-0.039,1.004
204,-0.090,-0.344,1.012
205,0.371,-0.047,1.039
206,0.438,-0.293,0.953
207,0.254,-0.367,0.961
208,-0.168,-0.402,0.977
209,-0.555,-0.125,1.059
210,-0.379,-0.391,1.109
211,0.137,-0.305,1.074
212,0.574,-0.203,1.031
213,0.750,-0.512,0.996
214,-0.035,-0.566,0.953
215,-0.645,-0.254,1.074
216,-0.527,-0.199,1.188
217,-0.035,-0.238,1.109
218,0.703,-0.371,0.988
219,0.902,-0.336,0.969
220,0.109,-0.195,0.984
221,-0.754,-0.328,0.992
222,-0.699,0.031,1.105
223,-0.141,0.059,1.098
224,0.734,0.031,0.965
225,0.961,-0.289,0.840
226,0.020,-0.055,0.805
227,-0.988,0.258,1.008
228,-0.766,0.113,1.102
229,0.238,0.062,0.965
230,0.996,-0.074,0.848
231,0.859,-0.113,0.930
232,-0.289,-0.055,0.883
233,-0.961,0.156,1.000
234,-0.516,0.023,1.141
235,0.559,0.102,1.129
236,0.992,-0.270,0.961
237,0.492,-0.348,0.945
238,-0.535,-0.090,1.020
239,-0.949,0.301,1.191
240,-0.328,-0.035,1.199
241,0.625,-0.168,1.012
242,0.855,-0.270,1.078
243,0.207,-0.484,0.930
244,-0.633,0.297,0.941
245,-0.648,0.336,1.117
246,-0.238,0.066,1.066
247,0.738,-0.387,0.836
248,1.000,-0.270,0.801
249,0.047,-0.203,0.840
250,-0.832,0.410,0.973
251,-0.664,0.012,1.047
252,0.031,-0.285,0.977
253,0.848,-0.430,0.938
254,0.934,-0.293,0.973
255,-0.250,-0.348,0.934
256,-0.859,0.090,1.066
257,-0.551,-0.035,1.203
258,0.250,-0.324,1.086
259,0.961,-0.473,1.031
260,0.836,-0.441,1.113
261,-0.262,-0.180,0.996
262,-0.898,0.195,1.160
263,-0.625,-0.141,1.184
264,0.328,-0.062,1.133
265,0.906,-0.355,1.043
266,0.566,-0.336,0.977
267,-0.387,0.250,0.934
268,-1.070,0.504,1.035
269,-0.543,0.094,1.039
270,0.711,-0.066,0.840
271,1.062,0.020,0.766
272,0.359,-0.047,0.852
273,-0.754,0.328,0.863
274,-0.836,0.277,0.883
275,-0.152,0.059,0.949
276,1.078,-0.043,0.996
277,1.051,-0.238,0.926
278,0.035,-0.430,0.863
279,-0.895,0.133,1.066
280,-0.820,0.262,1.277
281,0.043,-0.102,1.141
282,0.938,-0.520,1.039
283,0.949,-0.438,1.098
284,-0.164,-0.223,1.098
285,-1.043,0.066,1.070
286,-0.801,-0.121,1.160
287,0.109,-0.094,1.199
288,0.902,-0.309,1.051
289,1.062,-0.449,0.902
290,-0.168,-0.168,0.879
291,-1.078,0.281,1.020
292,-0.695,0.266,1.035
293,0.363,-0.121,0.852
294,1.031,-0.289,0.844
295,0.859,-0.324,0.910
296,-0.449,0.055,0.805
297,-1.094,0.238,0.926
298,-0.539,0.141,1.121
299,0.664,-0.152,1.000
300,1.125,-0.449,0.879
301,0.617,-0.328,0.957
302,-0.715,0.105,1.086
303,-1.023,0.211,1.094
304,-0.301,-0.059,1.117
305,0.906,-0.207,1.188
306,1.062,-0.406,1.047
307,0.332,-0.371,1.012
308,-0.832,-0.086,1.016
309,-1.031,0.477,1.254
310,-0.289,-0.105,1.148
311,0.969,-0.180,0.973
312,1.086,-0.402,0.918
313,-0.016,-0.012,0.918
314,-1.098,0.324,0.922
315,-0.867,0.422,0.980
316,0.090,0.051,0.914
317,1.133,-0.121,0.863
318,1.051,-0.328,0.824
319,-0.242,-0.168,0.734
320,-1.082,0.473,0.977
321,-0.641,0.145,1.145
322,0.422,-0.188,1.000
323,1.098,-0.473,0.961
324,0.910,-0.402,1.062
325,-0.473,-0.238,1.020
326,-1.023,0.285,1.102
327,-0.645,0.023,1.273
328,0.523,-0.297,1.184
329,1.035,-0.520,1.000
330,0.750,-0.426,0.996
331,-0.543,-0.078,0.988
332,-1.086,0.555,1.160
333,-0.551,-0.191,1.047
334,0.613,-0.242,0.969
335,1.070,-0.277,0.902
336,0.516,-0.188,0.867
337,-0.730,0.109,0.812
338,-1.020,0.375,1.039
339,-0.340,-0.031,0.984
340,0.812,-0.152,0.977
341,1.016,-0.496,0.875
342,0.273,-0.227,0.895
343,-0.793,0.320,1.039
344,-0.816,0.031,1.121
345,-0.129,-0.160,1.098
346,1.023,-0.254,1.078
347,1.059,-0.348,1.035
348,-0.004,-0.273,0.969
349,-0.812,0.332,1.141
350,-0.824,0.098,1.195
351,0.051,-0.121,1.051
352,1.031,-0.203,1.023
353,0.996,-0.230,1.023
354,-0.230,-0.133,0.871
355,-1.129,0.262,0.973
356,-0.758,0.141,1.078
357,0.297,0.156,1.000
358,0.957,-0.309,0.832
359,-0.309,-0.160,0.969
360,0.715,-0.199,0.941
361,0.910,-0.391,0.945
362,0.273,-0.270,0.953
363,-0.523,0.020,1.023
364,-0.594,0.098,1.125
365,-0.188,-0.223,1.156
366,0.793,-0.305,1.133
367,0.875,-0.328,1.074
368,0.051,-0.270,0.996
369,-0.754,0.156,1.109
370,-0.676,0.090,1.199
371,0.000,-0.070,1.086
372,0.762,-0.180,0.996
373,0.727,-0.277,0.938
374,-0.250,0.039,0.836
375,-0.922,0.371,0.906
376,-0.445,0.184,0.992
377,0.359,-0.199,0.875
378,0.871,-0.082,0.852
379,0.617,-0.285,0.883
380,-0.477,-0.086,0.816
381,-0.852,0.203,0.988
382,-0.254,-0.016,1.137
383,0.562,-0.277,1.059
384,0.797,-0.441,1.012
385,0.523,-0.395,1.055
386,-0.574,0.012,1.074
387,-0.883,0.148,1.168
388,-0.254,-0.258,1.188
389,0.727,-0.152,1.121
390,0.926,-0.324,1.059
391,0.363,-0.301,1.004
392,-0.629,0.105,1.012
393,-0.824,0.203,1.152
394,-0.195,-0.137,1.043
395,0.891,0.008,0.977
396,0.895,-0.203,0.840
397,-0.059,-0.039,0.867
398,-0.871,0.125,0.883
399,-0.746,0.324,0.938
400,0.055,0.090,0.945
401,0.828,-0.160,0.906
402,0.770,-0.285,0.848
403,-0.211,-0.254,0.805
404,-0.871,0.141,0.973
405,-0.430,0.223,1.180
406,0.359,-0.230,1.094
407,0.953,-0.648,0.980
408,0.785,-0.395,1.102
409,-0.355,-0.105,1.109
410,-0.867,0.133,1.168
411,-0.398,-0.117,1.207
412,0.367,-0.262,1.199
413,0.887,-0.340,1.098
414,0.664,-0.164,1.023
415,-0.570,-0.125,0.957
416,-1.094,0.301,1.016
417,-0.359,0.215,1.031
418,0.570,-0.055,0.918
419,0.867,-0.270,0.770
420,0.531,0.020,0.836
421,-0.621,0.078,0.711
422,-0.949,0.258,0.879
423,-0.238,0.039,1.008
424,0.754,-0.195,0.945
425,0.992,-0.438,0.879
426,0.320,-0.438,0.922
427,-0.688,-0.004,1.098
428,-0.762,0.016,1.242
429,-0.188,-0.285,1.188
430,0.773,-0.473,1.148
431,0.984,-0.316,1.152
432,0.168,-0.293,1.055
433,-0.707,0.023,1.082
434,-0.777,0.199,1.219
435,-0.145,-0.008,1.125
436,0.887,-0.188,0.992
437,0.961,-0.258,0.832
438,-0.059,0.090,0.859
439,-1.047,0.363,0.934
440,-0.773,0.285,0.996
441,0.090,-0.074,0.859
442,0.957,-0.027,0.812
443,0.875,-0.109,0.855
444,-0.379,-0.199,0.766
445,-1.117,0.203,0.922
446,-0.500,0.109,1.125
447,0.473,-0.203,1.016
448,0.941,-0.469,0.988
449,0.848,-0.543,1.062
450,-0.332,-0.141,1.078
451,-0.867,0.020,1.176
452,-0.480,-0.176,1.242
453,0.496,-0.297,1.176
454,0.934,-0.219,1.133
455,0.656,-0.445,1.066
456,-0.492,0.055,1.047
457,-1.004,0.219,1.094
458,-0.496,0.000,1.059
459,0.629,0.059,0.977
460,0.961,-0.156,0.887
461,0.312,-0.199,0.812
462,-0.711,0.059,0.777
463,-0.816,0.504,0.973
464,-0.195,0.043,0.957
465,0.824,-0.180,0.852
466,0.984,-0.262,0.867
467,0.094,-0.242,0.883
468,-0.848,0.156,0.957
469,-0.652,0.070,1.125
470,-0.012,-0.137,1.105
471,0.781,-0.383,1.062
472,0.977,-0.461,1.094
473,-0.066,-0.402,1.012
474,-0.836,0.145,1.145
475,-0.656,0.094,1.262
476,0.105,-0.152,1.129
477,0.844,-0.352,1.023
478,0.934,-0.312,1.031
479,-0.293,-0.133,0.918
480,-0.875,0.395,0.996
481,-0.527,0.184,1.074
482,0.336,-0.043,0.961
483,0.891,-0.297,0.832
484,0.680,-0.070,0.840
485,-0.566,0.113,0.809
486,-0.969,0.473,0.969
487,-0.371,0.047,1.012
488,0.551,-0.211,0.871
489,0.863,-0.230,0.906
490,0.340,-0.258,0.930
491,-0.621,0.055,0.930
492,-0.703,0.078,1.113
493,-0.152,-0.160,1.160
494,0.656,-0.441,1.090
495,0.887,-0.383,1.078
496,0.281,-0.395,1.070
497,-0.539,0.070,1.137
498,-0.703,-0.031,1.199
499,-0.195,-0.215,1.133
500,0.703,-0.316,1.094
501,0.934,-0.059,1.062
502,0.066,-0.215,0.898
503,-0.902,0.230,0.934
504,-0.695,0.188,1.066
505,0.094,0.129,0.930
506,0.855,-0.016,0.777
507,0.801,-0.168,0.832
508,-0.305,-0.035,0.766
509,-0.895,0.387,0.902
510,-0.449,0.176,0.977
511,0.328,-0.059,0.973
512,0.824,-0.348,0.902
513,0.707,-0.340,0.969
514,-0.461,-0.188,0.980
515,-0.941,0.152,1.191
516,-0.383,-0.133,1.219
517,0.496,-0.395,1.113
518,0.887,-0.465,1.105
519,0.602,-0.320,1.164
520,-0.434,-0.160,1.035
521,-0.797,0.051,1.129
522,-0.391,-0.062,1.211
523,0.727,-0.109,1.016
524,0.832,-0.180,0.938
525,0.289,-0.309,0.906
526,-0.691,0.246,0.910
527,-0.688,0.441,0.996
528,-0.199,-0.020,0.895
529,0.668,-0.043,0.867
530,0.762,-0.098,0.871
531,-0.004,-0.102,0.762
532,-0.680,0.305,0.898
533,-0.637,0.148,1.035
534,-0.027,-0.160,0.961
535,0.828,-0.293,0.984
536,0.859,-0.277,1.004
537,-0.074,-0.234,1.000
538,-0.672,0.035,1.160
539,-0.594,-0.215,1.207
540,0.145,-0.238,1.148
541,0.867,-0.324,1.133
542,0.805,-0.445,1.133
543,-0.285,-0.219,1.031
544,-0.820,0.160,1.109
545,-0.590,0.090,1.148
546,0.293,-0.070,1.020
547,0.871,-0.219,0.883
548,0.664,-0.086,0.871
549,-0.512,0.055,0.809
550,-0.969,0.406,0.887
551,-0.395,0.082,0.922
552,0.727,0.016,0.863
553,0.992,-0.176,0.832
554,0.410,-0.273,0.836
555,-0.664,0.105,0.891
556,-0.953,0.141,1.047
557,-0.227,-0.031,1.129
558,0.812,-0.340,1.066
559,0.930,-0.383,1.043
560,0.223,-0.461,1.066
561,-0.785,-0.020,1.117
562,-0.824,0.055,1.242
563,-0.176,-0.262,1.203
564,0.816,-0.363,1.090
565,1.008,-0.320,1.043
566,0.176,-0.238,0.992
567,-0.816,0.078,1.023
568,-0.727,0.152,1.059
569,-0.125,0.023,1.020
570,0.914,-0.188,0.891
571,1.012,-0.156,0.859
572,-0.117,-0.051,0.789
573,-1.000,0.301,0.887
574,-0.785,0.242,1.039
575,0.180,-0.031,0.879
576,0.957,0.020,0.875
577,0.820,-0.355,0.891
578,-0.434,-0.121,0.848
579,-0.895,0.141,1.008
580,-0.484,0.133,1.152
581,0.469,-0.191,1.098
582,0.949,-0.570,1.012
583,0.793,-0.492,1.102
584,-0.414,-0.184,1.117
585,-0.887,0.281,1.215
586,-0.531,-0.418,1.184
587,0.613,-0.215,1.148
588,0.945,-0.367,1.070
589,0.605,-0.188,1.055
590,-0.652,-0.020,0.973
591,-1.031,0.164,0.988
592,-0.461,0.051,1.082
593,0.789,0.031,0.957
594,1.129,-0.047,0.816
595,0.254,-0.242,0.738
596,-0.809,0.371,0.887
597,-0.945,0.336,0.883
598,-0.160,0.270,0.852
599,0.918,-0.129,0.871
600,0.973,-0.332,0.812
601,-0.055,-0.184,0.859
602,-0.961,0.090,0.996
603,-0.770,-0.043,1.129
604,0.145,-0.254,1.141
605,0.859,-0.578,1.094
606,1.020,-0.590,1.168
607,-0.070,-0.449,1.102
608,-0.797,-0.129,1.176
609,-0.660,-0.074,1.289
610,0.109,-0.215,1.188
611,1.082,-0.332,1.062
612,0.988,-0.445,1.070
613,-0.238,-0.051,1.016
614,-0.953,0.230,1.047
615,-0.711,0.410,1.078
616,0.250,0.047,0.934
617,0.883,0.031,0.809
618,0.613,-0.141,0.746
