Sample,X,Y,Z
0,0.039,0.164,1.012
1,0.012,-0.090,1.012
2,0.031,-0.090,1.004
3,0.043,-0.094,1.004
4,0.031,-0.090,1.008
5,0.035,-0.098,1.012
6,0.031,-0.094,1.016
7,0.035,-0.094,1.016
8,0.031,-0.098,1.004
9,0.039,-0.094,1.004
10,0.031,-0.094,1.012
11,0.035,-0.094,1.008
12,0.027,-0.102,1.008
13,0.027,-0.098,1.016
14,0.027,-0.086,1.008
15,0.031,-0.090,1.004
16,0.035,-0.102,1.004
17,0.027,-0.098,1.012
18,0.035,-0.090,1.000
19,0.039,-0.090,1.016
20,0.016,-0.094,1.070
21,0.035,-0.102,1.008
22,0.027,-0.094,1.008
23,0.031,-0.094,1.012
24,0.031,-0.094,1.016
25,0.035,-0.098,1.012
26,0.031,-0.102,1.008
27,0.027,-0.098,1.012
28,0.031,-0.094,1.008
29,0.031,-0.090,1.012
30,0.035,-0.094,1.012
31,0.035,-0.098,1.016
32,0.023,-0.094,1.012
33,0.031,-0.086,1.004
34,0.035,-0.090,1.016
35,0.031,-0.094,1.004
36,0.031,-0.094,1.012
37,0.027,-0.090,1.008
38,0.035,-0.098,1.004
39,0.039,-0.090,1.008
40,0.023,-0.102,1.047
41,0.031,-0.098,1.008
42,0.031,-0.098,1.004
43,0.035,-0.098,1.008
44,0.023,-0.098,1.012
45,0.027,-0.098,1.008
46,0.039,-0.094,1.012
47,0.039,-0.098,1.004
48,0.031,-0.098,1.008
49,0.031,-0.098,1.008
50,0.031,-0.098,1.004
51,0.027,-0.094,1.012
52,0.027,-0.102,1.008
53,0.035,-0.098,1.012
54,0.035,-0.094,1.008
55,0.039,-0.094,1.012
56,0.027,-0.094,1.000
57,0.035,-0.090,1.016
58,0.031,-0.102,1.016
59,0.031,-0.102,1.008
60,0.023,-0.098,1.027
61,0.035,-0.094,1.004
62,0.027,-0.094,1.008
63,0.043,-0.105,1.004
64,0.031,-0.098,1.008
65,0.031,-0.098,1.004
66,0.023,-0.094,1.008
67,0.027,-0.098,1.012
68,0.027,-0.098,1.012
69,0.031,-0.094,1.004
70,0.031,-0.094,1.008
71,0.027,-0.094,1.012
72,0.027,-0.094,1.008
73,0.035,-0.098,1.008
74,0.027,-0.094,1.008
75,0.027,-0.094,1.004
76,0.039,-0.098,1.012
77,0.031,-0.094,1.008
78,0.035,-0.094,1.004
79,0.031,-0.086,1.012
80,0.035,-0.094,1.027
81,0.027,-0.098,1.000
82,0.039,-0.090,1.004
83,0.035,-0.090,1.008
84,0.031,-0.094,1.012
85,0.027,-0.102,1.012
86,0.035,-0.090,1.012
87,0.027,-0.098,1.008
88,0.023,-0.102,0.996
89,0.023,-0.098,1.008
90,0.039,-0.094,1.016
91,0.035,-0.098,1.004
92,0.035,-0.098,1.004
93,0.031,-0.105,1.004
94,0.031,-0.086,1.008
95,0.035,-0.082,1.008
96,0.031,-0.098,1.000
97,0.023,-0.102,1.016
98,0.027,-0.094,1.004
99,0.031,-0.090,1.004
100,0.027,-0.098,1.082
101,0.027,-0.102,1.008
102,0.031,-0.098,1.012
103,0.035,-0.086,1.008
104,0.035,-0.094,1.008
105,0.027,-0.098,1.012
106,0.020,-0.102,1.004
107,0.035,-0.086,1.008
108,0.031,-0.098,1.016
109,0.031,-0.102,1.008
110,0.035,-0.094,1.008
111,0.027,-0.102,1.000
112,0.027,-0.074,1.008
113,0.035,-0.086,1.016
114,0.051,-0.137,0.988
115,0.055,-0.113,1.004
116,0.027,-0.105,1.016
117,0.008,-0.109,1.031
118,0.020,-0.148,1.023
119,0.039,-0.168,1.020
120,-0.004,-0.137,1.066
121,0.000,-0.129,1.043
122,0.043,-0.156,1.035
123,0.059,-0.160,1.027
124,0.078,-0.176,1.016
125,0.090,-0.152,0.992
126,0.109,-0.094,0.957
127,-0.031,-0.109,0.965
128,-0.105,-0.227,0.910
129,0.078,-0.227,0.836
130,0.238,-0.195,0.805
131,0.211,-0.273,0.852
132,-0.082,-0.434,0.852
133,-0.164,-0.480,0.840
134,-0.059,-0.496,0.855
135,0.055,-0.465,0.918
136,0.074,-0.707,0.953
